"Actions","Handlinger"
"An error occurred while marking notification as read.","Der opstod en fejl under mærkning af notifikation som læst."
"An error occurred while marking the messages as read.","Der opstod en fejl under markeringen af meddelelserne som læst."
"An error occurred while removing messages.","Der opstod en fejl under fjernelse af beskeder."
"An error occurred while removing the message.","Der opstod en fejl under fjernelse af beskeden."
"Are you sure?","Er du sikker?"
"critical","kritisk"
"Date Added","Dato Tilføjet"
"Last Update","Seneste Opdatering"
"major","større"
"Mark as Read","Markér som læst"
"Mark as read","Markér som læst"
"Message","Besked"
"Messages Inbox","Beskeder Indbakke"
"minor","mindre"
"notice","varsel"
"Notifications","Notifikationer"
"Please select messages.","Vælg venligst beskeder."
"Read Details","Læs Detaljer"
"Remove","Fjern"
"Severity","Alvorlighed"
"Show List","Vis Liste"
"Show Toolbar","Vis Værktøjslinje"
"The message has been marked as read.","Beskeden er markeret som læst."
"The message has been removed.","Beskeden er blevet fjernet."
"Total of %d record(s) have been marked as read.","Total af %d post(er) er blevet markeret som læst."
"Total of %d record(s) have been removed.","Total af %d post(er) er blevet fjernet."
"Unable to proceed. Please, try again.","Kan ikke fortsætte. Prøv venligst igen."
"Update Frequency","Opdater Frekvens"
"Wrong message type","Forkert meddelelsestype"
