"%s role is a special one and can't be changed.","%s rolle er en særlig og kan ikke ændres."
"%s role is a special one and can't be deleted.","%s rolle er en særlig og kan ikke slettes."
"%s role is protected.","%s rolle er beskyttet."
"ACL Attribute Rules","ACL Attribut Regler"
"ACL Attributes Information","ACL Attributter Information"
"Add","Tilføj"
"Add Admin Role","Tilføj Admin Rolle"
"Add New Role","Tilføj Ny Rolle"
"Address Type","Adresse Type"
"Admin","Administrator"
"Allow","Tillad"
"An error occurred while deleting the role.","Der opstod en fejl under sletning af rollen."
"An error occurred while saving attribute rules.","Der opstod en fejl under lagring af attributregler."
"An error occurred while saving role.","Der opstod en fejl under lagring af rolle."
"Api Rules Information","Api-Regler Information"
"Assigned","Tildelt"
"Associate to Website","Tilknyt til hjemmeside"
"Attribute Rules Information","Attribut Regler Information"
"Attributes","Attributter"
"Attribute Set","Attribut Sæt"
"Automatically Return Credit Memo Item to Stock","Returnér automatisk kreditnota til lager"
"Back","Tilbage"
"Backorders","Backorders"
"Base Currency","Basis Valuta"
"Base Customer Balance","Base Kundesaldo"
"Base Discount","Basis Rabat"
"Base Discount Amount","Base Rabat Beløb"
"Base Item Subtotal","Basispunkt Subtotal"
"Base Item Subtotal Including Tax","Basiselement Subtotal Inklusiv Moms"
"Base Original Price","Oprindelig Pris"
"Base Price","Basis Pris"
"Base Price Including Tax","Basispris Inklusiv Moms"
"Base Shipping","Base Forsendelse"
"Base Shipping Discount","Base Forsendelse Rabat"
"Base Shipping Tax","Base Forsendelse Moms"
"Base Subtotal","Base Subtotal"
"Base Subtotal Including Tax","Basis Subtotal Inklusiv Moms"
"Base Tax Amount","Basis Moms Beløb"
"Base Total Due","Basis I Alt"
"Base Total Paid","Basis I Alt"
"Base Total Refunded","Basis I Alt Refunderet"
"Buy Now URL","Køb Nu URL"
"Can Be Divided into Multiple Boxes for Shipping","Kan opdeles i flere kasser til forsendelse"
"Canceled Qty","Annulleret Antal"
"Catalog","Katalog"
"CatalogInventory","KatalogInventar"
"Catalog Product","Katalog Produkt"
"Category ID","Kategori ID"
"City","By"
"Company","Virksomhed"
"Country","Land"
"Coupon Code","Kupon Kode"
"Create","Opret"
"Created From","Oprettet Fra"
"Create Permanent Redirect for old URL","Opret Permanent omdirigering for gamle URL"
"Customer","Kunde"
"Customer Address","Kunde Adresse"
"Customer Address ID","Kunde Adresse ID"
"Customer Balance","Kunde Saldo"
"Customer First Name","Kunde Fornavn"
"Customer ID","Kunde ID"
"Customer Last Name","Kundens Efternavn"
"Customer Middle Name","Kunde Mellemnavn"
"Customer Prefix","Kunde Præfiks"
"Customer Suffix","Kunde Suffiks"
"Default Image","Standard Billede"
"Delete","Slet"
"Deny","Afvis"
"Disable automatic group change based on VAT ID","Deaktivér automatisk gruppeændring baseret på momsID"
"Discount","Rabat"
"Discount Amount","Rabat Beløb"
"Discount Description","Rabat Beskrivelse"
"Edit","Rediger"
"Edit %s ACL attribute rules","Rediger %s ACL attribut regler"
"Edit attribute rules for %s Role","Rediger attributregler for %s Rolle"
"Edit Role","Rediger Rolle"
"Email","E-mail"
"Enable Qty Increments","Aktiver Antal Intervaller"
"Exclude","Udeluk"
"File Content","Fil Indhold"
"File MIME Type","Fil MIME- Type"
