"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%d Katalog prisregler baseret på ""%s"" attribut er blevet deaktiveret."
"-- All Active Rules --","-- Alle Aktive Regler --"
"86400 by default, if not set. Rule prices change with the daily catalog rule reindex.","86400 som standard, hvis ikke angivet. Regelpriser ændres med det daglige katalog regel reindex."
"Actions","Handlinger"
"Active","Aktiv"
"Add New Rule","Tilføj Ny Regel"
"An error occurred while deleting the rule. Please review the log and try again.","Der opstod en fejl under sletning af reglen. Gennemgå loggen, og prøv igen."
"An error occurred while saving the rule data. Please review the log and try again.","Der opstod en fejl under lagring af regelsæt. Gennemgå loggen og prøv igen."
"Apply","Anvend"
"Apply Rules","Anvend Regler"
"Attribute Set","Attribut Sæt"
"Best Selling","Bedste Salg"
"Biggest Discount","Største Rabat"
"By Fixed Amount","Efter Fast Beløb"
"By Percentage of the Original Price","Efter Procent af den oprindelige pris"
"Catalog","Katalog"
"Catalog On Sale Products","Katalog På Salg Produkter"
"Catalog Price Rule","Katalog Pris Regel"
"Catalog Price Rules","Katalog Prisregler"
"Category","Kategori"
"Conditions","Betingelser"
"Conditions (leave blank for all products)","Betingelser (lad være tom for alle produkter)"
"Conditions Combination","Betingelser Kombination"
"Customer Groups","Kundegrupper"
"Date Expire","Dato For Udløb"
"Date From","Dato Fra"
"Date Start","Dato Start"
"Date To","Dato Til"
"Description","Varebeskrivelse"
"Discount Amount","Rabat Beløb"
"Edit Rule","Rediger Regel"
"Edit Rule '%s'","Rediger Regel '%s'"
"Enable Discount to Subproducts","Aktiver Rabat til underprodukter"
"Expiration Date","Udløbsdato"
"From Date","Fra Dato"
"General Information","Generel Information"
"ID","ID"
"Inactive","Inaktiv"
"List of Products with an active Catalog Price Rule discount","Liste over produkter med en aktiv katalog Pris Regel rabat"
"Newest","Nyeste"
"New Rule","Ny Regel"
"No","Nej"
"Only In-Stock Products","Kun Produkter På Lager"
"On Sale","Ved Salg"
"On Sale Images and Names Template","På salg af billeder og navne Skabelon"
"On Sale Images Only Template","Kun Skabelon Ved Salg Af Billeder"
"On Sale Names Only Template","På Salg Navne Kun Skabelon"
"On Sale Products Grid Template","Ved Salg Af Produkter Gitterskabelon"
"On Sale Products List Template","På Salg Produkter Liste Skabelon"
"Options","Indstillinger"
"Order Products By","Ordre Produkter Efter"
"Priority","Prioritet"
"Product Attribute","Produkt Attribut"
"Promotions","Kampagner"
"Random","Tilfældig"
"Restrict to a single rule (e.g. ""Offer of the month""). Leave empty for all active rules.","Begræns til en enkelt regel (f.eks. ""Tilbud fra måneden""). Lad være tomt for alle aktive regler."
"Rule Information","Regel Information"
"Rule Name","Regel Navn"
"Save and Apply","Gem og anvend"
"Save and Continue Edit","Gem og fortsæt redigering"
"Start Date","Start Dato"
"Status","Status"
"Stop Further Rules Processing","Stop Yderligere Regler Behandling"
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Der er regler, der er blevet ændret, men som ikke blev anvendt. Klik på Anvend regler for at se umiddelbar effekt i kataloget."
"The rule has been deleted.","Reglen er blevet slettet."
"The rule has been saved.","Reglen er blevet gemt."
"The rules have been applied.","Reglerne er blevet anvendt."
"This rule no longer exists.","Denne regel eksisterer ikke længere."
"To Date","Til Dato"
"To Fixed Amount","Til Fast Beløb"
"To Percentage of the Original Price","Til Procentdel af den oprindelige pris"
"Type","Type"
"Unable to apply rules.","Reglerne kan ikke anvendes."
"Unable to find a rule to delete.","Kan ikke finde en regel at slette."
"Update Prices Using the Following Information","Opdater priser ved hjælp af følgende oplysninger"
"Update product's %s %s: %s","Opdater produkts %s %s: %s"
"Website","Hjemmeside"
"Websites","Websider"
"Wrong rule specified","Forkert regel angivet"
"Wrong rule specified.","Forkert regel angivet."
"Yes","Ja"
