"Add","Tilføj"
"Add gift message for shopping cart","Tilføj gavebesked til indkøbskurv"
"Add gift messages for quote item of shopping cart","Tilføj gavebeskeder for citat vare i indkøbskurven"
"Add gift messages to products of shopping cart","Tilføj gavebeskeder til produkter i indkøbskurven"
"Add gift options.","Tilføj gavemuligheder."
"Add gift options for Individual Items","Tilføj gavemuligheder for individuelle elementer"
"Add gift options for the Entire Order","Tilføj gavemuligheder for hele ordren"
"Allow Gift Messages for Order Items","Tillad gavebeskeder for ordrevarer"
"Allow Gift Messages on Order Level","Tillad gavebeskeder på ordreniveau"
"An error occurred while saving the gift message.","En fejl opstod under lagring af gavekortet."
"Are you sure?","Er du sikker?"
"Cancel","Annuller"
"Do you have any gift items in your order?","Har du nogen gaveartikler i din ordre?"
"Edit","Rediger"
"From","Fra"
"Gift Message","Gave Besked"
"Gift Message API","Gave Besked API"
"Gift Options","Gave Indstillinger"
"Gift Options for Individual Items","Gave muligheder for individuelle elementer"
"Gift Options for the Entire Order.","Gave muligheder for hele ordren."
"Item %d of %d","Vare %d af %d"
"Message","Besked"
"No","Nej"
"Save Gift Message","Gem Gave Besked"
"The gift message has been saved.","Gaven er blevet gemt."
"To","Til"
"Unknown entity type","Ukendt enhedstype"
"Use config","Brug config"
"Yes","Ja"
"You can leave this box blank if you do not wish to add a gift message for the item.","Du kan efterlade dette felt tomt, hvis du ikke ønsker at tilføje en gavebesked til varen."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Du kan efterlade dette felt tomt, hvis du ikke ønsker at tilføje en gavebesked til hele ordren."
