"%s file does not exists or is not readable","%s filen findes ikke eller kan ikke læses"
"-- Please Select --","-- Vælg Venligst --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","Adapter skal være en instans af Mage_ImportExport_Model_Import_Adapter_Abstract"
"Adapter object must be an instance of %s","Adapter objekt skal være en instans af %s"
"Adapter type must be a non empty string","Adapter type skal være en ikke-tom streng"
"Append Complex Data","Tilføj Kompleks Data"
"Attribute Code","Attribut Kode"
"Attribute does not has options, so filtering is impossible","Attributten har ikke valgmuligheder, så filtrering er umulig"
"Attribute Label","Attribut Etiket"
"Auto_increment column not found for table %s","Auto_increment kolonne ikke fundet for tabel %s"
"Begin data validation","Begynd datavalidering"
"Begin export of %s","Begynd eksport af %s"
"Begin import of ""%s"" with ""%s"" behavior","Begynd import af ""%s"" med ""%s"" opførsel"
"Can not determine attribute filter type","Kan ikke bestemme attributfiltertype"
"Can not find required columns: %s","Kan ikke finde påkrævede kolonner: %s"
"Cannot get table status for %s","Kan ikke hente tabelstatus for %s"
"Categories","Kategorier"
"Check Data","Tjek Data"
"Checked rows: %d, checked entities: %d, invalid rows: %d, total errors: %d","Kontrollerede rækker: %d, kontrollerede enheder: %d, ugyldige rækker: %d, samlede fejl: %d"
"Column names: ""%s"" are invalid","Kolonnenavne: ""%s"" er ugyldig"
"Column names have duplicates","Kolonnenavne har dubletter"
"Column names is empty or is not an array","Kolonnenavne er tomme eller er ikke et array"
"CSV","CSV"
"Customers","Kunder"
"Data is invalid or file is not uploaded","Data er ugyldig, eller filen er ikke uploadet"
"Delete Entities","Slet Enheder"
"Destination directory is not writable","Destinationsmappe er ikke skrivbar"
"Destination file is not writable","Destinationsfilen er ikke skrivbar"
"Destination file path must be a string","Destinationsfilsti skal være en streng"
"Done import data validation","Validering af importdata"
"Duplicate Unique Attribute for '%s'","Dupliker entydig attribut for '%s'"
"Each data row must be an array","Hver datarække skal være et array"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","Entity adapter objekt skal være en instans af Mage_ImportExport_Model_Import_Entity_Abstract"
"Entity is unknown","Enhed er ukendt"
"Entity Type","Enhedstype"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Enhedstypemodel skal være en instans af Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Enhedstypemodel skal være en instans af Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract"
"Error in data structure: behaviors are mixed","Fejl i datastruktur: Opførsel er blandet"
"Error in data structure: entity codes are mixed","Fejl i datastruktur: entity koder er blandet"
"Errors limit (%d) reached. Please fix errors and re-upload file","Fejl grænse (%d) nået. Ret fejl og gen-upload fil"
"Escape CSV fields","Escape CSV felter"
"Export","Eksporter"
"Exported %s rows.","Eksporterede %s rækker."
"Export File Format","Eksportér Filformat"
"Export has been done.","Eksport er udført."
"Export Settings","Eksporter Indstillinger"
"File does not contain data.","Filen indeholder ikke data."
"File does not contain data. Please upload another one","Filen indeholder ikke data. Upload venligst en anden"
"File format is unknown","Filformatet er ukendt"
"File is partially valid, but import is not possible","Filen er delvist gyldig, men det er ikke muligt at importere"
"File is totally invalid. Please fix errors and re-upload file","Filen er fuldstændig ugyldig. Ret venligst fejl og gen-upload fil"
"File is valid! To start import process press ""Import"" button","Filen er gyldig! For at starte importprocessen tryk på knappen ""Importér"""
"File is valid, but import is not possible","Filen er gyldig, men import er ikke mulig"
"File was not uploaded","Filen blev ikke uploadet"
"Filter","Filtrer"
"From","Fra"
"Header column names already set","Header kolonne navne allerede sat"
"Import","Importér"
"Import/Export","Importér/eksport"
"Import Behavior","Importér Opførsel"
"Import CSV","Importér CSV"
"Import has been done successfuly.","Import er gennemført."
"Import Settings","Importér Indstillinger"
"Import successfully done.","Import gennemført."
"Incorrect entity type","Forkert enhedstype"
"Input entity code is not equal to entity adapter code","Input entity code is not equal to entity adapter code"
"in rows","i rækker"
"in rows:","i rækker:"
"Invalid entity","Ugyldig enhed"
"Invalid entity model","Ugyldig enhedsmodel"
"Invalid file format","Ugyldigt filformat"
"Invalid parameters","Ugyldige parametre"
"Invalid seek position","Ugyldig søgeposition"
"Invalid seek position: %d","Ugyldig søgefunktion: %d"
"Invalid value for '%s'","Ugyldig værdi for '%s'"
"Invalid value for '%s' column","Ugyldig værdi for '%s' kolonne"
"No data provided for import","Ingen data angivet for import"
"No data rows found after header processing","Ingen datarækker fundet efter header behandling"
"Node does not has model token tag","Node har ikke model token tag"
"No filter data provided","Ingen filterdata leveret"
"No source specified","Ingen kilde angivet"
"Not implemented yet","Ikke implementeret endnu"
"No valid data sent","Ingen gyldige data sendt"
"No writer specified","Ingen brænder angivet"
"Please fix errors and re-upload file","Ret fejl og gen-upload fil"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Ret fejl og re-upload fil eller blot trykke på ""Import"" knappen for at springe rækker med fejl"
"Products","Produkter"
"Replace Existing Complex Data","Erstat Eksisterende Komplekse Data"
"Row %d is not an array","Række %d er ikke et array"
"Row %d missing columns: %s","Række %d manglende kolonner: %s"
"Select File to Import","Vælg fil at importere"
"Skip","Overspring"
"Source data array cannot be empty","Kildedatarray må ikke være tomt"
"Source data must be an array","Kildedata skal være et array"
"Source file moving failed","Flytning af kildefil mislykkedes"
"Source is not set","Kilden er ikke angivet"
"Source must be a string file path or array","Kilde skal være en streng fil sti eller array"
"Status","Status"
"There are no product types available for export","Der er ingen varetyper til eksport"
"There is no data for export","Der er ingen data for eksport"
"To","Til"
"Total size of uploadable files must not exceed %s","Samlet størrelse af uploadede filer må ikke overstige %s"
"Unknown attribute filter type","Ukendt attributfiltertype"
"Uploaded file has no extension","Uploadet fil har ingen udvidelse"
"Validation finished successfully","Validering fuldført"
