"Average Duration","Gennemsnitlig Varighed"
"Average Pages","Gennemsnitlige Sider"
"Bounce Rate","Bounce Rate"
"Browsers","Browsers"
"Devices","Enheder"
"Devices & Browsers","Enheder Og Browsere"
"Direct / No referrer","Direkte / Ingen henvisning"
"Enable Log","Aktiver Log"
"Enable Log Cleaning","Aktiver Log Rengøring"
"Error Email Recipient","Fejl E-Mail Modtager"
"Error Email Sender","Error Email Sender"
"Error Email Template","Fejl E-Mail Skabelon"
"Exit Pages","Afslut Sider"
"Exits","Afslutter"
"Frequency","Frekvens"
"Landing Pages","Landing Sider"
"Log","Log"
"Log cleanup Warnings","Log oprydning Advarsler"
"Logged in","Logget ind"
"Login Conversion","Login Konvertering"
"New vs Returning","Ny mod returnering"
"No data","Ingen data"
"No language data available","Ingen tilgængelige sprogdata"
"No page view data available","Ingen tilgængelige sidevisningsdata"
"No traffic source data available","Ingen tilgængelige trafikkildedata"
"of visitors logged in","af besøgende logget ind"
"Online","Online"
"Page","Side"
"Returning","Returnering"
"Save Log, Days","Gem Log, Dage"
"Session Metrics","Session Metrics"
"Sessions","Sessioner"
"Start Time","Start Tid"
"Today","Idag"
"Top Pages","Top Sider"
"Total visitors","Samlede besøgende"
"Traffic Sources","Trafik Kilder"
"Views","Visninger"
"Visitors","Besøgende"
"Visitors only","Kun besøgende"
"Visits","Besøg"
"Week","Uge"
