"%s-%s of %s","%s-%s af %s"
"%s - Go to Home Page","%s - Gå til startside"
"%s Item(s)","%s Element(er)"
"-- Please Select --","-- Vælg Venligst --"
"-- Use Default --","-- Brug Standard --"
"1 column","1 kolonne"
"2 columns with left bar","2 kolonner med venstre bjælke"
"2 columns with right bar","2 kolonner med højre bjælke"
"3 columns","3 kolonner"
"Account","Konto"
"All Empty Layout Pages","Alle Tomme Layout Sider"
"All Minimal Layout Pages","Alle Minimale Layout Sider"
"All One-Column Layout Pages","Alle Ensøjle Layout Sider"
"Allow","Tillad"
"All Pages","Alle Sider"
"All Pages (Print Version)","Alle Sider (Print Version)"
"All Rights Reserved.","Alle Rettigheder Forbeholdes."
"All Three-Column Layout Pages","Alle Tre-Søjle Layout Sider"
"All Two-Column Layout Pages (Left Column)","Alle To-Søjles Layout Sider (Venstre Søjle)"
"All Two-Column Layout Pages (Right Column)","Alle To-Søjles Layout Sider (Højre Kolonne)"
"Breadcrumbs","Brødkrummer"
"Click <a href=""%s"">here</a> if nothing has happened","Klik på <a href=""%s"">her</a> hvis intet er sket"
"Close","Luk"
"Close Window","Luk Vindue"
"CMS Block","Cms Blok"
"Custom Text","Brugerdefineret Tekst"
"Default Description","Standard Beskrivelse"
"Demo Store Notice CMS Block","Demo Butik varsel CMS Block"
"Demo Store Notice Text","Demo Butik Varsel Tekst"
"Deprecated: Use SVG or srcset","Forældet: Brug SVG eller srcset"
"Disabled","Deaktiveret"
"Empty","Tom"
"Interface Language","Grænsefladesprog"
"Leave empty to use the default text.","Efterlad blank for at bruge standardteksten."
"Left Column","Venstre Kolonne"
"Left Column First (shows above main column on smaller screens)","Venstre kolonne Først (viser over hovedsøjlen på mindre skærme)"
"Logo Height (in px)","Logo Højde (i px)"
"Logo Width (in px)","Logo bredde (i px)"
"Main Content Area","Hovedindhold Område"
"Main Navigation","Hoved Navigation"
"Menu","Menu"
"Minimal","Minimal"
"Navigation Bar","Navigationsbjælke"
"Next","Næste"
"Page:","Side:"
"Page Bottom","Side Nederst"
"Page Footer","Sidefod"
"Page Header","Side Header"
"Page Top","Side Top"
"per page","pr. side"
"Previous","Forrige"
"Primary sidebar","Primær sidepanel"
"Redirecting...","Omdirigerer..."
"Results per page","Resultater pr. side"
"Right Column","Højre Kolonne"
"Right sidebar","Højre sidepanel"
"Search","Søg"
"Secondary sidebar","Sekundær sidepanel"
"Select Store","Vælg Butik"
"Select Store:","Vælg Butik:"
"Show","Vis"
"Skip to main content","Spring til hovedindhold"
"Store Notice","Butik Meddelelse"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Dette er en demo butik. Eventuelle ordrer, der afgives gennem denne butik, vil ikke blive hædret eller opfyldt."
"View All","Vis Alle"
"Welcome!","Velkommen!"
"Welcome, %s!","Velkommen, %s!"
"Your Language","Dit Sprog"
"Your Language:","Dit Sprog:"
