"""Once Until Success"" prevents repeated emails until the feed generates successfully","""Når indtil succes"" forhindrer gentagne e-mails, indtil feedet genereres med succes"
"%c / %t (%p%)","%c / %t (%p%)"
"%d destination(s) have been deleted.","%d destination(er) er blevet slettet."
"%d destination(s) have been updated.","%d destination(er) er blevet opdateret."
"%d destination(s) were skipped because they are in use by feeds.","%d destination(er) blev sprunget over, fordi de er i brug af feeds."
"%d errors","%d fejl"
"%d feed(s) generated successfully.","%d feed(s) genereret."
"%d feed(s) have been deleted.","%d feed(s) er blevet slettet."
"%d feed(s) have been updated.","%d feed(s) er blevet opdateret."
"%d rule(s) have been deleted.","%d regler er blevet slettet."
"%d rule(s) have been updated.","%d regler er blevet opdateret."
"%d system rule(s) were skipped and cannot be deleted.","%d systemregler blev sprunget over og kan ikke slettes."
"%i included + %e excluded / %t (%p%)","%i inkluderet + %e eksklusiv / %t (%p%)"
"%s excluded due to filters","%s ekskluderet pga. filtre"
"%s failed for feed ""%s"". Errors: %s","%s fejlede for feed ""%s"". Fejl: %s"
"%s products","%s produkter"
"(Used when no other case matches)","(Bruges, når ingen andre tilfælde matcher)"
"+ Add Column","+ Tilføj Kolonne"
"+ Add Transformer","+ Tilføj Transformator"
"+ Array","+ Array"
"+ Child Element","+ Barneelement"
"+ Element","+ Element"
"+ Field","+ Felt"
"+ Group","+ Gruppe"
"+ Object","+ Objekt"
"-- Select Attribute --","-- Vælg Attribut --"
"-- Select Platform --","-- Vælg Platform --"
"-- Select Rule --","-- Vælg Regel --"
"-- Select Type --","-- Vælg Type --"
" ... and %d more errors."," ... og %d flere fejl."
"Access Token","Adgangs Token"
"Action","Handling"
"Actions","Handlinger"
"Add Case","Tilføj Sag"
"Add New Destination","Tilføj Ny Destination"
"Add New Feed","Tilføj Nyt Feed"
"Add New Mapping","Tilføj Nyt Kortlægning"
"Add New Rule","Tilføj Ny Regel"
"Admin Inbox Only","Kun Admin Indbakke"
"A friendly name for this rule","Et venligt navn til denne regel"
"A friendly name to identify this destination","Et venligt navn til at identificere denne destination"
"Always","Altid"
"Append currency code (e.g., ""295.00 USD"") to price fields","Tilføj valuta kode (fx, ""295.00 USD"") til prisfelter"
"Append Currency to Prices","Tilføj valuta til priser"
"Are you sure you want to delete selected feeds?","Er du sikker på, at du vil slette valgte feeds?"
"Are you sure you want to delete the selected rules? System rules cannot be deleted.","Er du sikker på, at du vil slette de valgte regler? Systemregler kan ikke slettes."
"Are you sure you want to generate this feed now?","Er du sikker på, at du vil generere dette feed nu?"
"Array","Array"
"A rule with this code already exists.","Der findes allerede en regel med denne kode."
"Attribute:","Attribut:"
"Attribute Set","Attribut Sæt"
"Authentication","Godkendelse"
"Auto-mapped %d categories.","Auto-kortlagte %d kategorier."
"Auto-Map Unmapped","Auto-Kort Unmapped"
"Automatically upload feed after generation","Upload automatisk feed efter generering"
"Auto Upload","Automatisk Upload"
"Back","Tilbage"
"Batch Size","Batch Størrelse"
"Bing Shopping","Butik Af Bing"
"Boolean","Boolean"
"Both Email and Admin Inbox","Både Email og Admin Indbakke"
"Bulk Mode Active","Masse Tilstand Aktiv"
"Bundle Product","Bundt Produkt"
"Business ID","Business ID"
"Cancel","Annuller"
"Cannot delete destination. %d feed(s) are using it.","Kan ikke slette destination. %d feed(s) bruger den."
"Case","Sag"
"Case %s","Sag %s"
"Catalog","Katalog"
"Catalog, Search","Katalog, Søg"
"Catalog ID","Katalog ID"
"Category","Kategori"
"Category Mapping","Kategori Kortlægning"
"Category Taxonomy","Kategori Taksonomi"
"CDATA","CDATA"
"Change Status","Skift Status"
"Character used as decimal point (usually . or ,)","Tegn brugt som decimaltal (normalt . or ,)"
"Character used as thousands separator (usually , or . or space). Leave empty for none.","Tegn brugt som tusindvis separator (sædvanligvis , eller . eller mellemrum). Lad være tomt for ingen."
"Clear","Ryd"
"Click to apply, Shift+Click for range:","Klik for at ansøge Skift + Klik for interval:"
"Close","Luk"
"Closing XML tags","Lukker XML tags"
"Code","Kode"
"Code is required.","Kode er påkrævet."
"Code must start with a letter and contain only lowercase letters, numbers, and underscores.","Koden skal starte med et bogstav og kun indeholde små bogstaver, tal og understregninger."
"Column Name","Kolonne Navn"
"Combined","Kombineret"
"Combined Fields","Kombinerede Felter"
"Combined Template","Kombineret Skabelon"
"Comma (,)","Komma (,)"
"Common Exclusions","Almindelige Udelukkelser"
"Completed","Afsluttet"
"Compress the feed file with gzip (.gz extension)","Komprimer feed-filen med gzip (.gz udvidelse)"
"Conditional Rule","Betinget Regel"
"Conditions","Betingelser"
"Conditions (leave blank to always match)","Betingelser (lad være tom for altid at matche)"
"Conditions Combination","Betingelser Kombination"
"Configurable Product","Konfigurerbart Produkt"
"Configure destinations under Catalog > Feed Manager > Upload Destinations","Konfigurer destinationer under Katalog > Feed Manager > Upload Destinationer"
"Configure Transformers","Konfigurer Transformers"
"Contains","Indeholder"
"Copied!","Kopieret!"
"Copy","Kopiér"
"Copy this mapping for bulk apply","Kopier denne mapping for bulk gælder"
"Coverage","Dækning"
"Created Date","Oprettet Dato"
"CSV Builder","CSV Builder"
"Custom","Tilpasset"
"Custom CSV","Brugerdefineret CSV"
"Custom Formats","Brugerdefinerede Formater"
"Custom JSON","Brugerdefineret JSON"
"Custom JSONL","Brugerdefineret JSONL"
"Custom XML","Brugerdefineret XML"
"Daily (00:00)","Dagligt (00:00)"
"Date","Dato"
"Delete","Slet"
"Delete Destination","Slet Destination"
