"(not processed yet)","(ikke behandlet endnu)"
"0 disables the limit.","0 deaktiverer grænsen."
"<strong>Enabling this alone does not display the button.</strong> The law requires the revocation button to stay permanently visible during the withdrawal period, but only your theme knows where that is. After enabling, you must place the <strong>Revocation Button</strong> widget in a block shown on every storefront page (typically the footer). Until you do, the form exists at <em>/revocation</em> but nothing links to it.","<strong>Aktivering af dette alene viser ikke knappen.</strong> Loven kræver tilbagekaldelsesknappen for at forblive permanent synlig i løbet af fortrydelsesperioden, men kun dit tema ved, hvor det er. Efter aktivering, skal du placere <strong>Tilbagekaldelsesknap</strong> widget i en blok vist på hver butiksforside (typisk sideside). Indtil du gør det, findes formularen <em>/tilbagekaldelse</em> men intet link til det."
"Abuse Protection","Misbrug Beskyttelse"
"Accepted","Accepteret"
"Accepting or rejecting only records the decision and adds a note to this order. The order status, state, and any refund are left unchanged.","At acceptere eller afvise registrerer kun beslutningen og tilføjer en note til denne ordre. Ordrestatus, status og eventuelle tilbagebetalinger er uændret."
"Accept Revocation","Accepter Tilbagekaldelse"
"Accept this revocation? This records the decision and adds a note to the matched order. No order status or refund changes automatically.","Accepter denne tilbagekaldelse? Dette registrerer beslutningen og tilføjer en note til den matchede ordre. Ingen ordrestatus eller refunderer ændringer automatisk."
"A confirmation email is on its way to you.","En bekræftelsesmail er på vej til dig."
"Adds an invisible trap field. Submissions that fill it are silently dropped as bot traffic.","Tilføjer et usynligt fælde felt. Indsendelser, der udfylder det, bliver lydløst tabt som bot trafik."
"Back","Tilbage"
"Button Label","Knap Etiket"
"Cooling-Off Period (Days)","Afkølingsperiode (dage)"
"create a credit memo","opret en kreditnota"
"CSV","CSV"
"Customer Name","Kunde Navn"
"Customer Receipt Template","Kunde Kvittering Skabelon"
"Customer submitted revocation request #%s via their account.","Kunde indsendt tilbagekaldelsesanmodning #%s via deres konto."
"Custom Label","Brugerdefineret Etiket"
"Declaration (read-only legal record)","Erklæring (skrivebeskyttet lovbog)"
"Email","E-mail"
"Email Sender","E-Mail Afsender"
"Email Settings","Email Indstillinger"
"Email Suppressed","E-mail Understøttet"
"Enabled","Aktiveret"
"EU Directive 2023/2673 (in Germany: &sect;356a BGB) requires B2C shops selling into the EU to provide a revocation button from 19 June 2026. This module provides that channel.","EU-direktiv 2023/2673 (i Tyskland: &sect;356a BGB) kræver, at B2C-butikker, der sælger til EU, leverer en tilbagekaldelsesknap fra den 19. juni 2026. Dette modul sørger for denne kanal."
"Further requests are still recorded, but the customer receipt email is suppressed (visible and resendable in the admin grid). Defeats email-bombing of third parties. 0 disables the limit.","Yderligere forespørgsler er stadig optaget, men kunde kvittering e-mail er undertrykt (synlig og gensynlig i admin gitter). Defeats email-bombning af tredjeparter. 0 deaktiverer grænsen."
"General","Generelt"
"Honeypot Field","Honeypot Felt"
"ID","ID"
"If you do not receive a confirmation email within a few minutes, please contact us at %s and quote your reference number.","Hvis du ikke modtager en bekræftelses-e-mail inden for et par minutter, bedes du kontakte os på %s og citere dit referencenummer."
"I hereby revoke this contract","Jeg ophæver hermed denne kontrakt"
"Information Requested","Information Anmodet"
"Internal Note","Intern Note"
"Invalid decision.","Ugyldig beslutning."
"Invalid form key. Please refresh the page and try again.","Ugyldig formularnøgle. Opdater venligst siden og prøv igen."
"Invalid processing status.","Ugyldig processtatus."
"IP Address","Ip Adresse"
"Leave empty to use the General Contact email address.","Efterlad blank for at bruge Generel Kontakt e-mail-adressen."
"Leave empty to use the label configured under Sales > Revocation Button.","Lad være tomt for at bruge etiketten konfigureret under Salg > Tilbagekaldelse knap."
"Leave empty to use the translated default (""Revoke contract"" / ""Vertrag widerrufen"").","Lad være tomt for at bruge den oversatte standard (""Tilbagekald kontrakt"" / ""Vertrag widerrufen"")."
"Link Order","Link Ordre"
"Link to order (increment ID):","Link til ordre (inkrement- ID):"
"Link to the contract revocation form (EU Directive 2023/2673). Place it in your footer or anywhere it must stay visible during the withdrawal period.","Link til kontrakttilbagekaldelsesformularen (EU-direktiv 2023/2673). Placer den i din footer eller hvor som helst den skal være synlig i løbet af fortrydelsesfristen."
"Locale","Landestandard"
"Mark as Accepted","Marker som accepteret"
"Mark as Rejected","Markér som afvist"
"Mark the selected requests as accepted? The matched orders are not modified.","Markér de valgte forespørgsler som accepteret? De matchede ordrer ændres ikke."
"Mark the selected requests as rejected? The matched orders are not modified.","Markér de valgte forespørgsler som afvist? De matchede ordrer ændres ikke."
"Matched Order","Matchede Ordre"
"Merchant Notification Email","Merchant Notifikation E-Mail"
"Merchant Notifications per Store per Hour","Merchant Notifikationer pr. butik pr. time"
"Merchant Notification Template","Sælger Notifikation Skabelon"
"Minimum Submit Time (Seconds)","Minimum Indsend Tid (Sekunder)"
"Must only acknowledge receipt of the declaration, never acceptance.","Må kun anerkende modtagelsen af erklæringen, aldrig acceptere."
"Name","Navn"
"No","Nej"
"No (self-asserted via the public form)","Nej (selvhævdet via den offentlige formular)"
"No order could be matched to this request. The customer typed ""%s"".","Ingen ordre kunne matches til denne anmodning. Kunden indtastede ""%s""."
"No order found for increment ID ""%s"".","Ingen ordre fundet for tilvækst ID ""%s""."
