"""%s"" is not available in the requested quantity. %s of the items will be backordered.","""%s"" is not available in the requested quantity. %s of the items will be backordered."
"%s is available for purchase in increments of %s only.","%s is available for purchase in increments of %s only."
"%s is not a correct comparsion method.","%s is not a correct comparsion method."
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart."
"Add Minimum Qty","Mindestmenge hinzufügen"
"Allow Qty Below 0","Menge unter 0 zulassen"
"Allow Qty Below 0 and Notify Customer","Menge unter 0 zulassen und Kunden informieren"
"Automatically Return Credit Memo Item to Stock","Erzeuge automatische Gutschrift wenn Artikel zurück in Lager geht"
"Backorders","Rückstand"
"By Fixed value","Um festen Wert"
"By Percentage","Um einen Prozentsatz"
"Cannot specify product identifier for the order item.","Cannot specify product identifier for the order item."
"Catalog Inventory","Catalog Inventory"
"Decrease Stock When Order is Placed","Verringere Lagerbestand bei Bestellung"
"Display Out of Stock Products","Anzeige der ""Nicht auf Lager"" Produkte"
"Display products availability in stock in the frontend","Display products availability in stock in the frontend"
"Enable Qty Increments","Mengenerhöhungen aktivieren"
"Index Product Stock Status","Index Product Stock Status"
"In Stock","Auf Lager"
"Inventory","Inventar"
"Inventory API","Inventory API"
"Manage Stock","Lagerbestand verwalten"
"Maximum Qty Allowed in Shopping Cart","Maximal erlaubte Menge im Warenkorb"
"Minimum Qty","Mindestmenge"
"Minimum Qty Allowed in Shopping Cart","Minimal erlaubte Menge im Warenkorb"
"Multi update product stock data","Multi update product stock data"
"No Backorders","Keine Backorders"
"Not all products are available in the requested quantity","Not all products are available in the requested quantity"
"Notify for Quantity Below","Benachrichtigung bei Menge unter"
"Only %s left","Only %s left"
"Only X left Threshold","""Nur noch X Produkte verfügbar"" Schwelle"
"Out of Stock","Nicht auf Lager"
"Product Name","Artikelname"
"Product Stock Options","Lagerverwaltungs Optionen"
"Products will still be shown by direct product URLs.","Produkte werden weiterhin unter direkter Produkt-URL angezeigt."
"Qty","Menge"
"Qty for Item's Status to Become Out of Stock","Qty for Item's Status to Become Out of Stock"
"Qty Increments","Anzahl erhöhen"
"Retrieve stock data","Retrieve stock data"
"Retrieve stock data by product ids","Retrieve stock data by product ids"
"Rule price","Regel-Preis"
"Set Items' Status to be In Stock When Order is Cancelled","Setze Lagerstatus auf ""Verfügbar"" wenn Bestellung storniert wird"
"Some of the products are currently out of stock.","Some of the products are currently out of stock."
"Some of the products are not available","Some of the products are not available"
"Some of the products cannot be ordered in requested quantity.","Some of the products cannot be ordered in requested quantity."
"Some of the products cannot be ordered in the requested quantity.","Some of the products cannot be ordered in the requested quantity."
"Stock Options","Lagerbestands Optionen"
"Stock Status","Lagerstatus"
"The maximum quantity allowed for purchase is %s.","The maximum quantity allowed for purchase is %s."
"The minimum quantity allowed for purchase is %s.","The minimum quantity allowed for purchase is %s."
"The requested quantity for ""%s"" is not available.","The requested quantity for ""%s"" is not available."
"The stock item for Product in option is not valid.","Der Lagerartikel für das Produktoption ist nicht gültig."
"The stock item for Product is not valid.","The stock item for Product is not valid."
"This product is available for purchase in increments of %s only.","This product is available for purchase in increments of %s only."
"This product is currently out of stock.","This product is currently out of stock."
"This product is not available in the requested quantity. %s of the items will be backordered.","This product is not available in the requested quantity. %s of the items will be backordered."
"This product with current option is not available","This product with current option is not available"
"To Fixed Value","Auf einen festen Wert"
"To Percentage","Auf einen Prozentsatz"
"Undefined product type.","Undefined product type."
"Update","Aktualisieren"
"Update product stock data","Update product stock data"
"Update the Product","Produkt aktualisieren"
