"-- Please Select --","-- Bitte wählen --"
"Add to Cart","In den Warenkorb"
"Are you sure to delete this fallback color?","Sind Sie sicher, dass Sie diese Fallback-Farbe löschen möchten?"
"Choose an Option...","Wählen Sie eine Option..."
"Configurable Swatches","Konfigurierbare Muster"
"Dynamic Price Change for Swatches in Product Listing","Dynamische Preisänderung für Auswahlfelder im Produktlisting"
"Enabled","Aktiviert"
"General Settings","Allgemeine Einstellungen"
"Height","Höhe"
"Innermost dimensions, not including border, in pixels","Innerste Abmessungen, ohne Rand, in Pixeln"
"In Stock","Auf Lager"
"Out of Stock","Nicht auf Lager"
"Previous","Zurück"
"Product Attributes to Show as Swatches in Product Detail","Artikelattribute zum Anzeigen der Muster in den Artikeldetails"
"Product Attribute to Use for Swatches in Product Listing","Artikelattribut zum Benutzen der Muster in Kategorieansicht"
"Remove This Item","Diesen Artikel entfernen"
"Swatch","Muster"
"Swatch Dimensions in Layered Navigation","Musterbildabmessungen in Filternavigation"
"Swatch Dimensions in Product Listing","Musterbildabmessungen in Kategorieansicht"
"Swatch Dimensions on Product Detail Page","Musterbildabmessungen auf der Artikeldetailseite"
"Width","Breite"
