"(Make sure you keep it in a safe place.)","(Vergewissern Sie sich, dass Sie es an einem sicheren Ort halten.)"
"(Optional. Leave blank for no prefix)","(Optional. Leer lassen für kein Präfix)"
"(ver. %s)","(ver. %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Zusätzlicher Pfad wurde nach der Basis-URL hinzugefügt, um auf Ihr Administrationsfeld zuzugreifen (z.B. Admin, Backend, Kontrolle etc.)."
"Admin Path","Adminpfad"
"After successfull installation please click the button below.","Nach erfolgreicher Installation klicken Sie bitte unten auf den Button."
"All packages were installed, click 'OK' to continue with installation.","Alle Pakete wurden installiert, klicken Sie auf 'OK', um mit der Installation fortzufahren."
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Alternativ können Sie die Methode 'Manuelle Downloads und Upgrades' ausprobieren."
"Base URL","Basis-URL"
"Before you continue to your store, please make a note of your encryption key (Maho uses it to encrypt passwords, credit cards and more).","Bevor Sie mit Ihrem Shop fortfahren, notieren Sie sich bitte Ihren Verschlüsselungsschlüssel (Maho verwendet ihn zur Verschlüsselung von Passwörtern, Kreditkarten und mehr)."
"Check out our","Schau dir unsere"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Aktivieren Sie dieses Kontrollkästchen nur, wenn es nicht möglich ist, die sichere URL automatisch zu validieren, zum Beispiel wenn eine HTTP-Authentifizierung erforderlich ist."
"Check this box only if it is not possible to automatically validate the Base URL.","Aktivieren Sie dieses Kästchen nur, wenn es nicht möglich ist, die Basis-URL automatisch zu validieren."
"Choose this if you would like to test frontend and backend functionality.","Wählen Sie dies, wenn Sie Frontend und Backend-Funktionalität testen möchten."
"Configuration","Konfiguration"
"Confirm Password","Passwort bestätigen"
"Connection","Verbindung"
"Continue","Weiter"
"Continue After Manual Download","Nach dem manuellen Download fortfahren"
"Continue Full Download / SVN Installation","Vollständige Download / SVN Installation fortsetzen"
"Create Admin Account","Admin-Konto erstellen"
"Currently this is the most stable state available for Maho packages.","Momentan ist dies der stabilste verfügbare Zustand für Maho-Pakete."
"Database","Datenbank"
"Database Connection","Datenbankverbindung"
"Database Name","Datenbankname"
"Database Name cannot be empty.","Datenbankname darf nicht leer sein."
"Database Type","Datenbanktyp"
"Database connection error.","Datenbankverbindungsfehler."
"Database host","Datenbank-Host"
"Database server does not support the InnoDB storage engine.","Der Datenbankserver unterstützt die InnoDB Speicher-Engine nicht."
"Database user name","Datenbank-Benutzername"
"Database user password","Datenbank-Benutzerpasswort"
"Default Currency","Standardwährung"
"Download","Download"
"Download Maho Core Modules and Updates","Maho Core Module und Updates herunterladen"
"Downloading and installing Maho, please wait...","Maho wird heruntergeladen und installiert, bitte warten..."
"Email","E-Mail"
"Email Address","E-Mail-Adresse"
"Enable Charts","Diagramme aktivieren"
"Enable this option if you want the charts to be displayed on Dashboard.","Aktivieren Sie diese Option, wenn Sie möchten, dass die Diagramme im Dashboard angezeigt werden."
"Enable this option only if you have SSL available.","Aktivieren Sie diese Option nur, wenn Sie SSL zur Verfügung haben."
"Encryption Key","Verschlüsselungsschlüssel"
"File System","Dateisystem"
"First Name","Vorname"
"Full Download / SVN Installation","Vollständige Download / SVN Installation"
