"-OR-","-OR-"
"2-pixel perimeter around the header space.","2-Pixel Umfang um den Header."
"3D Secure","3D Secure"
"3D Secure Card Validation","3D Secure Card Validation"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"Ability for buyer to purchase without PayPal account.","Möglichkeit für Käufer, ohne PayPal-Account zu kaufen"
"A case that has been resolved and close requires a reimbursement.","Ein Vorfall, der bereits gelöst und geschlossen ist, erfordert eine Erstattung."
"Acceptance Mark","Akzeptanz-Markierung"
"Acceptance Mark Image","Akzeptanz Markierungs-Bild"
"Accept credit card and PayPal payments securely.","Accept credit card and PayPal payments securely."
"Accept credit cards, debit cards and PayPal payments securely.","Accept credit cards, debit cards and PayPal payments securely."
"Accept payments in your shopping cart. PayPal will process your card payments through the Payflow Gateway.","Accept payments in your shopping cart. PayPal will process your card payments through the Payflow Gateway."
"Accept payments with a completely customizable checkout.","Accept payments with a completely customizable checkout."
"Accept payments with a completely customizable checkout page.","Akzpetieren Sie Zahlungen mit einem angepasst gestalteten Zahlungsvorgang."
"Accept payments with a PCI-compliant checkout that keeps customers on your site.","Accept payments with a PCI-compliant checkout that keeps customers on your site."
"Accept payments with a PCI compliant checkout that keeps customers on your site.","Accept payments with a PCI compliant checkout that keeps customers on your site."
"Account-to-Account Payment, initiated by PayPal","Account-zu-Account Zahlung, ausgelöst durch PayPal"
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH-Kaution (Halten für Streitschlichtung oder andere Untersuchungen)"
"ACH Deposit (Reversal)","ACH-Kaution (Storno)"
"ACH Funding for Funds Recovery from Account Balance","ACH-Finanzierung für Fonds-Erholung des Kontenstands"
"ACH Withdrawal","ACH-Widerrufsrecht"
"Add another payment method to your existing solution or as a stand-alone option.","Fügen Sie eine andere Zahlungsmethode Ihrer bestehenden Lösung oder als Stand-Alone-Option hinzu."
"Add PayPal as an additional payment method to your checkout page.","PayPal als zusätzliche Zahlungsmethode zu Ihrer Checkout-Seite hinzufügen."
"Add PayPal as an additional payment method to your checkout page to increase your sales.","Add PayPal as an additional payment method to your checkout page to increase your sales."
"Address","Adresse"
"Address Verification System Response","Adressüberprüfung-Systemantwort"
"Advanced Settings","Erweiterte Einstellungen"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile)."
"Allowed Credit Card Types","Pflichtangabe der Rechnungsadresse des Kunden"
"Allow in Billing Agreement Wizard","Im Abrechnungsvereinbarungs-Wizard erlauben"
"All the address information matched","Alle Adressinformationen übereinstimmend"
"Also affects mini-shopping cart.","Dies betrifft auch den Mini-Warenkorb."
"API Authentication Methods","API-Authentifizierungsmethoden"
"API Certificate","API-Zertifikat"
"API Password","API Passwort"
"API Signature","API-Signatur"
"API Username","API-Benutzername"
"API Uses Proxy","API verwendet Proxy"
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","Eine Stornierung ist bei dieser Transaktion aufgrund des Verdachts einer unerlaubten Täuschung aufgetreten."
"A reversal has occurred on this transaction because you have given the customer a refund.","Eine Stornierung hat bei dieser Transaktion stattgefunden, da Sie dem Kunden eine Rückerstattung gewährt haben."
"A reversal has occurred on this transaction due to a chargeback by your customer.","Eine Stornierung hat bei dieser Transaktion durch eine Rückbuchung des Kunden stattgefunden."
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","Eine Stornierung hat bei dieser Transaktio aufgrund einer Beschwerde des Kunden über die Transaktion stattgefunden."
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","Eine Stornierung hat bei dieser Transaktion aufgrund des Auslösens einer Geld-zurück-Garantie stattgefunden."
"Ask Customer","Kunden fragen"
"Auction Payment other than through eBay","Auktionszahlung außer eBay"
"Authorization","Autorisierung"
"Authorization Honor Period (days)","Autorisierungs-Honorierungs-Zeitraum (Tage)"
"Authorization transaction is required to void.","Authorization transaction is required to void."
"Authorized amount of %s.","Authorized amount of %s."
"Authorizing amount of %s is pending approval on gateway.","Authorizing amount of %s is pending approval on gateway."
"Auto","Automatisch"
"AutoSweep","AutoSweep"
"Available Balance","Verfügbares Guthaben"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","A value is required for live mode. Refer to your CardinalCommerce agreement."
"Balance Manager Account Bonus","Ausgleichsmanager-Kontobonus"
"Basic Settings - PayPal Express Checkout","Grundeinstellungen - PayPal Express Checkout"
"Basic Settings - PayPal Integral Evolution","Basic Settings - PayPal Integral Evolution"
"Basic Settings - PayPal Pasarela integral","Basic Settings - PayPal Pasarela integral"
"Basic Settings - PayPal Payflow Link","Grundeinstellungen - PayPal Payflow Link"
"Basic Settings - PayPal Payflow Pro","Grundeinstellungen- PayPal Payflow Pro"
"Basic Settings - PayPal Payments Advanced","Grundeinstellungen - PayPal Payments Advanced"
"Basic Settings - PayPal Payments Pro","Grundeinstellungen- PayPal Payments Pro"
"Basic Settings - PayPal Payments Pro Hosted Solution","Grundeinstellungen - PayPal Zahlungen Pro-Hosting-Lösung"
"Basic Settings - PayPal Payments Standard","Basic Settings - PayPal Payments Standard"
"Basic Settings - PayPal Pro","Basic Settings - PayPal Pro"
"Basic Settings - PayPal Website Payments Plus","Basic Settings - PayPal Website Payments Plus"
"Basic Settings - PayPal Website Payments Pro","Basic Settings - PayPal Website Payments Pro"
"Basic Settings - PayPal Website Payments Pro Hosted Solution","Grundeinstellungen - PayPal-Websitezahlungen Pro-Hosting-Lösung"
"Basic Settings - PayPal Website Payments Pro Payflow Edition","Basic Settings - PayPal Website Payments Pro Payflow Edition"
"Basic Settings - PayPal Website Payments Standard","Basic Settings - PayPal Website Payments Standard"
"Billing Agreement Signup","Abrechnungsvereinbarungsregistrierung"
"Billing Information","Bestellübersicht"
"Bonus for first ACH Use","Bonus für die erste ACH-Nutzung"
"Both section above must be complete. ","Both section above must be complete. "
"Buyer's Tax ID","Steuernummer des Käufers"
"Buyer's Tax ID Type","Umsatzsteuer-ID-Typ des Käufers"
"Buyer claims that a possible duplicate payment was made to the merchant.","Käufer behauptet, dass eine mögliche doppelte Zahlung an den Händler vorgenommen wurde."
"Buyer claims that he/she did not authorize transaction.","Käufer behauptet, dass er/sie die Transaktion nicht autorisiert hat."
"Buyer claims that he did not receive goods or service.","Käufer behauptet, dass er die Ware oder Dienstleistung nicht erhalten habe."
"Buyer claims that the goods or service received differ from merchant’s description of the goods or service.","Käufer behauptet, die Ware oder Dienstleistung weicht von der Artikelbezeichnung des Händlers ab."
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.","Käufer behauptet, dass die erhaltene Ware nicht zufriedenstellend, defekt oder beschädigt ist."
"Buyer Credit Payment","Käuferkreditzahlung"
"By default it is ""reports.paypal.com"".","Standardmäßig ist es ""reports.paypal.com""."
"Cannot create target file for reading reports.","Cannot create target file for reading reports."
"Can not send new order email.","Can not send new order email."
"Centinel API URL","Centinel API URL"
"Centinel Custom API URL","Centinel Custom API URL"
