"Abandoned Carts","Verlassene Warenkörbe"
"Abandoned carts","Verlassene Warenkörbe"
"Action","Aktion"
"Add to Cart","In den Warenkorb"
"Add to Compare","Zum Vergleich hinzufügen"
"Add to Wishlist","Zur Wunschliste hinzufügen"
"Any","Alle"
"Applied Coupon","Gutschein angewendet"
"Applies to Any of the Specified Order Statuses","Gilt für jeden der angegebenen Bestellstatus"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Sind Sie sicher, dass Sie die Lebensdauerstatistik aktualisieren möchten? Es kann zu Performance-Auswirkungen während dieser Operation kommen."
"Are you sure?","Bist du sicher?"
"Avg. Approved Rating","Durchschn. Genehmigte Bewertung"
"Avg. Rating","Durchschnittliche Bewertung"
"Bestsellers","Bestsellers"
"Bought from wishlists","Von Wunschlisten gekauft"
"CSV","CSV"
"Carts","Warenkorb"
"Catalog Category (Without Subcategories)","Katalog Kategorie (ohne Unterkategorien)"
"Compared Products Grid Template","Rastervorlage für verglichene Produkte"
"Compared Products List Template","Listenvorlage für verglichene Produkte"
"Coupons","Gutscheine"
"Coupons Usage Report","Gutscheinnutzungsbericht"
"Created At","Erstellt am"
"Current Month Starts","Aktueller Monat startet"
"Customer","Kunde"
"Customer Name","Kundenname"
"Customer Tags","Kunden-Tags"
"Customers","Kunden"
"Customers Report","Kundenbericht"
"Customers Reviews","Kundenbewertungen"
"Customers Tags","Kunden-Tags"
"Customers by Number of Orders","Kunden nach Anzahl der Bestellungen"
"Customers by Orders Total","Kunden nach Bestellsumme"
"Customers by number of orders","Kunden nach Anzahl der Bestellungen"
"Customers by orders total","Kunden nach Bestellungen insgesamt"
"Customers that have wishlist: %s%","Kunden mit Wunschliste: %s%"
"Dashboard","Dashboard"
"Day","Tag"
"Default Recently Compared Products Count","Standard Anzahl kürzlich verglichener Artikel"
"Default Recently Viewed Products Count","Standard Anzahl kürzlich angesehener Artikel"
"Description","Beschreibung"
"Detail","Details"
"Downloads","Downloads"
"Email","E-Mail"
"Empty Rows","Leere Zeilen"
"Enable Reports","Berichte aktivieren"
"Excel XML","Excel XML"
"Filter","Filtern"
"First Name","Vorname"
"From","Von"
"General","Allgemein"
"Guest","Gast"
"Hits","Treffer"
"ID","ID"
"IP Address","IP-Adresse"
"Index model name must be defined","Indexmodellname muss definiert sein"
