"""%s"" coupon code is not valid.","""%s"" coupon code is not valid."
"%s / %s rate:","%s / %s rate:"
"%s for %s","%s for %s"
"%s order(s) cannot be canceled","%s order(s) cannot be canceled"
"%s order(s) have been canceled.","%s order(s) have been canceled."
"%s order(s) have been put on hold.","%s order(s) have been put on hold."
"%s order(s) have been released from holding status.","%s order(s) have been released from holding status."
"%s order(s) were not put on hold.","%s order(s) were not put on hold."
"%s order(s) were not released from holding status.","%s order(s) were not released from holding status."
"* Enter custom price excluding tax","* Enter custom price excluding tax"
"* Enter custom price including tax","* Enter custom price including tax"
"* Required Fields","* Pflichtfelder"
"-- Please Select --","-- Bitte wählen --"
"-- Please Select Billing Agreement--","-- Bitte Zahlungsvereinbarung auswählen --"
"About This Order:","About This Order:"
"About This Profile:","About This Profile:"
"About Your Invoice","Über Ihre Rechnung"
"About Your Order","Über Ihre Bestellung"
"About Your Refund","Über Ihre Rückerstattung"
"About Your Shipment","Über Ihre Sendung"
"Accept or Deny Payment","Zahlung annehmen oder ablehnen"
"Accept Payment","Zahlung akzeptieren"
"Account Information","Kontoinformation"
"Action","Aktion"
"Actions","Aktionen"
"Activate","Aktivieren"
"Active","Aktiv"
"Add","Hinzufügen"
"Add comment to order","Add comment to order"
"Additional Product Info","Additional Product Info"
"Add New Address","Neue Adresse hinzufügen"
"Add new comment to credit memo","Add new comment to credit memo"
"Add new comment to shipment","Add new comment to shipment"
"Add new tracking number","Add new tracking number"
"Add Order Comments","Add Order Comments"
"Add Package","Paket hinzufügen"
"Add Products","Artikel hinzufügen"
"Address","Adresse"
"Address model is not defined.","Address model is not defined."
"Add Selected Product(s) to Option","Add Selected Product(s) to Option"
"Add Selected Product(s) to Order","Gewählte Artikel der Bestellung hinzufügen"
"Add Selected Product(s) to Package","Ausgewählte(s) Produkt(e) zum Paket hinzufügen"
"Add to Cart","In den Warenkorb"
"Add To Order","Keine Artikel"
"Add Tracking Number","Tracking-Nummer hinzufügen"
"Adjustment Fee","Anpassungsgebühr"
"Adjustment Refund","Berichtigungserstattung"
"Agreement Information","Vereinbarungsinformationen"
"Allow Reorder","Nachbestellug erlauben"
"Amount","Betrag"
"Amount: %s.","Amount: %s."
"Anchor Custom Title","Individueller Link-Text"
"An error occurred while assigning order status. Status has not been assigned.","An error occurred while assigning order status. Status has not been assigned."
"An error occurred while associating orders. Please try again.","An error occurred while associating orders. Please try again."
"An error occurred while creating shipping label.","Beim Erstellen des Versandetiketts trat ein Fehler auf."
"An error occurred while saving order status. The status has not been added.","An error occurred while saving order status. The status has not been added."
"An error occurred while unassigning order status.","An error occurred while unassigning order status."
"An error occurred while updating the order address. The address has not been changed.","An error occurred while updating the order address. The address has not been changed."
"An item option with code %s already exists.","An item option with code %s already exists."
"Append Comments","Kommentare anfügen"
"Apply","Anwenden"
"Apply Coupon Code","Gutscheincode anwenden"
"Approved the payment online.","Zahlung online genehmigt."
"Are you sure?","Sind Sie sicher?"
"Are you sure? This order will be canceled and a new one will be created instead","Are you sure? This order will be canceled and a new one will be created instead"
"Are you sure you want to accept this payment?","Sind Sie sicher, dass Sie diese Zahlung akzeptieren möchten?"
"Are you sure you want to cancel this order?","Sind Sie sicher, dass Sie diese Bestellung stornieren möchten?"
"Are you sure you want to delete all items from shopping cart?","Sind Sie sicher, dass alle Artikel aus Ihrem Warenkorb entfernt werden sollen?"
"Are you sure you want to deny this payment?","Sind Sie sicher, dass Sie diese Zahlung verweigern wollen?"
"Are you sure you want to do this?","Sind Sie sicher, dass Sie dies tun wollen?"
"Are you sure you want to send Creditmemo email to customer?","Are you sure you want to send Creditmemo email to customer?"
"Are you sure you want to send Invoice email to customer?","Are you sure you want to send Invoice email to customer?"
"Are you sure you want to send order email to customer?","Are you sure you want to send order email to customer?"
"Are you sure you want to send Shipment email to customer?","Are you sure you want to send Shipment email to customer?"
"Are you sure you want to void the payment?","Sind Sie sicher, dass Sie die Zahlung aufheben möchten?"
