"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled."
"%s Coupon(s) have been generated","%s Coupon(s) have been generated"
"Actions","Aktionen"
"Active","Aktiv"
"Add New Rule","Neue Regel"
"Alphabetical","Alphabetisch"
"Alphanumeric","Alphanumerisch"
"An error occurred while generating coupons. Please review the log and try again.","An error occurred while generating coupons. Please review the log and try again."
"Apply","Anwenden"
"Apply the rule only if the following conditions are met (leave blank for all products)","Apply the rule only if the following conditions are met (leave blank for all products)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Apply the rule only to cart items matching the following conditions (leave blank for all items)"
"Apply To","Anwenden auf"
"Apply to Shipping Amount","Auf Versandbetrag anwenden"
"Are you sure you want to delete the selected coupon(s)?","Sind Sie sicher, dass Sie die ausgewählte Gutscheine löschen möchten?"
"Attribute ""%s"" %s %s %s","Attribute ""%s"" %s %s %s"
"Auto","Automatisch"
"Auto Generated Specific Coupon Codes","Automatisch erstellte Rabattcodes"
"Buy X get Y free (discount amount is Y)","X kaufen, Y kostenlos bekommen (Rabattbetrag ist Y)"
"By Fixed value","Um festen Wert"
"By Percentage","Um einen Prozentsatz"
"Can't acquire coupon.","Kann Gutschein nicht erstellen."
"Cart Attribute","Warenkorbattribut"
"Catalog","Katalog"
"Code Format","Code-Format"
"Code Length","Codelänge"
"Code Prefix","Code Präfix"
"Code Suffix","Code-Suffix"
"Conditions","Bedingungen"
"Conditions combination","Bedingungskombination"
"Coupon","Rabattcode"
"Coupon Code","Rabattcode"
"Coupon Qty","Coupon Menge"
"Coupons Information","Coupons Information"
"Coupon with the same code","Rabattcode mit dem gleichen Code"
"Created On","Erstellt am"
"Customer Groups","Kundengruppen"
"Dash Every X Characters","Bindestrich nach jedem x-ten Zeichen"
"Date Expire","Date Expire"
"Date Start","Date Start"
"Default Label","Standard-Beschriftung"
"Default Rule Label for All Store Views","Standard-Regel-Bezeichnung für alle StoreViews"
"Description","Beschreibung"
"Discount Amount","Rabattbetrag"
"Discount Qty Step (Buy X)","Rabatt-Mengenschritt (X kaufen)"
"Edit Rule","Regel bearbeiten"
"Edit Rule '%s'","Edit Rule '%s'"
"Excluding prefix, suffix and separators.","Ohne Präfix, Suffix und Trennzeichen."
"Fixed amount discount","Fester Rabattbetrag"
"Fixed amount discount for whole cart","Fester Rabattbetrag für den gesamten Warenkorb"
"For matching items only","Nur für übereinstimmende Artikel"
"For shipment with matching items","Für Versand mit übereinstimmenden Artikeln"
"FOUND","GEFUNDEN"
"Free Shipping","Versandkostenfrei"
"From Date","From Date"
"General Information","Allgemeine Information"
"Generate","Erstellen"
"ID","Id"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","If %s %s %s for a subselection of items in cart matching %s of these conditions:"
"If an item is %s in the cart with %s of these conditions true:","If an item is %s in the cart with %s of these conditions true:"
"If empty no separation.","Wenn leer, dann keine Trennung."
"If you select and save the rule you will be able to generate multiple coupon codes.","If you select and save the rule you will be able to generate multiple coupon codes."
"Inactive","Inaktiv"
"is assigned","is assigned"
"is not assigned","is not assigned"
"Item totals are not set for rule.","Item totals are not set for rule."
"Labels","Bezeichnungen"
"Manage Coupon Codes","Gutscheine verwalten"
"Maximum Qty Discount is Applied To","Maximale Anzahl, auf die der Rabatt angewendet wird"
"New Rule","Neue Regel"
"No","Nein"
"No Coupon","Ohne Rabattcode"
"NOT FOUND","NICHT GEFUNDEN"
"NOT LOGGED IN","NICHT ANGEMELDET"
"Not valid data provided","Not valid data provided"
"Number of Uses","Anzahl der Verwendungen"
"Numeric","Numerisch"
"Payment Method","Zahlungsart"
"Percent of product price discount","Prozentualer Rabatt je Artikel"
"Period","Zeitraum"
"Price in cart","Preis im Warenkorb"
"Priority","Priorität"
"Product attribute combination","Artikelattribut-Kombination"
"Products subselection","Artikel-Unterauswahl"
"Promotions","Preisregeln"
"Public In RSS Feed","Im öffentlichen RSS-Feed anzeigen"
"Quantity in cart","Menge im Warenkorb"
"Row total in cart","Positionssumme im Warenkorb"
"Rule Information","Regelinformationen"
"Rule is not defined","Regel ist nicht definiert"
"Rule Name","Regelname"
"Sales Discount Amount","Sales Discount Amount"
"Sales Subtotal Amount","Sales Subtotal Amount"
"Sales Total Amount","Sales Total Amount"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Shipping Country","Versandland"
"Shipping Method","Versandart"
"Shipping Postcode","Versand-Postleitzahl"
"Shipping Region","Versandregion"
"Shipping State/Province","Versand-Bundesland"
"Shopping Cart Price Rule","Shopping Cart Price Rule"
"Shopping Cart Price Rules","Shopping Cart Price Rules"
"Special Price","Sonderpreis"
"Specific Coupon","Nur mit angegebenem Rabattcode"
"Status","Status"
"Stop Further Rules Processing","Stop Further Rules Processing"
"Store View Specific Labels","Store View spezifische Bezeichnungen"
"Subtotal","Zwischensumme"
"Subtotal Amount","Subtotal Amount"
"The rule has been deleted.","The rule has been deleted."
"The rule has been saved.","The rule has been saved."
"This rule no longer exists.","Diese Regel existiert nicht mehr."
"Times Used","Anzahl Verwendungen"
"To Date","To Date"
"To Fixed Value","Auf einen festen Wert"
"To Percentage","Auf einen Prozentsatz"
"Total","Gesamtsumme"
