"-- Please Select --","-- Bitte wählen --"
"Actions","Aktionen"
"Add Layout Update","Layout Update hinzufügen"
"Add New Widget Instance","Add New Widget Instance"
"All","Alle"
"All Pages","Alle Seiten"
"All Product Types","Alle Produkttypen"
"Anchor Categories","Anker-Kategorien"
"An error occurred during POST data validation: %s","An error occurred during POST data validation: %s"
"An error occurred during saving a widget: %s","An error occurred during saving a widget: %s"
"Apply","Anwenden"
"Assign to Store Views","Zuweisen zu Store Views"
"Big Image","Großes Bild"
"Block Reference","Block Reference"
"Categories","Kategorien"
"Choose...","Bitte wählen..."
"Close","Schließen"
"CMS","CMS"
"Continue","Fortsetzen"
"Default Template","Standardvorlage"
"Delete","Löschen"
"Design Package/Theme","Design-Paket/Thema"
"Error occurs during loading chooser.","Error occurs during loading chooser."
"Export to:","Exportieren nach:"
"Frontend Properties","Frontend Properties"
"Generic Pages","Allgemeine Seiten"
"Go to Next page","Go to Next page"
"Go to Previous page","Go to Previous page"
"Images","Bilder"
"Insert Widget...","Widget einfügen …"
"items selected","items selected"
"Layout Updates","Layout Aktualisierungen"
"Manage Widget Instances","Widget-Instanzen verwalten"
"New Instance","New Instance"
"New Widget Instance","Neue Widget-Instanz"
"Next page","Nächste Seite"
"Non-Anchor Categories","Nicht-Anker-Kategorien"
"Not Selected","Nicht ausgewählt"
"of %s pages","of %s pages"
"Open Chooser","Öffne Auswahlmöglichkeit"
"Page","Seite"
"per page","pro Seite"
"Please Select Block Reference First","Please Select Block Reference First"
"Previous page","Vorherige Seite"
"Products","Artikel"
"Remove Layout Update","Layout Update entfernen"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Select All","Alles auswählen"
"Select Visible","Sichtbare auswählen"
"Settings","Einstellungen"
"Sort Order","Sortierreihenfolge"
"Sort Order of widget instances in the same block reference","Sort Order of widget instances in the same block reference"
"Specific %s","Specific %s"
"Specified Page","Ausgewählte Seiten"
"Template","Vorlage"
"The information in this tab has been changed.","Die Informationen in diesem Tab wurden geändert."
"The widget instance has been deleted.","Die Widget-Instanz wurde gelöscht."
"The widget instance has been saved.","Die Widget-Instanz wurde gespeichert."
"This tab contains invalid data. Please solve the problem before saving.","This tab contains invalid data. Please solve the problem before saving."
"Thumbnail","Vorschaubild"
"Total %d records found","Total %d records found"
"Type","Typ"
"Unselect All","Alle abwählen"
"Unselect Visible","Sichtbare abwählen"
"View","Anzeigen"
"Widget","Widget"
"Widget ""%s""","Widget ""%s"""
"Widget ID","Widget-ID"
"Widget Instance","Widget Instance"
"Widget instance is not full complete to create.","Widget instance is not full complete to create."
"Widget Instance Title","Widget Instance Title"
"Widget Options","Widget Optionen"
"Widgets","Widgets"
"Widget Type","Widget-Typ"
"Widget Type is not specified","Widget Type is not specified"
"Wrong widget instance specified.","Wrong widget instance specified."
