"Access denied.","Δεν επιτρέπεται η πρόσβαση."
"Anti-scraping throttle on /api/rest/v2/auth/token. Default 20 per minute. 0 to disable.","Αντιξύσιμο γκάζι στο /api/rest/v2/auth/token. Προεπιλογή 20 ανά λεπτό. 0 για απενεργοποίηση."
"API","API"
"Api Key confirmation must be same as Api Key.","Η επιβεβαίωση κλειδιού API πρέπει να είναι ίδια με το κλειδί Api."
"Api Key must be at least of %d characters.","Το κλειδί API πρέπει να είναι τουλάχιστον από %d χαρακτήρες."
"Api Key must include both numeric and alphabetic characters.","Το κλειδί API πρέπει να περιλαμβάνει και αριθμητικούς και αλφαβητικούς χαρακτήρες."
"A user with the same user name or email already exists.","Ένας χρήστης με το ίδιο όνομα χρήστη ή email υπάρχει ήδη."
"Auth-token endpoint (per IP)","Τελικό σημείο ταυτοποίησης (ανά IP)"
"Can not find webservice adapter.","Δεν είναι δυνατή η εύρεση προσαρμογέα υπηρεσίας ιστού."
"Client Session Timeout (sec.)","Χρονικό Όριο Συνεδρίας Πελάτη (δευτ.)"
"Customer login","Είσοδος πελάτη"
"Default Response Charset","Προεπιλεγμένη Απάντηση Σύνολο Χαρακτήρων"
"Email","E-mail"
"Enable WSDL Cache","Ενεργοποίηση Προσωρινής Μνήμης WSDL"
"First Name is required field.","Το Όνομα είναι υποχρεωτικό πεδίο."
"General Settings","Γενικές Ρυθμίσεις"
"Invalid webservice adapter specified.","Μη έγκυρος προσαρμογέας υπηρεσίας web."
"Invalid webservice handler specified.","Καθορίστηκε μη έγκυρος χειριστής υπηρεσίας web."
"Last Name is required field.","Το Επώνυμο είναι υποχρεωτικό πεδίο."
"Maho Core API","Maho Core API"
"Orphaned API Resources","Ορφανοποιημένοι Πόροι API"
"Per credential. Covers /auth/token (customer + api_user grants) and the GraphQL customerLogin mutation. Default 5 per minute. 0 to disable.","Ανά διαπιστευτήριο. Καλύπτει το /auth/token (πελάτης + api_χρήστης χορηγήσεις) και τη μετάλλαξη GraphQL customerLogin. Προεπιλογή 5 ανά λεπτό. 0 για απενεργοποίηση."
"Please enter a valid email.","Παρακαλώ εισάγετε ένα έγκυρο email."
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - Ρόλοι"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - Χρήστες"
"Unable to login.","Αδυναμία σύνδεσης."
"User Name","Όνομα Χρήστη"
"User Name is required field.","Το όνομα χρήστη είναι υποχρεωτικό πεδίο."
"WS-I Compliance","Συμμόρφωση WS-I"
"Your account has been deactivated.","Ο λογαριασμός σας έχει απενεργοποιηθεί."
