"%s role is a special one and can't be changed.","%s role is a special one and can't be changed."
"%s role is a special one and can't be deleted.","%s role is a special one and can't be deleted."
"%s role is protected.","%s role is protected."
"ACL Attribute Rules","ACL Attribute Rules"
"ACL Attributes Information","ACL Attributes Information"
"Add","Προσθήκη"
"Add Admin Role","Add Admin Role"
"Add New Role","Προσθήκη νέου ρόλου"
"Address Type","Τύπος Διεύθυνσης"
"Admin","Διαχείριση"
"Allow","Να επιτρέπεται"
"An error occurred while deleting the role.","An error occurred while deleting the role."
"An error occurred while saving attribute rules.","An error occurred while saving attribute rules."
"An error occurred while saving role.","An error occurred while saving role."
"Api Rules Information","Api Rules Information"
"Assigned","Ανατεθειμένο"
"Associate to Website","Associate to Website"
"Attribute Rules Information","Attribute Rules Information"
"Attributes","Χαρακτηριστικά"
"Attribute Set","Σύνολο χαρακτηριστικών"
"Automatically Return Credit Memo Item to Stock","Αυτόματη επιστροφή στοιχείου πιστωτικού υπομνήματος στο απόθεμα"
"Back","Πίσω"
"Backorders","Προπαραγγελίες"
"Base Currency","Βασικό Νόμισμα"
"Base Customer Balance","Base Customer Balance"
"Base Discount","Base Discount"
"Base Discount Amount","Base Discount Amount"
"Base Item Subtotal","Base Item Subtotal"
"Base Item Subtotal Including Tax","Base Item Subtotal Including Tax"
"Base Original Price","Base Original Price"
"Base Price","Base Price"
"Base Price Including Tax","Base Price Including Tax"
"Base Shipping","Base Shipping"
"Base Shipping Discount","Base Shipping Discount"
"Base Shipping Tax","Base Shipping Tax"
"Base Subtotal","Base Subtotal"
"Base Subtotal Including Tax","Base Subtotal Including Tax"
"Base Tax Amount","Base Tax Amount"
"Base Total Due","Base Total Due"
"Base Total Paid","Base Total Paid"
"Base Total Refunded","Base Total Refunded"
"Buy Now URL","Buy Now URL"
"Can Be Divided into Multiple Boxes for Shipping","Can Be Divided into Multiple Boxes for Shipping"
"Canceled Qty","Canceled Qty"
"Catalog","Κατάλογος"
"CatalogInventory","CatalogInventory"
"Catalog Product","Catalog Product"
"Category ID","ID Κατηγορίας"
"City","Πόλη"
"Company","Εταιρία"
"Country","Χώρα"
"Coupon Code","Κωδικός Κουπονιού"
"Create","Δημιουργία"
"Created From","Created From"
"Create Permanent Redirect for old URL","Δημιουργία Μόνιμης Ανακατευθηνσης για την παλιά διεύθυνση URL"
"Customer","Πελάτης"
"Customer Address","Διεύθυνση Πελάτη"
"Customer Address ID","Customer Address ID"
"Customer Balance","Customer Balance"
"Customer First Name","Όνομα πελάτη"
"Customer ID","ID Πελάτη"
"Customer Last Name","Επώνυμο πελάτη"
"Customer Middle Name","Customer Middle Name"
"Customer Prefix","Customer Prefix"
"Customer Suffix","Customer Suffix"
"Default Image","Default Image"
"Delete","Διαγραφή"
"Deny","Να Μην Επιτρέπεται"
"Disable automatic group change based on VAT ID","Disable automatic group change based on VAT ID"
"Discount","Έκπτωση"
"Discount Amount","Ποσό Έκπτωσης"
"Discount Description","Discount Description"
"Edit","Επεξεργασία"
"Edit %s ACL attribute rules","Edit %s ACL attribute rules"
"Edit attribute rules for %s Role","Edit attribute rules for %s Role"
"Edit Role","Επεξεργασία Ρόλου"
"Email","Email"
"Enable Qty Increments","Ενεργοποίηση Προσαυξήσεις Ποσ"
"Exclude","Εξαίρεση"
"File Content","File Content"
"File MIME Type","File MIME Type"
"File Name","Όνομα αρχείου"
"Final Price Without Tax","Final Price Without Tax"
"Final Price With Tax","Final Price With Tax"
"First Name","Όνομα"
"Gift Message","Mήνυμα Δώρου"
"Grand Total","Γενικό Σύνολο"
"Grand Total to Be Charged","Γενικό Σύνολο για Χρέωση"
"Group","Ομάδα"
"Guest","Επισκέπτης"
"Has Custom Options","Has Custom Options"
"ID","ID"
"Inventory Data","Inventory Data"
"Invoiced Qty","Invoiced Qty"
"Is Confirmed","Is Confirmed"
"Is Default Billing Address","Is Default Billing Address"
"Is Default Shipping Address","Is Default Shipping Address"
"Item ID","Item ID"
"Item Subtotal","Item Subtotal"
"Item Subtotal Including Tax","Item Subtotal Including Tax"
"Label","Ετικέτα"
"Last Logged In","Last Logged In"
"Last Name","Επώνυμο"
"Low Stock Date","Low Stock Date"
"Manage Stock","Διαχείριση Αποθεμάτων"
"Maximum Qty Allowed in Shopping Cart","Μέγιστη ποσότητα που επιτρέπεται στο καλάθι αγορών"
"Minimum Qty Allowed in Shopping Cart","Ελάχιστη ποσότητα που επιτρέπεται στο καλάθι αγορών"
"New Role","Νέος Ρόλος"
"Notify for Quantity Below","Ειδοποίηση για ποσότητα κάτω από"
"OAuth","OAuth"
"Order","Παραγγελία"
"Order Addresses","Order Addresses"
"Order Comments","Σχόλια Παραγγελίας"
"Order Currency","Order Currency"
"Order Date","Ημ/νία Παραγγελίας"
"Ordered Qty","Ordered Qty"
"Order ID","Κωδικός Παραγγελίας"
"Order ID (internal)","Order ID (internal)"
"Order Item ID","Order Item ID"
"Order Items","Order Items"
"Orders","Παραγγελίες"
