"--Please Select--","--Παρακαλώ Επιλέξτε--"
"Accepted Currency","Αποδεκτά Νομίσματα"
"API Login ID","ID Σύνδεσης API"
"Card Verification Number","Αριθμός Επικύρωσης Κάρτας"
"Card Verification Number Visual Reference","Οπτική αναφορά αριθμού επαλήθευσης κάρτας"
"Close","Κλείσιμο"
"Credit Card Number","Αριθμός πιστωτικής κάρτας"
"Credit Card Type","Είδος Πιστωτικής Κάρτας"
"Credit Card Types","Τύποι Πιστωτικών Καρτών"
"Credit Card Verification","Επαλήθευση Πιστωτικών Καρτών"
"Debug","Αποσφαλμάτωση"
"Email Customer","Email Πελάτη"
"Enabled","Ενεργοποιημένο"
"Expiration Date","Ημερομηνία λήξης"
"Gateway URL","Διεύθυνση URL Πύλης"
"Maximum Order Total","Μέγιστο Σύνολο Παραγγελίας"
"Merchant's Email","Email Εμπόρου"
"Minimum Order Total","Ελάχιστο Σύνολο Παραγγελίας"
"New Order Status","Νέα Κατάσταση Παραγγελίας"
"Order saving error: %s","Order saving error: %s"
"Payment Action","Ενέργεια Πληρωμής"
"Payment authorization error.","Payment authorization error."
"Payment from Applicable Countries","Πληρωμή από Εφαρμοστέες Χώρες"
"Payment from Specific Countries","Πληρωμή από Συγκεκριμένες Χώρες"
"Sort Order","Σειρά Ταξινόμησης"
"Test Mode","Δοκιμαστική Λειτουργία"
"The order has been created.","The order has been created."
"There was an error processing your order. Please contact us or try again later.","There was an error processing your order. Please contact us or try again later."
"Title","Τίτλος"
"Transaction Key","Κλειδί Συναλλαγής"
"What is this?","Τι είναι αυτό;"
