"%s was added to your shopping cart.","Το %s προστέθηκε στο καλάθι αγορών σας."
"%s was updated in your shopping cart.","Το %s ενημερώθηκε στο καλάθι αγορών σας."
"(Excl. Tax)","(Χωρίς ΦΠΑ)"
"(Incl. Tax)","(Με ΦΠΑ)"
"* Required Fields","* Απαιτούμενα Πεδία"
"Add coupon code for shopping cart","Προσθήκη κωδικού κουπονιού για το καλάθι αγορών"
"Add gift messages to shopping cart","Προσθήκη μηνυμάτων δώρου στο καλάθι αγορών"
"Additional Product Info","Πρόσθετες Πληροφορίες Προϊόντος"
"Add New Address","Προσθήκη Νέας Διεύθυνσης"
"Add New Condition","Προσθήκη Νέας Προϋπόθεση"
"Add product(s) to shopping cart","Προσθήκη προϊόντος(ων) στο καλάθι αγορών"
"Add product to shopping cart","Προσθήκη προϊόντος στο καλάθι αγορών"
"Address","Διεύθυνση"
"Add to Cart","Προσθήκη στο Καλάθι"
"Add to Compare","Προσθήκη στη Σύγκριση"
"Add to Wishlist","Προσθήκη στη λίστα επιθυμιών"
"After Adding a Product Redirect to Shopping Cart","Μετά την προσθήκη ενός προϊόντος Ανακατεύθυνση στο καλάθι αγορών"
"Allow Guest Checkout","Επιτρέψτε Την Αγορά Επισκέπτη"
"An error occurred. Please try again.","Παρουσιάστηκε σφάλμα. Παρακαλώ προσπαθήστε ξανά."
"An error occurred in the process of payment","Παρουσιάστηκε σφάλμα κατά τη διαδικασία πληρωμής"
"An error occurred while deleting this condition.","Παρουσιάστηκε σφάλμα κατά τη διαγραφή αυτής της συνθήκης."
"An error occurred while placing your order. Please try again.","Παρουσιάστηκε σφάλμα κατά την τοποθέτηση της παραγγελίας σας. Παρακαλώ δοκιμάστε ξανά."
"An error occurred while saving this condition.","Παρουσιάστηκε σφάλμα κατά την αποθήκευση αυτής της συνθήκης."
"Apply","Εφαρμογή"
"Applying...","Εφαρμογή..."
"Are you sure you would like to remove this item from the shopping cart?","Είστε βέβαιοι ότι θα θέλατε να αφαιρέσετε αυτό το στοιχείο από το καλάθι αγορών?"
"Back","Πίσω"
"Billing Address","Διεύθυνση Χρέωσης"
"Billing Information","Πληροφορίες Χρέωσης"
"Cancel","Ακύρωση"
"Cannot add item to the shopping cart.","Δεν είναι δυνατή η προσθήκη στοιχείου στο καλάθι αγορών."
"Cannot add the item to shopping cart","Δεν μπορείτε να προσθέσετε το στοιχείο στο καλάθι αγορών"
"Cannot add the item to shopping cart.","Δεν είναι δυνατή η προσθήκη του στοιχείου στο καλάθι αγορών."
"Cannot configure product.","Αδυναμία ρύθμισης προϊόντος."
"Cannot process the item.","Δεν είναι δυνατή η επεξεργασία του στοιχείου."
"Can not remove the item.","Δεν είναι δυνατή η αφαίρεση του αντικειμένου."
"Cannot remove the item.","Αδυναμία αφαίρεσης του αντικειμένου."
"Can not save item.","Δεν είναι δυνατή η αποθήκευση αντικειμένου."
"Cannot update shopping cart.","Αδυναμία ενημέρωσης του καλαθιού αγορών."
"Cannot update the item.","Δεν είναι δυνατή η ενημέρωση του στοιχείου."
"Card Verification Number Visual Reference","Οπτική Αναφορά Αριθμού Επαλήθευσης Κάρτας"
"Cart","Καλάθι"
"Cart Item Counter","Μετρητής Στοιχείου Καλαθιού"
"Cart Product API","Καλάθι Προϊόντος Api"
"Cart Subtotal:","Υποσύνολο Καλαθιού:"
"Change","Αλλαγή"
"Change Billing Address","Αλλαγή Διεύθυνσης Χρέωσης"
"Checkbox Text","Κείμενο Πλαισίου Ελέγχου"
"Checkout","Αγορά"
"Checkout Conditions","Όροι Ολοκλήρωσης Παραγγελίας"
"Checkout Forms Extra","Επιπλέον Φόρμες Παραγγελίας"
"Checkout Options","Επιλογές Αγοράς"
"Checkout Progress Wrapper","Περιτύλιγμα Προόδου Ολοκλήρωσης Παραγγελίας"
"Checkout Terms and Conditions","Όροι και Προϋποθέσεις Ολοκλήρωσης Παραγγελίας"
"City","Πόλη"
"Clear Shopping Cart","Καθαρισμός Καλαθιού Αγορών"
"Click <a href=""%s"">here</a> to continue shopping.","Click <a href=""%s"">here</a> to continue shopping."
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Κάντε κλικ σε <a href=""%s"" onclick=""this.target='_blank'"">εδώ για να εκτυπώσετε</a> ένα αντίγραφο της επιβεβαίωσης της παραγγελίας σας."
"Close","Κλείσιμο"
"Company","Εταιρεία"
"Condition Name","Όνομα Κατάστασης"
"Configurable Product Image","Εικόνα Διαμορφώσιμου Προϊόντος"
"Configure Cart Item","Ρύθμιση Στοιχείου Καλαθιού"
"Confirm Password","Επιβεβαίωση Κωδικού Πρόσβασης"
"Content","Περιεχόμενο"
"Content Height","Ύψος Περιεχομένου"
"Content Height (css)","Ύψος Περιεχομένου (css)"
"Continue","Συνέχεια"
"Continue Shopping","Συνέχεια Αγορών"
"Controls how the item count is calculated in the cart icon badge.","Ελέγχει τον υπολογισμό του αριθμού των αντικειμένων στο έμβλημα εικονιδίου καλαθιού"
"Count Method","Μέθοδος Καταμέτρησης"
"Country","Χώρα"
"Coupon:","Κουπόνι:"
"Coupon code ""%s"" was applied.","Κωδικός κουπονιού ""%s"" εφαρμόστηκε."
"Coupon code was removed.","Ο κωδικός κουπονιού αφαιρέθηκε."
"Create an order from shopping cart","Δημιουργήστε μια παραγγελία από το καλάθι αγορών"
"Create shopping cart","Δημιουργία καλαθιού αγορών"
"Customer's information","Πληροφορίες πελάτη"
"Customer Address is not valid.","Η διεύθυνση πελάτη δεν είναι έγκυρη."
"Customer Information","Πληροφορίες Πελάτη"
"Delete Condition","Διαγραφή Προϋπόθεσης"
"Details","Λεπτομέρειες"
"Disabled","Απενεργοποιημένο"
"Discount code or gift card","Κωδικός έκπτωσης ή δωροκάρτα"
"Discounts","Εκπτώσεις"
"Display number of items in wishlist","Αριθμός εμφάνισης των αντικειμένων στη λίστα επιθυμιών"
"Displays all checkout steps on a single page in a 2-column layout","Εμφανίζει όλα τα βήματα ολοκλήρωσης αγοράς σε μια μόνο σελίδα με διάταξη 2 στηλών"
"Edit","Επεξεργασία"
"Edit Address","Επεξεργασία Διεύθυνσης"
"Edit Condition","Επεξεργασία Συνθήκης"
"Edit item parameters","Επεξεργασία παραμέτρων στοιχείου"
"Edit Terms and Conditions","Επεξεργασία Όρων και Προϋποθέσεων"
"Email Address","Διεύθυνση Email"
"Empty Shopping Cart Content Before","Κενό Περιεχόμενο Καλαθιού Αγορών Πριν"
"Enabled","Ενεργοποιημένο"
"Enable One-Step Checkout","Ενεργοποίηση Ολοκλήρωσης Παραγγελίας Ένα Βήμα"
