"Add","Προσθήκη"
"Add New Row","Προσθέσετε νέα γραμμή"
"Add links and samples to downloadable product","Προσθήκη συνδέσμων και δειγμάτων σε προϊόντα λήψης"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Χαρακτήρες Αλφαριθμητικοί, παύλα και υπογράμμιση συνιστώνται για ονόματα αρχείων. Ανάρμοστοι χαρακτήρες αντικαθίστανται με '_'."
"An error occurred while getting the requested content.","Σφάλμα συνέβη κατά τη λήψη του ζητούμενου περιεχομένου."
"An error occurred while getting the requested content. Please contact the store owner.","Σφάλμα συνέβη κατά τη λήψη του ζητούμενου περιεχομένου. Παρακαλούμε επικοινωνήστε με τον ιδιοκτήτη του καταστήματος."
"An error occurred while saving the file(s).","Προέκυψε σφάλμα κατά τη διάρκεια αποθήκευσης του(των) αρχείου(αρχείων)."
"Availability:","Διαθεσιμότητα:"
"Back","Πίσω"
"Canceled","Ακυρώθηκε"
"Cannot connect to remote host, error: %s.","Δεν μπορώ να συνδεθώ με το απομακρυσμένο κεντρικό υπολογιστή, σφάλμα: %s."
"Catalog Product View (Downloadable)","Κατάλογος Προϊόντος Προβολής (Λήψη)"
"Category API","Κατηγορία API"
"Customer My Account Downloadable Items","Πελάτης Λογαριασμός Λήψιμα Είδη"
"Date","Ημερομηνία"
"Default Link Title","Προεπιλεγμένος Τίτλος Συνδέσμου"
"Default Maximum Number of Downloads","Προεπιλεγμένος μέγιστος αριθμός των Μεταφορτώσεων"
"Default Sample Title","Προεπιλεγμένος τίτλος δείγματος"
"Delete","Διαγραφή"
"Disable Guest Checkout if Cart Contains Downloadable Items","Απενεργοποιήστε την Ολοκλήρωση Παραγγελίας Επισκέπτη εάν το καλάθι περιέχει είδη με δυνατότητα λήψης"
"Disable Sample","Disable Sample"
"Downloadable Information","Πληροφορίες με Δυνατότητα Λήψης"
"Downloadable Product","Προϊόν Λήψης"
"Downloadable Product Options","Επιλογές των προϊόντων με δυνατότητα λήψης"
"Edit","Επεξεργασία"
"Edit item parameters","Επεξεργαστείτε τις παραμέτρους του είδους"
"Excl. Tax","Χωρίς ΦΠΑ"
"File","Αρχείο"
"File:","File:"
"From:","Από:"
"Gift Message","Mήνυμα Δώρου"
"Go to <a href=""%s"">My Downloadable Products</a>","Πήγαινε στο <a href=""%s"">Τα Κατεβασμένα Προϊόντα Μου</a>"
"Guest checkout will only work with shareable.","Η Ολοκλήρωση Παραγγελίας Επισκέπτη θα λειτουργήσει μόνο με κοινόχρηστο."
"In stock","Σε απόθεμα"
"Incl. Tax","Με ΦΠΑ"
"Invalid download URL host.","Άκυρη διεύθυνση URL λήψης."
"Invalid download URL scheme.","Άκυρη διάταξη URL λήψης."
"Invalid download link type.","Άκυρος τύπος σύνδεσμου μεταφόρτωσης."
"Invoiced","Τιμολογημένα"
"Links can be purchased separately","Οι σύνδεσμοι μπορούν να αγοραστούν ξεχωριστά"
"List","Λίστα"
"Max. Downloads","Μεγ. Λήψεις"
"Message:","Μήνυμα:"
"Move","Μετακίνηση"
"Move to wishlist","Μετακίνηση στο λίστα ευχών"
"My Downloadable Products","Τα προϊόντα μου με δυνατότητα λήψης"
"Open Links in New Window","Άνοιγμα συνδέσμων σε νέο παράθυρο"
"Order #","Παραγγελία #"
"Order Item Status to Enable Downloads","Κατάσταση στοιχείου παραγγελίας για να ενεργοποιήσετε λήψεις"
"Order id cannot be null","Το id της παραγγελίας δεν είναι δυνατό να είναι κενό"
"Order item id cannot be null","Το id του στοιχείου της παραγγελίας δεν είναι δυνατόν να είναι κενό"
"Ordered","Παραγγέλθηκαν"
"Out of stock","Εξαντλημένο"
"Pending","Προς έγκριση"
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","Παρακαλούμε συνδεθείτε για να κατεβάσετε το προϊόν σας ή να πραγματοποιήσετε αγορά <a href=""%s"">%s</a>."
"Please log in to download your product.","Παρακαλούμε συνδεθείτε για να κατεβάσετε το προϊόν σας."
"Please set resource file and link type.","Παρακαλώ θέστε αρχείο πόρων και τύπο συνδέσμου."
"Please specify product link(s).","Παρακαλούμε προσδιορίστε τον σύνδεσμο(ους) του προϊόντος."
"Price","Τιμή"
"Product downloadable links","Σύνδεσμοι λήψης προϊόντων"
"Qty","Ποσότητα"
"Refunded","Επιστράφηκαν"
"Remaining Downloads","Υπόλοιπόμενες λήψεις"
"Remove","Διαγραφή"
"Remove Item","Αφαίρεση είδους"
"Remove links and samples from downloadable product","Αφαιρέστε συνδέσμους και δείγματα από προϊόν λήψης"
"Requested link does not exist.","Το ζητούμενο σύνδεσμο δεν υπάρχει."
"Retrieve links and samples list from downloadable product","Επιστροφή συνδέσμων και λίστας δειγμάτων από προϊόν λήψης"
"SKU","Κωδικός"
"Sample","Δείγμα"
"See price before order confirmation.","Δείτε την τιμή πριν από την επιβεβαίωση της παραγγελίας."
"Shareable","Κοινόχρηστο"
"Shipped","Αποσταλεί"
"Sorry, there was an error getting requested content. Please contact the store owner.","Λυπούμαστε, Παρουσιάστηκε ένα σφάλμα κατά τη λήψη του περιεχομένου που ζητήθηκε. Επικοινωνήστε με τον ιδιοκτήτη του καταστήματος."
"Sort Order","Σειρά Ταξινόμησης"
"Start Download","Έναρξη λήψης"
"Status","Κατάσταση"
"Subtotal","Υποσύνολο"
"The file does not exist.","Το αρχείο δεν υπάρχει."
"The link has expired.","Ο σύνδεσμος έχει λήξει."
"The link is not available.","Ο σύνδεσμος δεν είναι διαθέσιμος."
"There are files that were selected but not uploaded yet. Please upload or remove them first","Υπάρχουν αρχεία που είχαν επιλεγεί αλλά δεν έχουν ακόμα ανεβαστεί. Παρακαλώ ανεβάστε τα ή διαγράψτε τα πρώτα."
"Title","Τίτλος"
"To:","Προς:"
"U","Υ"
"URL:","URL:"
"Unlimited","Απεριόριστα"
"Update","Ενημέρωση"
"Use Content-Disposition","Χρήση διάταξης περιεχομένου"
"Use Default Value","Χρησιμοποιήστε την Προεπιλεγμένη Τιμή"
"View Order","Προβολή Παραγγελίας"
"What's this?","Τι είναι αυτό;"
"You have not purchased any downloadable products yet.","Δεν έχετε αγοράσει κάποιο κατεβάσιμο προϊόν ακόμη."
"attachment","συνημμένο"
"download","λήψη"
"inline","εσωτερικά"
"sample","δείγμα"
