"Account Number","Αριθμός Λογαριασμού"
"Container ID","Id Περιέκτη"
"Enable","Ενεργοποίηση"
"Enable GA4 Debug Real Time view for Development IP.","Ενεργοποίηση προβολής πραγματικού χρόνου αποσφαλμάτωσης GA4 για ανάπτυξη IP."
"Enable GA4 User_id tracking for logged in customers.","Ενεργοποίηση παρακολούθησης χρήστη GA4 για συνδεδεμένους πελάτες."
"Facebook Meta Pixel","Facebook Meta Pixel"
"Google Analytics","Google Analytics"
"Google Analytics 4","Google Analytics 4"
"Google API","Google API"
"Google Tag Manager","Διαχειριστής Ετικετών Google"
"Meta Pixel ID","Meta Pixel ID"
"Type","Τύπος"
"User ID tracking","Εντοπισμός αναγνωριστικού χρήστη"
