"(Optional. Leave blank for no prefix)","(Προαιρετικό. Αφήστε κενό για κανένα πρόθεμα)"
"About, contact & more","Σχετικά με, επικοινωνήστε με & περισσότερα"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Πρόσθετη διαδρομή που προστέθηκε μετά τη βασική διεύθυνση URL για να έχει πρόσβαση στον Πίνακα Διαχείρισης (π.χ. διαχειριστής, backend, έλεγχος κλπ.)."
"Adds states and provinces to address forms","Προσθέτει πολιτείες και επαρχίες στα έντυπα διεύθυνσης"
"Admin","Διαχειριστής"
"Admin Path","Διαδρομή Διαχειριστή"
"Base URL","Βασικό URL"
"Cache","Μνήμη Cache"
"Categories","Κατηγορίες"
"Clothing, accessories & more","Ρούχα, αξεσουάρ & περισσότερα"
"CMS Pages","Σελίδες CMS"
"Complete","Complete"
"Configuration","Διαμόρφωση"
"Confirm Password","Επιβεβαίωση Κωδικού Πρόσβασης"
"Continue","Συνέχεια"
"Copying media files...","Αντιγραφή αρχείων πολυμέσων..."
"Create Admin Account","Δημιουργία Λογαριασμού Διαχειριστή"
"Creating Your Admin Account","Δημιουργία Λογαριασμού Διαχειριστή Σας"
"Database","Βάση Δεδομένων"
"Database Connection","Σύνδεση Βάσης Δεδομένων"
"Database connection error.","Σφάλμα σύνδεσης βάσης δεδομένων."
"Database File Path","Διαδρομή Αρχείου Βάσης Δεδομένων"
"Database host","Υπολογιστής βάσης δεδομένων"
"Database Name","Όνομα Βάσης Δεδομένων"
"Database Name cannot be empty.","Το όνομα της βάσης δεδομένων δεν μπορεί να είναι κενό."
"Database server does not support the InnoDB storage engine.","Ο διακομιστής βάσης δεδομένων δεν υποστηρίζει τη μηχανή αποθήκευσης InnoDB."
"Database Type","Τύπος Βάσης Δεδομένων"
"Database user name","Όνομα χρήστη βάσης δεδομένων"
"Database user password","Συνθηματικό χρήστη βάσης δεδομένων"
"Default Currency","Προεπιλεγμένο Νόμισμα"
"Download","Λήψη"
"Downloading sample data...","Λήψη δεδομένων δείγματος..."
"Email","E-mail"
"Email Address","Διεύθυνση Email"
"Enable Charts","Ενεργοποίηση Γραφημάτων"
"Ensure the URL ends with a trailing slash (/). For example: %s","Βεβαιωθείτε ότι το URL τελειώνει με μια τελική κάθετο (/). Για παράδειγμα: %s"
"Extract","Εξαγωγή"
"Extracting files...","Εξαγωγή αρχείων..."
"Failed to copy media files: %s","Αποτυχία αντιγραφής αρχείων πολυμέσων: %s"
"Failed to download sample data from %s","Αποτυχία λήψης δείγματος δεδομένων από %s"
"Failed to extract sample data: %s","Αποτυχία εξαγωγής δειγμάτων δεδομένων: %s"
"Failed to save sample data to temporary file","Αποτυχία αποθήκευσης δείγματος δεδομένων σε προσωρινό αρχείο"
"Failed to start installation. Please try again.","Απέτυχε η εκκίνηση της εγκατάστασης. Παρακαλώ προσπαθήστε ξανά."
"File System","Σύστημα Αρχείων"
"First Name","Όνομα"
"Flushing caches...","Έξαψη caches..."
"Get ready to experience Open-Source eCommerce Evolved.","Ετοιμαστείτε να ζήσετε το ηλεκτρονικό εμπόριο ανοιχτού κώδικα."
"Go to Backend","Μετάβαση στο σύστημα διαχείρισης"
"Go to Frontend","Πηγαίνετε στο Frontend"
"Host","Διακομιστής"
"I agree to the above terms and conditions.","Συμφωνώ με τους παραπάνω όρους και προϋποθέσεις."
"Importing configuration...","Εισαγωγή διαμόρφωσης..."
"Importing database...","Εισαγωγή βάσης δεδομένων..."
"Importing database... (%s/%s)","Εισαγωγή βάσης δεδομένων... (%s/%s)"
"Import regions/states for %s","Εισαγωγή περιοχών/πολιτειών για %s"
"Install %s language pack","Εγκατάσταση πακέτου γλώσσας %s"
"Installation Failed","Η Εγκατάσταση Απέτυχε"
"Installation failed","Αποτυχία εγκατάστασης"
"Installation Progress","Πρόοδος Εγκατάστασης"
"Installation takes 2-5 minutes. You can skip this and add products manually later.","Η εγκατάσταση διαρκεί 2-5 λεπτά. Μπορείτε να παραλείψετε αυτό και να προσθέσετε προϊόντα με μη αυτόματο τρόπο αργότερα."
"Installer does not exist for %s database engine","Ο εγκαταστάτης δεν υπάρχει για την μηχανή βάσης δεδομένων %s"
"Installing Maho","Εγκατάσταση Maho"
"Installing Sample Data","Εγκατάσταση Δειγμάτων Δεδομένων"
"Install Sample Data","Εγκατάσταση Δειγμάτων Δεδομένων"
"Just a moment...","Μιά στιγμή..."
"Last Name","Επώνυμο"
"License","Άδεια"
"Locale","Τοπική"
"Localization","Τοπικοποίηση"
"Localization Options","Επιλογές Τοπικοποίησης"
"Login Information","Πληροφορίες Σύνδεσης"
"Maho Installation Wizard","Μάγος Εγκατάστασης Maho"
"Media","Πολυμέσα"
"One of PHP Extensions ""%s"" must be loaded.","Πρέπει να φορτωθεί μία από τις επεκτάσεις PHP ""%s."
"Organized catalog structure","Οργανωμένη δομή καταλόγου"
"Password","Κωδικός"
"Password Confirmation","Επιβεβαίωση Κωδικού"
"Passwords do not match.","Οι κωδικοί πρόσβασης δεν ταιριάζουν."
"Path ""%s"" must be writable.","Διαδρομή ""%s"" πρέπει να είναι εγγράψιμη."
"Personal Information","Προσωπικές Πληροφορίες"
"PHP extension ""%s"" must be loaded.","PHP extension ""%s"" πρέπει να φορτωθεί."
"PHP Extension '%s' loaded","Η επέκταση PHP '%s' φορτώθηκε"
"PHP Extensions ""%s"" must be loaded.","PHP Extensions ""%s"" πρέπει να φορτωθεί."
"Please correct the user data and try again.","Παρακαλώ διορθώστε τα δεδομένα χρήστη και προσπαθήστε ξανά."
"Please set all required settings before clicking Continue","Παρακαλώ ορίστε όλες τις απαιτούμενες ρυθμίσεις πριν πατήσετε Συνέχεια"
"Please wait while we set up your demo content...","Παρακαλώ περιμένετε ενώ έχουμε ρυθμίσει το περιεχόμενο επίδειξης..."
"Please wait while we set up your store...","Παρακαλώ περιμένετε ενώ έχουμε ρυθμίσει το κατάστημά σας..."
"Product images & banners","Εικόνες προϊόντων & banners"
