"* Required Fields","* Απαιτούμενα Πεδία"
"-- No API Access --","-- Καμία Πρόσβαση Api --"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> requests access to your account"
"Admin","Διαχειριστής"
"Admin API Access","Πρόσβαση API Διαχειριστή"
"After authorization application will have access to you account.","Μετά την εφαρμογή εξουσιοδότησης θα έχει πρόσβαση στο λογαριασμό σας."
"An error occurred.","Παρουσιάστηκε ένα σφάλμα."
"An error occurred. Your authorization request is invalid.","Παρουσιάστηκε σφάλμα. Η αίτηση εξουσιοδότησής σας δεν είναι έγκυρη."
"An error occurred on confirm authorize.","Παρουσιάστηκε σφάλμα κατά την επιβεβαίωση εξουσιοδότησης."
"An error occurred on delete action.","Παρουσιάστηκε σφάλμα κατά τη διαγραφή ενέργειας."
"An error occurred on reject authorize.","Παρουσιάστηκε σφάλμα κατά την απόρριψη εξουσιοδότησης."
"An error occurred on saving consumer data.","Παρουσιάστηκε σφάλμα κατά την αποθήκευση δεδομένων καταναλωτή."
"An error occurred on update revoke status.","Παρουσιάστηκε σφάλμα κατά την ενημέρωση της κατάστασης ανάκλησης."
"An error occurred while deleting the consumer.","Παρουσιάστηκε σφάλμα κατά τη διαγραφή του καταναλωτή."
"API Role","Ρόλος API"
"Application Name","Όνομα Εφαρμογής"
"Assign an API role to grant permissions. Manage roles at System > API > Roles.","Αναθέστε έναν ρόλο API για την εκχώρηση δικαιωμάτων. Διαχειριστείτε τους ρόλους στο System > API > Ρόλους."
"Authorization confirmed","Η εξουσιοδότηση επιβεβαιώθηκε"
"Authorization confirmed.","Η εξουσιοδότηση επιβεβαιώθηκε."
"Authorize","Εξουσιοδότηση"
"Authorize application","Εξουσιοδότηση εφαρμογής"
"Authorized Tokens","Εξουσιοδοτημένα Tokens"
"Callback URL","Callback URL"
"Cleanup Probability","Πιθανότητα Εκκαθάρισης"
"Cleanup Settings","Ρυθμίσεις Εκκαθάρισης"
"Close","Κλείσιμο"
"Confirmation Of Authorization","Επιβεβαίωση Εξουσιοδότησης"
"Confirm token authorization for admin","Επιβεβαίωση εξουσιοδότησης διακριτικού για διαχειριστή"
"Confirm token authorization Pop Up for admin","Επιβεβαίωση εξουσιοδότησης διακριτικού Αναδυόμενο για διαχειριστή"
"Consumer Information","Ενημέρωση Των Καταναλωτών"
"Consumer Name","Όνομα Καταναλωτή"
"Consumers","Καταναλωτές"
"Created At","Δημιουργήθηκε Στις"
"Current Admin Password","Τρέχων Κωδικός Διαχειριστή"
"Customer","Πελάτης"
"Delete","Διαγραφή"
"deleted","διαγράφηκε"
"Disable","Απενεργοποίηση"
"Disabled","Απενεργοποιημένο"
"Edit","Επεξεργασία"
"Edit Consumer","Επεξεργασία Καταναλωτή"
"Email","E-mail"
"Email Address","Διεύθυνση Email"
"Enable","Ενεργοποίηση"
"Enabled","Ενεργοποιημένο"
"enabled","ενεργοποιημένο"
"Entry with ID #%s not found.","Η εγγραφή με ID #%s δεν βρέθηκε."
"Expiration Period","Περίοδος Λήξης"
"Expires","Λήγει"
"Expires At","Λήγει Στις"
"Give the verifier code to application administrator","Δώστε τον κωδικό ελεγκτή στο διαχειριστή της εφαρμογής"
"ID","ID"
"Invalid ID parameter.","Μη έγκυρη παράμετρος ID."
"Key","Κλειδί"
"Last Used","Τελευταία Χρήση"
"Leave empty for no expiration","Αφήστε κενό για καμία λήξη"
"Log In","Σύνδεση"
"Login","Είσοδος"
"Log in as admin","Συνδεθείτε ως διαχειριστής"
"Log in to use <strong>%s</strong>","Συνδεθείτε για να χρησιμοποιήσετε <strong>%s</strong>"
"My Applications","Οι Εφαρμογές Μου"
"My Apps","Οι Εφαρμογές Μου"
"Name","Όνομα"
"New Consumer","Νέος Καταναλωτής"
"OAuth","Oauth"
"OAuth Admin My Apps","Oauth Διαχειριστής Οι Εφαρμογές Μου"
"OAuth authorization for admin","OAuth εξουσιοδότηση για διαχειριστή"
"OAuth authorization simple for admin","OAuth εξουσιοδότηση απλό για διαχειριστή"
"OAuth Authorized Tokens","Oauth Εξουσιοδοτημένα Tokens"
