"%s-%s of %s","%s-%s of %s"
"%s - Go to Home Page","%s - Go to Home Page"
"%s Item(s)","%s Item(s)"
"-- Please Select --","--Παρακαλώ επιλέξτε--"
"-- Use Default --","-- Use Default --"
"1 column","1 στήλη"
"2 columns with left bar","2 στήλες με αριστερή μπάρα"
"2 columns with right bar","2 στήλες με μπάρα στα δεξιά"
"3 columns","3 στήλες"
"Account","Λογαριασμός"
"All Empty Layout Pages","All Empty Layout Pages"
"All Minimal Layout Pages","All Minimal Layout Pages"
"All One-Column Layout Pages","All One-Column Layout Pages"
"Allow","Να επιτρέπεται"
"All Pages","Όλες οι Σελίδες"
"All Pages (Print Version)","All Pages (Print Version)"
"All Rights Reserved.","All Rights Reserved."
"All Three-Column Layout Pages","All Three-Column Layout Pages"
"All Two-Column Layout Pages (Left Column)","All Two-Column Layout Pages (Left Column)"
"All Two-Column Layout Pages (Right Column)","All Two-Column Layout Pages (Right Column)"
"Breadcrumbs","Breadcrumbs"
"Click <a href=""%s"">here</a> if nothing has happened","Click <a href=""%s"">here</a> if nothing has happened"
"Close","Κλείσιμο"
"Close Window","Κλείσιμο Παραθύρου"
"CMS Block","CMS Block"
"Custom Text","Custom Text"
"Default Description","Default Description"
"Demo Store Notice CMS Block","Demo Store Notice CMS Block"
"Demo Store Notice Text","Demo Store Notice Text"
"Deprecated: Use SVG or srcset","Deprecated: Use SVG or srcset"
"Disabled","Απενεργοποιημένο"
"Empty","Κενό"
"Interface Language","Interface Language"
"Leave empty to use the default text.","Leave empty to use the default text."
"Left Column","Αριστερή Στήλη"
"Left Column First (shows above main column on smaller screens)","Left Column First (shows above main column on smaller screens)"
"Logo Height (in px)","Logo Height (in px)"
"Logo Width (in px)","Logo Width (in px)"
"Main Content Area","Main Content Area"
"Main Navigation","Main Navigation"
"Menu","Μενού"
"Minimal","Minimal"
"Navigation Bar","Navigation Bar"
"Next","Επόμενο"
"Page:","Σελίδα:"
"Page Bottom","Page Bottom"
"Page Footer","Page Footer"
"Page Header","Page Header"
"Page Top","Page Top"
"per page","ανά σελίδα"
"Previous","Προηγούμενο"
"Primary sidebar","Primary sidebar"
"Redirecting...","Redirecting..."
"Results per page","Results per page"
"Right Column","Δεξιά Στήλη"
"Right sidebar","Right sidebar"
"Search","Αναζήτηση"
"Secondary sidebar","Secondary sidebar"
"Select Store","Επιλέξτε κατάστημα"
"Select Store:","Select Store:"
"Show","Εμφάνιση"
"Skip to main content","Skip to main content"
"Store Notice","Store Notice"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","This is a demo store. Any orders placed through this store will not be honored or fulfilled."
"View All","Προβολή Όλων"
"Welcome!","Welcome!"
"Welcome, %s!","Welcome, %s!"
"Your Language","Η γλώσσα σας"
"Your Language:","Η γλώσσα σας:"
