"3D Secure","3D Secure"
"3D Secure Card Validation","3D Ασφαλής Επαλήθευση Κάρτας"
"Accepted Currency","Αποδεκτό Νόμισμα"
"Allow Partial Authorization","Να Επιτρέπεται Μερική Εξουσιοδότηση"
"amount %s","ποσό %s"
"API Login ID","ID Σύνδεσης API"
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.","Είστε βέβαιοι ότι θέλετε να ακυρώσετε την πληρωμή σας? Κάντε κλικ στο κουμπί OK για να ακυρώσετε την πληρωμή σας και να απελευθερώσετε το ποσό σε αναμονή. Κάντε κλικ στο κουμπί Ακύρωση για να εισαγάγετε μια άλλη πιστωτική κάρτα και να συνεχίσετε με την πληρωμή σας."
"authorize","εξουσιοδότηση"
"Authorize.net (Deprecated)","Authorize.net (Deprecated)"
"Authorize.Net Transaction ID %s","Authorize.Net ID Συναλλαγής %s"
"Authorize and Capture","Εξουσιοδότηση και καταγραφή"
"authorize and capture","εξουσιοδότηση και δέσμευση"
"Authorize Only","Εξουσιοδότηση Μόνο"
"Cancel","Ακύρωση"
"capture","σύλληψη"
"Credit Card: xxxx-%s","Πιστωτική κάρτα: xxxx-%s"
"Credit Card Types","Τύποι Πιστωτικών Καρτών"
"Credit Card Verification","Επαλήθευση Πιστωτικής Κάρτας"
"Debug","Debug"
"Email Customer","Email Πελάτη"
"Enabled","Ενεργοποιημένο"
"Error in payment gateway.","Σφάλμα στην πύλη πληρωμής."
"failed","απέτυχε"
"Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s).","Οι ενέργειες πύλης κλειδώνονται επειδή η πύλη δεν μπορεί να ολοκληρώσει μία ή περισσότερες από τις συναλλαγές. Παρακαλούμε συνδεθείτε στον λογαριασμό Authorize.Net για να επιλύσετε χειροκίνητα το (τα) θέμα(α)."
"Gateway error: %s","Gateway error: %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Αν είναι κενό, θα χρησιμοποιηθεί μια προεπιλεγμένη τιμή. Προσαρμοσμένη διεύθυνση URL μπορεί να παρέχεται από CardinalCommerce συμφωνία."
"Invalid amount for authorization.","Μη έγκυρο ποσό για έγκριση."
"Invalid amount for capture.","Μη έγκυρο ποσό για καταγραφή."
"Invalid amount for partial authorization.","Μη έγκυρο ποσό για μερική έγκριση."
"Invalid amount for refund.","Μη έγκυρο ποσό για επιστροφή."
"Invalid split tenderId ID.","Μη έγκυρο ID χωρισμένου διαγωνισμού."
"Maximum Order Total","Μέγιστο Σύνολο Παραγγελίας"
"Merchant's Email","Email Εμπόρου"
"Minimum Order Total","Ελάχιστο Σύνολο Παραγγελίας"
"New Order Status","Νέα Κατάσταση Παραγγελίας"
