"%s %s cycle.","%s κύκλος %s."
"%s (unavailable)","%s (μη διαθέσιμο)"
"* Required Fields","* Απαιτούμενα Πεδία"
"--Please Select--","--Παρακαλώ Επιλέξτε--"
"3D Secure Card Validation","3D Ασφαλής Επαλήθευση Κάρτας"
"<label>Make Check payable to:</label> %s","<label>Κάντε την επιταγή πληρωτέα σε:</label> %s"
"Action","Ενέργεια"
"Add New Restriction","Προσθήκη Νέου Περιορισμού"
"Allow Initial Fee Failure","Αποτυχία Επιτρέπονται Αρχικά Χρέωση"
"An internal reference ID is required to save the payment profile.","Απαιτείται εσωτερικό αναγνωριστικό αναφοράς για την αποθήκευση του προφίλ πληρωμής."
"Apply the restriction only if the following conditions are met (leave blank for all)","Εφαρμόστε τον περιορισμό μόνο εάν πληρούνται οι ακόλουθες προϋποθέσεις (αφήστε κενό για όλους)"
"Are you sure?","Είσαι σίγουρος?"
"Authorize action is not available.","Η ενέργεια εξουσιοδότησης δεν είναι διαθέσιμη."
"Auto Bill on Next Cycle","Αυτόματος λογαριασμός στον επόμενο κύκλο"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Αυτόματη τιμολόγηση του εκκρεμούς ποσού υπολοίπου στον επόμενο κύκλο χρέωσης (αν υπήρξαν αποτυχημένες πληρωμές)."
"Automatically Invoice All Items","Αυτόματη Τιμολόγηση Όλων Των Αντικειμένων"
"Bank Transfer Payment","Πληρωμή Τραπεζικής Κατάθεσης"
"Billing Agreement status is not set.","Δεν έχει οριστεί κατάσταση συμφωνίας χρέωσης."
"Billing Amount","Ποσό Χρέωσης"
"Billing Frequency","Συχνότητα Χρέωσης"
"Billing Period","Περίοδος Χρέωσης"
"Billing Period Unit","Μονάδα Περιόδου Χρέωσης"
"Billing period unit is not defined or wrong.","Η μονάδα περιόδου χρέωσης δεν είναι καθορισμένη ή λανθασμένη."
"Cannot retrieve the payment info model object.","Δεν είναι δυνατή η ανάκτηση του αντικειμένου μοντέλου πληροφοριών πληρωμής."
"Cannot retrieve the payment information object instance.","Αδύνατη η ανάκτηση του αντικειμένου πληροφοριών πληρωμής."
"Cannot retrieve the payment method code.","Δεν είναι δυνατή η ανάκτηση του κωδικού της μεθόδου πληρωμής."
"Cannot retrieve the payment method model object.","Δεν είναι δυνατή η ανάκτηση του αντικειμένου μοντέλου μεθόδου πληρωμής."
"Capture action is not available.","Η ενέργεια καταγραφής δεν είναι διαθέσιμη."
"Card Verification Number","Αριθμός Επαλήθευσης Κάρτας"
"Cart Attribute","Χαρακτηριστικό Καλαθιού"
"Cash On Delivery Payment","Πληρωμή Σε Μετρητά"
"Change status","Αλλαγή κατάστασης"
"Check / Money Order","Επιταγή / Ταχυδρομική Παραγγελία"
"Conditions","Προϋποθέσεις"
"Conditions Combination","Συνδυασμός Συνθηκών"
"Countries","Χώρες"
"Created At","Δημιουργήθηκε Στις"
"Credit Card Number","Αριθμός Πιστωτικής Κάρτας"
"Credit card number mismatch with credit card type.","Ασυμφωνία αριθμού πιστωτικής κάρτας με τον τύπο πιστωτικής κάρτας."
"Credit Card Type","Τύπος Πιστωτικής Κάρτας"
"Credit card type is not allowed for this payment method.","Ο τύπος πιστωτικής κάρτας δεν επιτρέπεται για αυτή τη μέθοδο πληρωμής."
"Credit Card Types","Τύποι Πιστωτικών Καρτών"
"Currency","Νόμισμα"
"Currency code is undefined.","Κωδικός νομίσματος δεν έχει οριστεί."
"Customer Groups","Ομάδες Πελατών"
"Customer ID is not set.","Δεν έχει οριστεί ID πελάτη."
"Day","Ημέρα"
"Debug Mode","Λειτουργία Αποσφαλμάτωσης"
"Delete Restriction","Διαγραφή Περιορισμού"
"Description","Περιγραφή"
"Edit","Επεξεργασία"
"Edit Restriction","Επεξεργασία Περιορισμού"
"Edit Restriction '%s'","Επεξεργασία Περιορισμού '%s'"
"Enabled","Ενεργοποιημένο"
"equals or greater than","ίσο ή μεγαλύτερο από"
"equals or less than","ίσο ή μικρότερο από"
"Expiration Date","Ημερομηνία Λήξης"
"FOUND","ΒΡΕΘΗΚΕ"
"Full name of the person receiving the product or service paid for by the recurring payment.","Πλήρες όνομα του προσώπου που λαμβάνει το προϊόν ή την υπηρεσία για το οποίο έχει πληρωθεί η επαναλαμβανόμενη πληρωμή."
"General Information","Γενικές Πληροφορίες"
"greater than","μεγαλύτερο από"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","Εάν %s %s %s για μια υποεπιλογή των αντικειμένων στο καλάθι που ταιριάζουν με %s από αυτές τις συνθήκες:"
"If an item is %s in the cart with %s of these conditions true:","Αν ένα αντικείμενο είναι %s στο καλάθι με %s από αυτές τις συνθήκες αληθείς:"
"Incorrect credit card expiration date.","Λανθασμένη ημερομηνία λήξης πιστωτικής κάρτας."
"Initial Fee","Αρχική Χρέωση"
"Initial non-recurring payment amount due immediately upon profile creation.","Αρχικό μη επαναλαμβανόμενο ποσό πληρωμής που οφείλεται αμέσως μετά τη δημιουργία προφίλ."
"Instructions","Οδηγίες"
"Internal Reference ID","Id Εσωτερικής Αναφοράς"
"Invalid Credit Card Number","Μη Έγκυρος Αριθμός Πιστωτικής Κάρτας"
"is","είναι"
"is not","δεν είναι"
"Issue Number","Αριθμός Έκδοσης"
"less than","λιγότερο από"
"Make Check Payable to","Κάντε την επιταγή πληρωτέα σε"
"Make Check payable to:","Κάντε την επιταγή πληρωτέα σε:"
"Make Check payable to: %s","Κάντε την επιταγή πληρωτέα σε: %s"
"Maximum Billing Cycles","Μέγιστος Κύκλος Χρέωσης"
"Maximum Order Total","Μέγιστο Σύνολο Παραγγελίας"
"Maximum Payment Failures","Μέγιστες Αποτυχίες Πληρωμής"
"Maximum Trial Billing Cycles","Μέγιστος Δοκιμαστικός Κύκλος Χρέωσης"
"Minimum Order Total","Ελάχιστο Σύνολο Παραγγελίας"
"Month","Μήνας"
"N/A","Δ/Υ"
"Name","Όνομα"
"Name on Card","Όνομα στην κάρτα"
"New Order Status","Νέα Κατάσταση Παραγγελίας"
"New Restriction","Νέος Περιορισμός"
"NOT FOUND","ΔΕΝ ΒΡΕΘΗΚΕ"
"Number of billing periods that make up one billing cycle.","Αριθμός περιόδων τιμολόγησης που συνθέτουν έναν κύκλο τιμολόγησης."
"Number of Complete Orders","Αριθμός ολοκληρωμένων παραγγελιών"
"Order action is not available.","Η ενέργεια παραγγελίας δεν είναι διαθέσιμη."
"Password","Κωδικός"
"Payment from Applicable Countries","Πληρωμή από Εφαρμοστέες Χώρες"
"Payment from Specific Countries","Πληρωμή από Συγκεκριμένες Χώρες"
"Payment Method","Μέθοδος Πληρωμής"
"Payment method code is not set.","Δεν έχει οριστεί κωδικός μεθόδου πληρωμής."
"Payment method code is undefined.","Ο κωδικός μεθόδου πληρωμής είναι απροσδιόριστος."
"Payment Methods","Τρόποι Πληρωμής"
"Payment profile is invalid:\n%s","Το προφίλ πληρωμής δεν είναι έγκυρο:\n%s"
"Payment Reference ID","ID Αναφοράς Πληρωμής"
"Payment Restrictions","Περιορισμοί Πληρωμής"
"Payment Services","Υπηρεσίες Πληρωμής"
"Period frequency is wrong.","Η συχνότητα χρονικής περιόδου είναι λάθος."
"Please choose a condition to add.","Παρακαλώ επιλέξτε μια συνθήκη για προσθήκη."
"Please enter a valid credit card verification number.","Παρακαλώ εισάγετε έναν έγκυρο αριθμό επαλήθευσης πιστωτικής κάρτας."
"Please select restriction(s).","Παρακαλώ επιλέξτε περιορισμό(ους)."
"Product Attribute","Χαρακτηριστικό Προϊόντος"
"Product attribute combination","Συνδυασμός χαρακτηριστικών προϊόντος"
"Product Categories","Κατηγορίες Προϊόντων"
"Products subselection","Υποεπιλογή προϊόντων"
"Purchase Order","Παραγγελία Αγοράς"
"Purchase Order Number","Αριθμός Παραγγελίας Αγοράς"
"Purchase Order Number:","Αριθμός Παραγγελίας Αγοράς:"
"Purchase Order Number: %s","Αριθμός Παραγγελίας Αγοράς: %s"
"Recurring Profile Start Date","Ημερομηνία Έναρξης Επαναλαμβανόμενου Προφίλ"
"Recurring profile start date has invalid format.","Η επαναλαμβανόμενη ημερομηνία έναρξης του προφίλ δεν έχει έγκυρη μορφή."
"Reference ID is not set.","Το ID αναφοράς δεν έχει οριστεί."
"Refund action is not available.","Η ενέργεια επιστροφής δεν είναι διαθέσιμη."
"Repeats %s time(s).","Επανάληψη %s φορά(ών)."
"Repeats until suspended or canceled.","Επαναλάβετε μέχρι να ανασταλεί ή να ακυρωθεί."
"Save Restriction","Αποθήκευση Περιορισμού"
"Schedule Description","Περιγραφή Προγραμματισμού"
"Schedule description must be not empty.","Η περιγραφή του χρονοδιαγράμματος δεν πρέπει να είναι κενή."
"Selected payment type is not allowed for billing country.","Επιλεγμένος τύπος πληρωμής δεν επιτρέπεται για τη χώρα χρέωσης."
"Send Check to","Αποστολή Επιταγής σε"
"Send Check to:","Αποστολή Επιταγής σε:"
