"Alert Email Sender","Ειδοποίηση Αποστολέα Email"
"Alert subscription has been saved.","Αποθηκέυσατε τη συνδρομή ειδοποίησης."
"Allow Alert When Product Comes Back in Stock","Επιτρέψτε Ειδοποίηση Όταν το Προϊόν είναι Ξανά σε Απόθεμα"
"Allow Alert When Product Price Changes","Επιτρέψτε Ειδοποίηση όταν Αλλάξει η Τιμή του Προϊόντος"
"Click here not to receive alerts for this product","Click here not to receive alerts for this product"
"Error Email Recipient","Παραλήπτης Email Σφάλματος"
"Error Email Sender","Αποστολέας Email Σφάλματος"
"Error Email Template","Προτύπο Email Σφάλματος"
"Frequency","Συχνότητα"
"Not enough parameters.","Not enough parameters."
"Price:","Τιμή:"
"Price Alert Email Template","Πρότυπο Email Ειδοποίησης Τιμής"
"Product Alerts","Ειδοποιήσεις Προϊόντος(ων)"
"Product alerts Cron error","Σφάλμα cron ειδοποιήσεων προϊόντων"
"Product Alerts Run Settings","Ρυθμίσεις Εκτέλεσης Ειδοποιήσεων Προϊόντων"
"Product price alert","Product price alert"
"Product stock alert","Product stock alert"
"Regular Price:","Regular Price:"
"Sign up for price alert","Sign up for price alert"
"Sign up to get notified when this product is back in stock","Sign up to get notified when this product is back in stock"
"Special price:","Special price:"
"Start Time","Ώρα Έναρξης"
"Stock Alert Email Template","Πρότυπο Email για Ειδοποίησεις Αποθέματος"
"The alert subscription has been deleted.","You will no longer receive price alerts for this product."
"The alert subscription has been saved.","The alert subscription has been saved."
"The product is not found.","The product was not found."
"The product was not found.","Το προϊόν δεν βρέθηκε."
"Unable to update the alert subscription.","Δεν είναι δυνατή η ενημέρωση της συνδρομής ειδοποιήσεων."
"Unsubscribe from all price alerts","Διαγραφή από όλες τις ειδοποιήσεις τιμών"
"Unsubscribe from all stock alerts","Διαγραφή από όλες τις ειδοποιήσεις αποθέματος"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:"
"You will no longer receive price alerts for this product.","Δεν θα λαμβάνετε πλέον ειδοποιήσεις τιμών για αυτό το προϊόν."
"You will no longer receive stock alerts.","Δεν θα λαμβάνετε πλέον ειδοποιήσεις αποθέματος."
"You will no longer receive stock alerts for this product.","Δεν θα λαμβάνετε πλέον ειδοποιήσεις αποθέματος για αυτό το προϊόν."
