"Add","Προσθήκη"
"ALL","ΟΛΑ"
"ANY","ΟΠΟΙΟΔΗΠΟΤΕ"
"Apply","Εφαρμογή"
"by","από"
"Conditions Combination","Συνδυασμός Συνθηκών"
"contains","περιέχει"
"Customer Groups must be specified.","Οι Ομάδες Πελατών πρέπει να καθοριστούν."
"does not contain","δεν περιέχει"
"End Date must be greater than Start Date.","Η Ημερομηνία Λήξης πρέπει να είναι μεγαλύτερη από την Ημερομηνία Έναρξης."
"equals or greater than","είναι ίσο ή μεγαλύτερο από"
"equals or less than","είναι ίσο ή μικρότερο από"
"FALSE","ΨΕΥΔΕΣ"
"from","από"
"greater than","περισσότερο από"
"If %s of these conditions are %s:","Εάν %s από τις συνθήκες είναι %s:"
"Invalid discount amount.","Άκυρη ποσότητα έκπτωσης."
"is","είναι"
"is not","δεν είναι"
"is not one of","δεν είναι ένα από"
"is one of","είναι ένα από"
"less than","λιγότερο από"
"Open Chooser","Άνοιγμα Εκλέγων"
"Perform following actions","Εκτέλεση των ακόλουθων ενεργειών"
"Please choose a condition to add...","Παρακαλούμε επιλέξτε μια συνθήκη για να προσθέσετε..."
"Please choose an action to add...","Παρακαλούμε επιλέξτε μια ενέργεια για να προσθέσετε ..."
"Remove","Διαγραφή"
"There is no information about associated entity type ""%s"".","Δεν υπάρχει πληροφορία για τον συσχετισμένο τύπο οντότητας ""%s""."
"to","σε"
"TRUE","ΑΛΗΘΕΣ"
"Websites must be specified.","Οι ιστοσελίδες πρέπει να καθοριστούν."
