"""%s"" coupon code is not valid.","""%s"" o κωδικός κουπονιού δεν είναι έγκυρος."
"%s","%ς"
"%s / %s rate:","%s / %s ποσοστό:"
"%s for %s","%ς για %ς"
"%s order(s) cannot be canceled","%s παραγγελίες δεν μπορούν να ακυρωθούν"
"%s order(s) have been canceled.","%s παραγγελίες έχουν ακυρωθεί."
"%s order(s) have been put on hold.","%s παραγγελίες έχουν τεθεί σε αναμονή."
"%s order(s) have been released from holding status.","%s παραγγελίες έχουν απελευθερωθεί από την κατάσταση κράτησης."
"%s order(s) were not put on hold.","%s παραγγελίες δεν τοποθετήθηκαν σε αναμονή."
"%s order(s) were not released from holding status.","%s παραγγελίες δεν αφέθηκαν από την κατάσταση κράτησης."
"* Enter custom price excluding tax","* Enter custom price excluding tax"
"* Enter custom price including tax","* Enter custom price including tax"
"* Required Fields","* Απαιτούμενα πεδία"
"-- Please Select --","--Παρακαλώ επιλέξτε--"
"-- Please Select Billing Agreement--","--Παρακαλώ Επιλέξτε Συμφωνία Χρέωσης--"
"About This Order:","Σχετικά με αυτή τη Παραγγελία:"
"About This Profile:","Σχετικά με αυτό το Προφίλ:"
"About Your Invoice","Σχετικά με το τιμολόγιό σας"
"About Your Order","Σχετικά με την Παραγγελία Σας"
"About Your Refund","Σχετικά με την επιστροφή των χρημάτων σας"
"About Your Shipment","Για την αποστολή σας"
"Accept or Deny Payment","Αποδοχή ή Άρνηση της Πληρωμής"
"Accept Payment","Αποδοχή Πληρωμής"
"Account Information","Πληροφορίες Λογαριασμού"
"Action","Ενέργεια"
"Actions","Ενέργειες"
"Activate","Ενεργοποίηση"
"Active","Ενεργό"
"Add","Προσθήκη"
"Add comment to order","Προσθήκη σχολίου στην παραγγελία"
"Additional Product Info","Πρόσθετες Πληροφορίες Προϊόντος"
"Add New Address","Προσθήκη Νέας Διεύθυνσης"
"Add new comment to credit memo","Προσθήκη νέου σχολίου στο πιστωτικό σημείωμα"
"Add new comment to shipment","Προσθήκη νέου σχολίου στην αποστολή"
"Add new tracking number","Προσθήκη νέου αριθμού παρακολούθησης"
"Add Order Comments","Προσθήκη Σχολίων Παραγγελίας"
"Add Package","Προσθήκη Πακέτου"
"Add Products","Προσθέστε προϊόντα"
"Address","Διεύθυνση"
"Address model is not defined.","Το μοντέλο διεύθυνσης δεν είναι καθορισμένο."
"Add Selected Product(s) to Option","Προσθήκη Επιλεγμένων Προϊόντων σε Επιλογή"
"Add Selected Product(s) to Order","Προσθέσετε το επιλεγμένο προϊόν(τα) σε παραγγελία"
"Add Selected Product(s) to Package","Προσθέστε επιλεγμένο προϊόν(τα) σε πακέτο"
"Add to Cart","Προσθήκη στο Καλάθι"
"Add To Order","Προσθήκη στην Παραγγελία"
"Add Tracking Number","Προσθήκη Αριθμού Εντοπισμού"
"Adjustment Fee","Τέλος Προσαρμογής"
"Adjustment Refund","Ρύθμιση επιστροφής"
"Agreement Information","Πληροφορίες Συμφωνίας"
"Allow Reorder","Επιτρέψτε Αναπαραγγελία"
"Amount","Ποσό"
"Amount: %s.","Ποσό: %s."
"Anchor Custom Title","Προσαρμοσμένος Τίτλος Σημείου Αγκύρωσης"
"An error occurred while assigning order status. Status has not been assigned.","Σφάλμα κατά τη διαδικασία ανάθεσης κατάστασης παραγγελίας. Η κατάσταση δεν έχει ανατεθεί."
"An error occurred while associating orders. Please try again.","An error occurred while associating orders. Please try again."
"An error occurred while creating shipping label.","Παρουσιάστηκε σφάλμα κατά τη δημιουργία της ετικέτας αποστολής."
