"All Websites","Όλες Οι Ιστοσελίδες"
"Apply Discounts To FPT","Εφαρμόστε Εκπτώσεις Σε Fpt"
"Display Prices In Emails","Εμφάνιση Τιμών Σε Email"
"Display Prices In Product Lists","Εμφάνιση Τιμών Στις Λίστες Προϊόντων"
"Display Prices In Sales Modules","Εμφάνιση Τιμών Στις Ενότητες Πωλήσεων"
"Display Prices On Product View Page","Εμφάνιση Τιμών Στη Σελίδα Προβολής Προϊόντος"
"Enable FPT","Ενεργοποίηση FPT"
"Excluding FPT","Εξαιρούνται FPT"
"Excluding FPT, FPT description, final price","Εξαιρουμένων των FPT, περιγραφή FPT, τελική τιμή"
"Fixed Product Tax","Σταθερός Φόρος Προϊόντος"
"Fixed Product Taxes","Σταθεροί Φόροι Προϊόντος"
"FPT Tax Configuration","Φορολογικές Ρυθμίσεις Fpt"
"Include FPT In Subtotal","Συμπερίληψη Fpt Σε Μερικό Σύνολο"
"Including FPT and FPT description","Συμπεριλαμβανομένης της περιγραφής FPT και FPT"
"Including FPT and FPT description [incl. FPT VAT]","Συμπεριλαμβανομένης της περιγραφής FPT και FPT [συμπεριλαμβανομένου του ΦΠΑ FPT]"
"Including FPT only","Συμπεριλαμβανομένου FPT μόνο"
"Loaded and Displayed with Tax","Φορτώθηκε και εμφανίζεται με φόρο"
"Not Taxed","Χωρίς Φορολόγηση"
"Taxed","Φορολόγηση"
"Total","Σύνολο"
"Total Incl. Tax","Σύνολο Με Φπα"
"Total incl. tax","Σύνολο με ΦΠΑ"
