"-- All Categories --","-- Όλες Οι Κατηγορίες --"
"-- Top Level --","-- Ανώτερο Επίπεδο --"
"-- Use System Default --","-- Χρήση Προεπιλογής Συστήματος --"
"86400 by default, if not set. Saving a post refreshes it.","86400 από προεπιλογή, αν δεν έχει οριστεί. Η αποθήκευση ενός post το ανανεώνει."
"A category with URL key ""%s"" already exists under the same parent.","Μια κατηγορία με κλειδί URL ""%s"" υπάρχει ήδη στον ίδιο γονέα."
"Add Category","Προσθήκη Κατηγορίας"
"Add Post","Προσθήκη Ανάρτησης"
"Blog","Ιστολόγιο"
"Blog Categories","Κατηγορίες Ιστολογίου"
"Blog Category","Κατηγορία Ιστολογίου"
"Blog Post","Ανάρτηση Blog"
"Blog Post API","Blog Post API"
"Blog Posts","Δημοσιεύσεις Blog"
"Blog Posts Grid Template","Πρότυπο Πλέγματος Αναρτήσεων Blog"
"Blog Recent Posts","Blog Πρόσφατες Αναρτήσεις"
"Cache Lifetime (Seconds)","Διάρκεια Ζωής Προσωρινής Αποθήκευσης (Δευτερόλεπτα)"
"Categories","Κατηγορίες"
"Category","Κατηγορία"
"Category Information","Πληροφορίες Κατηγορίας"
"Category Posts","Αναρτήσεις Κατηγορίας"
"Category URL Prefix","Πρόθεμα URL Κατηγορίας"
"Category was successfully deleted","Η κατηγορία διαγράφηκε επιτυχώς"
"Category was successfully saved","Η κατηγορία αποθηκεύτηκε με επιτυχία"
"Create blog post","Δημιουργία δημοσίευσης ιστολογίου"
"Create new post","Δημιουργία νέας δημοσίευσης"
"Delete Category","Διαγραφή Κατηγορίας"
"Delete Post","Διαγραφή Δημοσίευσης"
"Delete post","Διαγραφή δημοσίευσης"
"Edit Category","Επεξεργασία Κατηγορίας"
"Edit Category '%s'","Επεξεργασία Κατηγορίας '%s'"
"Edit Post","Επεξεργασία Δημοσίευσης"
"Edit Post '%s'","Επεξεργασία Δημοσίευσης '%s'"
"Enable Blog Search in Autosuggest","Ενεργοποίηση αναζήτησης Blog στο Autosuggest"
"Enable Categories","Ενεργοποίηση Κατηγοριών"
"General","Γενικά"
"General Information","Γενικές Πληροφορίες"
"Get post info","Λήψη πληροφοριών δημοσίευσης"
"Get post list","Λήψη λίστας αναρτήσεων"
"Include Images","Συμπερίληψη Εικόνων"
"Level","Επίπεδο"
"Maximum Blog Posts in Autosuggest","Μέγιστη δημοσιεύσεις Blog στο Autosuggest"
"Meta Information","Meta Πληροφορίες"
"Meta Title","Τίτλος Meta"
"New Category","Νέα Κατηγορία"
"New Post","Νέα Δημοσίευση"
"Number of Posts to Display","Αριθμός αναρτήσεων προς εμφάνιση"
"Parent Category","Γονική Κατηγορία"
"Please select category(s)","Παρακαλώ επιλέξτε κατηγορία(ες)"
"Please select post(s)","Παρακαλώ επιλέξτε ανάρτηση(εις)"
"Position","Θέση"
"Post Categories","Κατηγορίες Άρθρων"
"Post Content","Ανάρτηση Περιεχομένου"
"Post Information","Πληροφορίες Άρθρου"
"Posts","Αναρτήσεις"
"Posts in this category and its subcategories. Leave empty for all posts.","Δημοσιεύσεις σε αυτήν την κατηγορία και τις υποκατηγορίες της. Αφήστε κενό για όλες τις δημοσιεύσεις."
"Posts per Page","Αναρτήσεις ανά σελίδα"
"Post was successfully deleted","Η ανάρτηση διαγράφηκε επιτυχώς"
"Post was successfully saved","Η ανάρτηση αποθηκεύτηκε επιτυχώς"
"Publishing Date","Ημερομηνία Δημοσίευσης"
"Remove blog post","Αφαίρεση δημοσίευσης ιστολογίου"
"Retrieve blog post info","Ανάκτηση πληροφοριών δημοσίευσης ιστολογίου"
"Retrieve blog posts","Ανάκτηση αναρτήσεων ιστολογίου"
"Save Category","Αποθήκευση Κατηγορίας"
"Save Post","Αποθήκευση Δημοσίευσης"
"Show in Navigation","Εμφάνιση στην πλοήγηση"
"Shown above the posts. Leave empty for no title.","Εμφανίζεται πάνω από τις δημοσιεύσεις. Αφήστε κενό για κανέναν τίτλο."
"Template","Πρότυπο"
"The latest published blog posts, optionally from one category","Οι τελευταίες δημοσιεύσεις ιστολογίων, προαιρετικά από μία κατηγορία"
"There are no blog posts in this category.","Δεν υπάρχουν αναρτήσεις ιστολογίου σε αυτή την κατηγορία."
"There are no blog posts to display.","Δεν υπάρχουν αναρτήσεις ιστολογίου για εμφάνιση."
"This category no longer exists.","Αυτή η κατηγορία δεν υπάρχει πλέον."
"This post no longer exists.","Αυτή η ανάρτηση δεν υπάρχει πλέον."
"Title","Τίτλος"
"Total of %d category(s) were deleted","Σύνολο %d κατηγορία(ες) διαγράφηκαν"
"Total of %d post(s) were deleted","Σύνολο των %d καταχωρήσεων διαγράφηκαν"
"Update blog post","Ενημέρωση δημοσίευσης ιστολογίου"
"Update post","Ενημέρωση δημοσίευσης"
"URL Prefix","Πρόθεμα URL"
