"""media/catalog/category"" folder does not exist.","""media/catalog/category"" φάκελος δεν υπάρχει."
"""media/catalog/product"" folder does not exist.","""media/catalog/product"" φάκελος δεν υπάρχει."
"""media/catalog/product/cache"" folder does not exist.","""media/catalog/product/cache"" φάκελος δεν υπάρχει."
"""media/wysiwyg"" folder does not exist.","""media/wysiwyg"" φάκελος δεν υπάρχει."
"%s was successfully flushed","Το %s εκκαθαρίστηκε με επιτυχία"
"Actions","Ενέργειες"
"Are you sure?","Είσαι σίγουρος?"
"Categories","Κατηγορίες"
"Category","Κατηγορία"
"CSV","CSV"
"Delete","Διαγραφή"
"Download","Λήψη"
"Enable click on preview image to zoom it","Ενεργοποίηση κλικ στην εικόνα προεπισκόπησης για μεγέθυνση"
"Excel XML","Excel XML"
"File Name","Όνομα Αρχείου"
"Files/folders blacklist","Μαύρη λίστα αρχείων/φακέλων"
"Flush","Εκκαθάριση"
"ID","ID"
"Image","Εικόνα"
"Image not found.","Η εικόνα δεν βρέθηκε."
"It was not possible to delete one or more files from the %s folder.","Δεν ήταν δυνατόν να διαγράψετε ένα ή περισσότερα αρχεία από το φάκελο %s."
"It was not possible to delete one or more files from the filesystem.","Δεν ήταν δυνατόν να διαγράψετε ένα ή περισσότερα αρχεία από το σύστημα αρχείων."
"Media Cleaner","Καθαριστής Πολυμέσων"
"Never identify or delete files and folders in this list (wildcards allowed), one per line. Root dir is ""media"". Eg: ""wysiwyg/landing*/*.jpg"" or ""wysiwyg/images2021"" etc.","Ποτέ μην αναγνωρίζετε ή διαγράφετε αρχεία και φακέλους σε αυτόν τον κατάλογο (μπαλαντέρ επιτρέπονται), ένα ανά γραμμή. Root dir είναι ""μέσα"". Για παράδειγμα: ""wysiwyg/προσγείωση*/*.jpg"" ή ""wysiwyg/images2021"" κλπ."
"Product","Προϊόν"
"Product Cache","Προσωρινή Μνήμη Προϊόντος"
"Products","Προϊόντα"
"Reset Results","Επαναφορά Αποτελεσμάτων"
"Scan","Σάρωση"
"System","Σύστημα"
"Thumbnail size","Thumbnail size"
"Used in the admin preview grid.","Χρησιμοποιείται στο πλέγμα προεπισκόπησης διαχειριστή."
"WYSIWYG","WYSIWYG"
