"Actions","Acciones"
"An error occurred while marking notification as read.","Se ha producido un error al marcar la notificación como leída."
"An error occurred while marking the messages as read.","Se ha producido un error al marcar los mensajes como leídos."
"An error occurred while removing messages.","Se ha producido un error al eliminar los mensajes."
"An error occurred while removing the message.","Ocurrió un error mientras se eliminaba el mensaje."
"Are you sure?","¿Estás seguro?"
"Date Added","Fecha añadida"
"Last Update","Última actualización"
"Mark as Read","Marcar como leído"
"Mark as read","Marcar como leído"
"Message","Mensaje"
"Messages Inbox","Buzón de mensajes"
"Notifications","Notificaciones"
"Please select messages.","Por favor, seleccione mensajes."
"Read Details","Leer detalles"
"Remove","Eliminar"
"Severity","Gravedad"
"Show List","Mostrar lista"
"Show Toolbar","Mostrar barra de herramientas"
"The message has been marked as read.","El mensaje ha sido marcado como leído."
"The message has been removed.","El mensaje ha sido eliminado."
"Total of %d record(s) have been marked as read.","Total de %d registro(s) han sido marcados como leídos."
"Total of %d record(s) have been removed.","Se han eliminado un total de %d registro(s)."
"Unable to proceed. Please, try again.","No se puede continuar. Por favor, inténtalo de nuevo."
"Update Frequency","Actualizar frecuencia"
"Use HTTPS to Get Feed","Usa HTTPS para obtener alimentación"
"Wrong message type","Tipo de mensaje incorrecto"
"critical","crítico"
"major","mayor"
"minor","menor"
"notice","aviso"
