"--Please Select--","--Por favor selecciona--"
"Accepted Currency","Moneda Aceptada"
"API Login ID","ID de acceso de la API"
"Card Verification Number","Número de verificación de tarjeta"
"Card Verification Number Visual Reference","Referencia visual de número de verificación de tarjeta"
"Close","Cerrar"
"Credit Card Number","Número de tarjeta de crédito"
"Credit Card Type","Tipo de tarjeta de crédito"
"Credit Card Types","Tipos de tarjeta de crédito"
"Credit Card Verification","Verificación de la tarjeta de crédito"
"Debug","Depurar"
"Email Customer","Correo electrónico del Cliente"
"Enabled","Habilitado"
"Expiration Date","Fecha de vencimiento"
"Gateway URL","URL de la pasarela"
"Maximum Order Total","Total máximo del pedido"
"Merchant's Email","Correo electrónico del vendedor"
"Minimum Order Total","Total mínimo del pedido"
"New Order Status","Nuevo estado del pedido"
"Order saving error: %s","Error al guardar pedido: %s"
"Payment Action","Acción de pago"
"Payment authorization error.","Error de autorización de pago."
"Payment from Applicable Countries","Pago desde países aceptados"
"Payment from Specific Countries","Pago desde países específicos"
"Sort Order","Orden de aparición"
"Test Mode","Modo de prueba"
"The order has been created.","El pedido ha sido creado."
"There was an error processing your order. Please contact us or try again later.","Hubo un error al procesar su pedido. Por favor, póngase en contacto con nosotros o inténtelo de nuevo más tarde."
"Title","Título"
"Transaction Key","Clave de transacción"
"What is this?","¿Qué es esto?"
