"A block identifier with the same properties already exists in the selected store.","Un identificador de bloque con las mismas propiedades ya existe en la tienda seleccionada."
"Action","Acción"
"Add New Block","Añadir Nuevo Bloque"
"Add New Page","Añadir nueva página"
"A directory with the same name already exists. Please try another folder name.","A directory with the same name already exists. Please try another folder name."
"All Countries","Todos los países"
"Anchor Custom Text","Ancla Texto personalizado"
"Anchor Custom Title","Anclar título personalizado"
"An error occurred while saving the page.","An error occurred while saving the page."
"A page URL key for specified store already exists.","A page URL key for specified store already exists."
"Are you sure you want to delete current folder?","Are you sure you want to delete current folder?"
"Are you sure you want to delete the selected file?","Are you sure you want to delete the selected file?"
"Block","Bloque"
"Block Content","Block Content"
"Block Information","Información del bloque"
"Block Title","Título de bloque"
"Cannot create new directory.","Cannot create new directory."
"Cannot delete directory %s.","Cannot delete directory %s."
"Cannot delete page, it is used in ""%s"".","Cannot delete page, it is used in ""%s""."
"Cannot delete root directory %s.","Cannot delete root directory %s."
"Cannot disable page, it is used in configuration ""%s"".","Cannot disable page, it is used in configuration ""%s""."
"Cannot upload file.","Cannot upload file."
"CMS","CMS"
"CMS Content Wrapper","CMS Content Wrapper"
"CMS Home Page","Página de inicio de CMS"
"CMS No-Route Page","CMS No-Route Page"
"CMS No Route Page","Página CMS sin ruta"
"CMS Page","Página CMS"
"CMS Page Link","Enlace a Página CMS"
"CMS Page Link Block Template","CMS-Seitenlink - Blockvorlage"
"CMS Page Link Inline Template","CMS-Seitenlink - Inlinevorlage"
"CMS Pages (All)","CMS Pages (All)"
"CMS Static Block","Bloque estático CMS"
"CMS Static Block Default Template","Plantilla predeterminada de bloque estático CMS"
"Collapse All","Contraer todo"
"Content","Contenido"
"Content Heading","Encabezado del contenido"
"Content Management","Gestión de Contenidos"
"Contents of a Static Block","Contenidos de un bloque estático"
"Create Folder...","Crear carpeta..."
"Custom Design","Diseño Personalizado"
"Custom Design From","Diseño personalizado de"
"Custom Design To","Diseño personalizado para"
"Customer Tax Class Information","Customer Tax Class Information"
"Custom Layout","Diseño personalizado"
"Custom Layout Update XML","XML de actualización de diseño personalizado"
"Custom Theme","Tema personalizado"
"Date Created","Date Created"
"Delete Block","Eliminar bloque"
"Delete File","Eliminar archivo"
"Delete Folder","Eliminar carpeta"
"Delete Page","Eliminar página"
"Description","Descripción"
"Design","Diseño"
"Disabled","Inhabilitada"
"Disabled by Default","Inhabilitado por defecto"
"Disabled Completely","Inhabilitado completamente"
"Edit Block","Editar bloque"
"Edit Block '%s'","Edit Block '%s'"
"Edit Image","Edit Image"
"Edit Page","Editar página"
"Edit Page '%s'","Edit Page '%s'"
"Enabled","Habilitado"
"Enabled by Default","Habilitado por defecto"
"Enable WYSIWYG Editor","Habilitar Editor WYSIWYG"
"Expand All","Abrir todos"
"General Information","Información general"
"Go to Home Page","Ir a la página de inicio"
"Home","Inicio"
"ID","ID"
"Identifier","Identificador"
"If empty, the Page Title will be used","Si está vacío, se usará el título de página"
"Insert File","Insertar archivo"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Invalid folder name. Please, use alphanumeric characters, underscores and dashes."
"Keywords","Palabras clave"
"Last Modified","Last Modified"
"Layout","Diseño"
"Layout Update XML","Actualización de diseño XML"
"Link to a CMS Page","Enlace a una Página CMS"
"Manage Pages","Administrar páginas"
"Media Gallery","Galería de medios"
"Media Library","Media Library"
"Media Storage","Almacenamiento de medios"
"Meta Data","Metadatos"
"Meta Description","Meta Descripción"
"Meta Keywords","Meta Palabras clave"
"Meta Robots","Meta Robots"
"New Block","Nuevo bloque"
"New Folder Name:","Nombre de la nueva carpeta:"
"New Page","Página nueva"
"No files found","No se encontraron archivos"
"Page Information","Página de información"
"Page Layout","Diseño de página"
"Pages","Páginas"
"Page Status","Estado de la página"
"Page Title","Título de página"
"Please add at least one image to the slideshow","Please add at least one image to the slideshow"
"Product Tax Class Information","Product Tax Class Information"
"px.","px."
"Relative to Website Base URL","Relative to Website Base URL"
"Robots","Robots"
"Save Block","Guardar bloque"
"Save Page","Guardar página"
"Save Process","Save Process"
"Select Block...","Seleccionar bloque..."
"Select Page...","Seleccionar página..."
"Show Breadcrumbs for CMS Pages","Mostrar ruta de navegación en Páginas CMS"
"Some content is not supported. Clean and continue?","Some content is not supported. Clean and continue?"
"Static Blocks","Bloques Estáticos"
"Status","Estado"
"Storage Root","Raíz de almacenamiento"
"Store View","Vista de la tienda"
"Template","Plantilla"
"The block has been deleted.","The block has been deleted."
"The block has been saved.","The block has been saved."
"The directory %s is not writable by server.","The directory %s is not writable by server."
"The page has been deleted.","La página se ha eliminado."
"The page has been saved.","The page has been saved."
"The page URL key cannot consist only of numbers.","The page URL key cannot consist only of numbers."
"The page URL key contains capital letters or disallowed symbols.","La clave de URL de la página contiene mayúsculas o símbolos no permitidos."
"The static block content cannot contain  directive with its self.","The static block content cannot contain  directive with its self."
"This block no longer exists.","Este bloque ya no existe."
"This page no longer exists.","Esta página ya no existe."
"Title","Título"
"Unable to find a block to delete.","Unable to find a block to delete."
"Unable to find a page to delete.","Unable to find a page to delete."
"URL Key","Clave URL"
"WYSIWYG Options","Opciones WYSIWYG"
