"Add","Agregar"
"Add links and samples to downloadable product","Add links and samples to downloadable product"
"Add New Row","Agregar nueva fila"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Se recomiendan los caracteres alfanuméricos, guion y guion bajo para los nombres de fichero. Los caracteres incorrectos se reemplazarán con '_'."
"An error occurred while getting the requested content.","An error occurred while getting the requested content."
"An error occurred while getting the requested content. Please contact the store owner.","An error occurred while getting the requested content. Please contact the store owner."
"An error occurred while saving the file(s).","An error occurred while saving the file(s)."
"attachment","documento adjunto"
"Availability:","Disponibilidad:"
"Back","Atrás"
"Canceled","Cancelado"
"Cannot connect to remote host, error: %s.","Cannot connect to remote host, error: %s."
"Catalog Product View (Downloadable)","Catalog Product View (Downloadable)"
"Category API","Category API"
"Customer My Account Downloadable Items","Customer My Account Downloadable Items"
"Date","Fecha"
"Default Link Title","Título de enlace (predeterminado)"
"Default Maximum Number of Downloads","Número máximo de descargas (predeterminado)"
"Default Sample Title","Título de muestra (predeterminado)"
"Delete","Borrar"
"Disable Guest Checkout if Cart Contains Downloadable Items","Inhabilitar el pago como invitado si el carrito contiene artículos descargables"
"Disable Sample","Disable Sample"
"download","descarga"
"Downloadable Information","Información Descargable"
"Downloadable Product","Downloadable Product"
"Downloadable Product Options","Opciones de artículo descargable"
"Edit","Editar"
"Edit item parameters","Editar los parámetros del artículo"
"Excl. Tax","Impuestos NO Incl."
"File","Archivo"
"File:","File:"
"From:","Desde:"
"Gift Message","Mensaje regalo"
"Go to <a href=""%s"">My Downloadable Products</a>","Go to <a href=""%s"">My Downloadable Products</a>"
"Guest checkout will only work with shareable.","La pago como invitado solo funcionará si se puede compartir."
"Incl. Tax","Impuestos incl."
"inline","en línea"
"In stock","Disponible"
"Invalid download link type.","Tipo de enlace de descarga no válido."
"Invalid download URL host.","Invalid download URL host."
"Invalid download URL scheme.","Invalid download URL scheme."
"Invalid file path.","Invalid file path."
"Invoiced","Facturado"
"Links can be purchased separately","Los enlaces se puede comprar por separado."
"List","Lista"
"Max. Downloads","Máximas descargas"
"Message:","Mensaje:"
"Move","Mover"
"Move to wishlist","Move to wishlist"
"My Downloadable Products","Artículos para descargar"
"Open Links in New Window","Abrir enlaces en una nueva ventana"
"Order #","Pedido n.º "
"Ordered","Pedidos"
"Order id cannot be null","El ID del pedido no puede ser nulo"
"Order item id cannot be null","El ID del artículo del pedido no puede ser nulo"
"Order Item Status to Enable Downloads","Estado de artículo pedido para habilitar descargas"
"Out of stock","No está disponible"
"Pending","Pendiente"
"Please log in to download your product.","Please log in to download your product."
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","Please log in to download your product or purchase <a href=""%s"">%s</a>."
"Please set resource file and link type.","Por favor, asigna el archivo del recurso y el tipo de enlace."
"Please specify product link(s).","Por favor, especifica el/los enlace(s) de artículo."
"Price","Precio"
"Product downloadable links","Product downloadable links"
"Qty","Cantidad"
"Refunded","Reembolsado"
"Remaining Downloads","Descargas restantes"
"Remove","Eliminar"
"Remove Item","Eliminar elemento"
"Remove links and samples from downloadable product","Remove links and samples from downloadable product"
"Requested link does not exist.","Requested link does not exist."
"Retrieve links and samples list from downloadable product","Retrieve links and samples list from downloadable product"
"Sample","Muestra"
"sample","muestra"
"See price before order confirmation.","Consulta el precio antes de la confirmación del pedido."
"Shareable","Se puede compartir"
"Shipped","Enviado"
"SKU","SKU"
"Sorry, there was an error getting requested content. Please contact the store owner.","Lo sentimos, se ha producido un error al obtener el contenido solicitado. Por favor, ponte en contacto con el propietario de la tienda."
"Sort Order","Orden de aparición"
"Start Download","Iniciar descarga"
"Status","Estado"
"Subtotal","Subtotal"
"The file does not exist.","The file does not exist."
"The link has expired.","El enlace ha caducado."
"The link is not available.","El enlace no está disponible."
"There are files that were selected but not uploaded yet. Please upload or remove them first","There are files that were selected but not uploaded yet. Please upload or remove them first"
"Title","Título"
"To:","A:"
"U","U"
"Unlimited","Ilimitado"
"Update","Actualizar"
"URL:","URL:"
"Use Content-Disposition","Utilizar Contenido-Disposición"
"Use Default Value","Usar Valor Predeterminado"
"View Order","Ver pedido"
"What's this?","¿Qué es esto?"
"You have not purchased any downloadable products yet.","Todavía no has adquirido ningún artículo descargable."
