"* Select shipping method","* Seleccionar método de envío"
"2Day","2Día"
"2nd Day Air","2º día en avión"
"2nd Day Air AM","2º día en avión por la mañana"
"3 Day Select","Seleccione 3 días"
"<br />Warning: <strong>%s</strong><br />","<br />Advertencia: <strong>%s</strong><br />"
"<strong style=""color:red"">Warning!</strong> This option disables the merchant calculated shipping. With this option, Google API ignores any attempt to affect shipping prices.","<strong style=""color:red"">¡Atención!</strong> Esta opción deshabilita el envío calculado por el comerciante. Con esta opción, la API de Google ignora cualquier intento de afectar los precios de envío."
"A virtual item to reflect the discount total","Un artículo virtual para reflejar el total de descuento"
"A virtual item to reflect the tax total","Un artículo virtual para reflejar el total de impuestos"
"AVS Status: %s","Estado AVS: %s"
"Add Shipping Method","Añadir Método de Envío"
"Allowed Methods","Métodos permitidos"
"Amount: %s","Cantidad: %s"
"Auto-generated from GoogleCheckout Charge","Auto-generado desde GoogleCheckout Cargo"
"Buyer Account Age: %s days","Edad de la cuenta del comprador: %s días"
"CC Partial: xxxx-%s","CC Parcial: xxxx-%s"
"CID Status: %s","Estado del CID: %s"
"Carrier Calculated Methods","Métodos de cálculo de transportista"
"Cart Discount","Descuento de Carro"
"Checkout Image Style","Estilo de Imagen de Pago"
"Commercial","Comercial"
"Continue Shopping URL","Continuar Comprando URL"
"Credit memo has been created automatically","Se ha creado automáticamente un memo de crédito"
"Debug","Depurar"
"Default Package Height (in)","Altura del Paquete Predeterminada (en pulgadas)"
"Default Package Length (in)","Longitud del paquete predeterminado (en pulgadas)"
"Default Package Width (in)","Ancho del Paquete Predeterminado (en pulgadas)"
"Default Price for Methods","Precio Predeterminado para Métodos"
"Default price:","Precio predeterminado:"
"Delivery Address Category","Categoría de Dirección de Entrega"
"Delivery Schedule","Programación de Entrega"
"Description-based delivery","Entrega basada en descripción"
"Disable Default Tax Tables","Deshabilitar Tablas de Impuestos Predeterminadas"
"Discount Tax","Impuesto de Descuento"
"Eligible for Protection: %s","Elegible para Protección: %s"
"Email delivery","Entrega de correo electrónico"
"Enable","Activado"
"Enable Carrier Calculated","Habilitar Cálculo de Transportista"
"Enable Digital Delivery","Habilitar Entrega Digital"
"Enable Flat Rate","Habilitar Tarifa Plana"
"Enable Merchant Calculated","Habilitar Cálculo del Comerciante"
"Enable this if your checkout request is too big and being cut off.","Habilita esto si tu solicitud de checkout es demasiado grande y se está cortando."
"Expiration: %s","Caducidad: %s"
"Express Mail","Correo Exprés"
"Express Saver","Envío urgente garantizada"
"FedEx","FedEx"
"Financial: %s -> %s","Financiero: %s -> %s"
"First Overnight","Primera clase nocturno"
"Free Shipping","Transporte gratuito"
"Fulfillment: %s -> %s","Cumplimiento: %s -> %s"
"Google API","API de Google"
"Google Authorization:","Autorización de Google:"
"Google Buyer ID: %s","ID de comprador de Google: %s"
"Google Charge:","Cobro de Google:"
"Google Chargeback:","Reembolso de Google:"
"Google Checkout","Pago de Google"
"Google Checkout Shipping - Carrier Calculated","Pago de Google - Envío calculado por transportista"
"Google Checkout Shipping - Digital Delivery","Google Checkout Envío - Entrega Digital"
"Google Checkout Shipping - Flat Rate","Pago de Checkout de Google - Tarifa plana"
"Google Checkout Shipping - Merchant Calculated","Pago de Checkout de Google - Flete Calculado por el Comerciante"
"Google Checkout: %s","Google Checkout: %s"
"Google Order Number: %s","Número de pedido de Google: %s"
"Google Order Status Change:","Cambio de Estado de Pedido de Google:"
"Google Refund:","Reembolso de Google:"
"Google Risk Information:","Información de Riesgo de Google:"
"GoogleCheckout is not configured","GoogleCheckout no está configurado"
"Ground","Vía terrestre"
"Hide Cart Contents","Ocultar Contenido del Carrito"
"Home Delivery","Entrega a domicilio"
"IP Address: %s","Dirección IP: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","Si se habilita, el contenido del carrito se ocultará después de hacer clic en el botón de Google Checkout en el carrito de compras, y se restaurará si se activa el enlace ""Editar carrito""."
"Inches","Pulgadas"
"Invoice Auto-Created: %s","Factura Auto-Generada: %s"
"Is Buyer Willing to Receive Marketing Emails: %s","¿El comprador está dispuesto a recibir correos electrónicos de marketing: %s"
"Key/URL delivery","Entrega de clave/URL"
"Large - %s","Grande - %s"
"Latest Charge: %s","Último Cargo: %s"
"Latest Chargeback: %s","Última Devolución de Cargo: %s"
"Latest Refund: %s","Último Reembolso: %s"
"Location","Ubicación"
"Media Mail","Correo Media"
"Medium - %s","Medio - %s"
"Merchant ID","Identificación del comerciante"
"Merchant Key","Clave del Comerciante"
"Method","Método"
"New Order Status","Nuevo estado del pedido"
"Next Day Air","Transporte aéreo al día siguiente"
"Next Day Air Early AM","Transporte aéreo al día siguiente a primera hora de la mañana"
"Next Day Air Saver","Transporte aéreo al día siguiente garantizada"
"No","No 	"
"No Comment","Sin comentario"
"No Reason","Sin Razón"
"Optimistic","Optimista"
"Optional, leave empty for home page.","Opcional, dejar vacío para página de inicio."
"Order creation error","Error de creación de pedido"
"Parcel Post","Correo de Paquetería"
"Pessimistic","Pesimista"
"Priority Mail","Correo urgente"
"Priority Overnight","Prioridad durante la noche"
"Rate 1 Amount","Tarifa 1 Monto"
"Rate 1 Ship To Applicable Countries","Tarifa 1 Envío a Países Aplicables"
"Rate 1 Ship to Specific Countries","Tarifa 1 Envío a Países Específicos"
"Rate 1 Title","Tasa 1 Título"
"Rate 2 Amount","Tarifa 2 Cantidad"
"Rate 2 Ship To Applicable Countries","Tarifa 2 Envío a Países Aplicables"
"Rate 2 Ship to Specific Countries","Tarifa 2 Envío a Países Específicos"
"Rate 2 Title","Valorar 2 Título"
"Rate 3 Amount","Tarifa 3 Cantidad"
"Rate 3 Ship To Applicable Countries","Tarifa 3 Envío a Países Aplicables"
"Rate 3 Ship to Specific Countries","Tarifa 3 Envío a Países Específicos"
"Rate 3 Title","Tasa 3 Título"
"Required for live Google Checkout transactions. Make sure that this option corresponds to Use Secure URLs in Frontend (""Web"" > ""Secure"").","Requerido para transacciones en vivo de Google Checkout. Asegúrate de que esta opción se corresponda con Utilizar URLs seguras en Frontend (""Web"" > ""Seguro"")."
"Residential","Residencial"
"Sandbox","Entorno de pruebas"
"Secure Callback URL","URL de Callback Segura"
"Small - %s","Pequeño - %s"
"Standard Overnight","Estándar de un día para otro"
"The tax amount has been applied based on the information received from Google Checkout, because tax amount received from Google Checkout is different from the calculated tax amount","La cantidad de impuesto ha sido aplicada según la información recibida de Google Checkout, porque la cantidad de impuesto recibida de Google Checkout es diferente de la cantidad de impuesto calculada"
"Title","Título"
"Total Chargeback: %s","Cargo Total de Devolución: %s"
"Total Charged: %s","Total Cobrado: %s"
"Total Refunded: %s","Total Devuelto: %s"
"Transparent","Transparente"
"UPS","UPS"
"USPS","Servicio Postal de los EE. UU."
"United Kingdom","Reino Unido"
"United States","Estados Unidos"
"Unknown Reason","Razón desconocida"
"White Background","Fondo Blanco"
"Yes","Sí"
"You will be redirected to GoogleCheckout in a few seconds.","Serás redirigido a GoogleCheckout en unos segundos."
