"%s-%s of %s","%s-%s de %s"
"%s - Go to Home Page","%s - Ir a la página de inicio"
"%s Item(s)","%s artículo(s)"
"-- Please Select --","-- Por favor seleccione --"
"-- Use Default --","-- Usar por defecto --"
"1 column","1 columna"
"2 columns with left bar","2 columnas con barra izquierda"
"2 columns with right bar","2 columnas con barra derecha"
"3 columns","3 columnas"
"Account","Cuenta"
"All Empty Layout Pages","Todas las páginas de diseño vacío"
"All Minimal Layout Pages","Todas las páginas de diseño mínimo"
"All One-Column Layout Pages","Todas las páginas de diseño de una sola columna"
"Allow","Permitir"
"All Pages","Todas las páginas"
"All Pages (Print Version)","Todas las páginas (versión de impresión)"
"All Rights Reserved.","Todos los derechos reservados."
"All Three-Column Layout Pages","Todas las páginas de diseño de tres columnas"
"All Two-Column Layout Pages (Left Column)","Todas las páginas de diseño de dos columnas (Columna izquierda)"
"All Two-Column Layout Pages (Right Column)","Todas las páginas de diseño en dos colores (columna derecha)"
"Breadcrumbs","migas de pan"
"Click <a href=""%s"">here</a> if nothing has happened","Haz clic <a href=""%s"">aquí</a> si nada ha pasado"
"Close","Cerrar"
"Close Window","Cerrar ventana"
"CMS Block","Bloque CMS"
"Custom Text","Texto personalizado"
"Default Description","Descripción por defecto"
"Demo Store Notice CMS Block","Bloque CMS Aviso Demo Tienda"
"Demo Store Notice Text","Demo Tienda de Aviso Texto"
"Deprecated: Use SVG or srcset","Desaprobado: Usar SVG o srcset"
"Disabled","Deshabilitado"
"Empty","Vaciar"
"Interface Language","Idioma de la interfaz"
"Leave empty to use the default text.","Dejar en blanco para usar el texto predeterminado."
"Left Column","Columna izquierda"
"Left Column First (shows above main column on smaller screens)","Columna izquierda primero (se muestra sobre la columna principal en pantallas más pequeñas)"
"Logo Height (in px)","Altura del Logo (en px)"
"Logo Width (in px)","Ancho de Logo (en px)"
"Main Content Area","Área de contenido principal"
"Main Navigation","Navegación principal"
"Menu","Menú"
"Minimal","Mínimo"
"Navigation Bar","Barra de navegación"
"Next","Siguiente"
"Page:","Página:"
"Page Bottom","Inicio de página"
"Page Footer","Pie de página"
"Page Header","Encabezado de página"
"Page Top","Página superior"
"per page","por página"
"Previous","Anterior"
"Primary sidebar","Barra lateral primaria"
"Redirecting...","Redirigiendo..."
"Results per page","Resultados por página"
"Right Column","Columna derecha"
"Right sidebar","Barra lateral derecha"
"Search","Buscar"
"Secondary sidebar","Barra lateral secundaria"
"Select Store","Seleccionar tienda"
"Select Store:","Seleccionar tienda:"
"Show","Mostrar"
"Skip to main content","Ir al contenido principal"
"Store Notice","Almacenar Aviso"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Esta es una tienda de demostración. Cualquier pedido realizado a través de esta tienda no será honrado ni cumplido."
"View All","Ver todo"
"Welcome!","Bienvenido!"
"Welcome, %s!","¡Bienvenido, %s!"
"Your Language","Tu idioma"
"Your Language:","Tu idioma:"
