"Add","Agregar"
"ALL","TODO"
"ANY","CUALQUIER"
"Apply","Aplicar"
"by","por"
"Conditions Combination","Combinación de condiciones"
"contains","contiene"
"Customer Groups must be specified.","Los grupos de clientes deben ser especificados."
"does not contain","no contiene"
"End Date must be greater than Start Date.","La Fecha de fin debe ser mayor que la Fecha de inicio."
"equals or greater than","igual o mayor que"
"equals or less than","igual o menor que"
"FALSE","FALSO"
"from","a partir de"
"greater than","mayor que"
"If %s of these conditions are %s:","Si %s de estas condiciones son %s:"
"Invalid discount amount.","Cantidad de descuento no válida."
"is","es"
"is not","no es"
"is not one of","no es uno de"
"is one of","es uno de"
"less than","menor que"
"Open Chooser","Abrir el buscador"
"Perform following actions","Realizar las siguientes acciones"
"Please choose a condition to add...","Por favor, elija una condición para agregar..."
"Please choose an action to add...","Por favor, elija una acción para agregar..."
"Remove","Eliminar"
"There is no information about associated entity type ""%s"".","No hay información sobre el tipo de entidad asociada ""%s""."
"to","hasta"
"TRUE","VERDADERO"
"Websites must be specified.","Los sitios web deben ser especificados."
