"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled."
"%s Coupon(s) have been generated","%s Coupon(s) have been generated"
"Actions","Acciones"
"Active","Activo"
"Add New Rule","Añadir nueva regla"
"Alphabetical","Alfabético"
"Alphanumeric","Alfanumérico"
"An error occurred while generating coupons. Please review the log and try again.","An error occurred while generating coupons. Please review the log and try again."
"Apply","Aplicar"
"Apply the rule only if the following conditions are met (leave blank for all products)","Apply the rule only if the following conditions are met (leave blank for all products)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Apply the rule only to cart items matching the following conditions (leave blank for all items)"
"Apply To","Aplicar a"
"Apply to Shipping Amount","Aplíquese a la cantidad de envío"
"Are you sure you want to delete the selected coupon(s)?","¿Estás seguro de que quieres eliminar el cupón/los cupones seleccionado(s)?"
"Attribute ""%s"" %s %s %s","Attribute ""%s"" %s %s %s"
"Auto","Auto"
"Auto Generated Specific Coupon Codes","Códigos de cupones específicos generados automáticamente"
"Buy X get Y free (discount amount is Y)","Compra X y llévate Y gratis (la cantidad descontada es Y)"
"By Fixed value","Por valor fijo"
"By Percentage","Por porcentaje"
"Can't acquire coupon.","No se puede adquirir el cupón."
"Cart Attribute","Atributos del carrito"
"Catalog","Catálogo"
"Code Format","Código de formato"
"Code Length","Código de longitud"
"Code Prefix","Código de prefijo"
"Code Suffix","Código de sufijo"
"Conditions","Condiciones"
"Conditions combination","Combinación de condiciones"
"Coupon","Cupón"
"Coupon Code","Código de cupón"
"Coupon Qty","Cantidad de cupón"
"Coupons Information","Información sobre cupones"
"Coupon with the same code","Cupón con el mismo código"
"Created On","Creado"
"Customer Groups","Grupos de cliente"
"Dash Every X Characters","Guion cada X caracteres"
"Date Expire","Date Expire"
"Date Start","Date Start"
"Default Label","Etiqueta predeterminada"
"Default Rule Label for All Store Views","Etiqueta de regla predeterminada para todas las vistas de tienda"
"Description","Descripción"
"Discount Amount","Importe del descuento"
"Discount Qty Step (Buy X)","Paso de cantidad descontada (comprar X)"
"Edit Rule","Editar regla"
"Edit Rule '%s'","Edit Rule '%s'"
"Excluding prefix, suffix and separators.","Excluyendo prefijos, sufijos y separaciones"
"Fixed amount discount","Importe fijo de descuento"
"Fixed amount discount for whole cart","Descuento de cantidad fija para el carro completo"
"For matching items only","Sólo para artículos correspondientes"
"For shipment with matching items","Para envíos con artículos correspondientes"
"FOUND","ENCONTRADO"
"Free Shipping","Transporte gratuito"
"From Date","From Date"
"General Information","Información general"
"Generate","Generar"
"ID","ID"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","If %s %s %s for a subselection of items in cart matching %s of these conditions:"
"If an item is %s in the cart with %s of these conditions true:","If an item is %s in the cart with %s of these conditions true:"
"If empty no separation.","Si está vacío no hay separación."
"If you select and save the rule you will be able to generate multiple coupon codes.","Si seleccionas y guardas la regla podrás generar múltiples códigos de cupón."
"Inactive","Inactivo"
"is assigned","is assigned"
"is not assigned","is not assigned"
"Item totals are not set for rule.","Item totals are not set for rule."
"Labels","Etiquetas"
"Manage Coupon Codes","Administrar códigos de cupones"
"Maximum Qty Discount is Applied To","Se aplica la máxima cantidad descontada"
"New Rule","Nueva regla"
"No","No"
"No Coupon","Sin cupón"
"NOT FOUND","NO ENCONTRADO"
"NOT LOGGED IN","NO CONECTADO"
"Not valid data provided","Not valid data provided"
"Number of Uses","Número de usos"
"Numeric","Numérico"
"Payment Method","Método de pago"
"Percent of product price discount","Porcentaje de descuento en el precio del artículo"
"Period","Período"
"Price in cart","Precio del carro"
"Priority","Prioridad"
"Product attribute combination","Combinación de atributos de artículo"
"Products subselection","Subselección de artículos"
"Promotions","Promociones"
"Public In RSS Feed","Público en el feed RSS"
"Quantity in cart","Cantidad en el carrito"
"Row total in cart","Total de filas en el carrito"
"Rule Information","Información sobre la regla"
"Rule is not defined","Regla no definida"
"Rule Name","Nombre de la regla"
"Sales Discount Amount","Sales Discount Amount"
"Sales Subtotal Amount","Sales Subtotal Amount"
"Sales Total Amount","Sales Total Amount"
"Save and Continue Edit","Guardar y continuar editando"
"Shipping Country","País de envío"
"Shipping Method","Método de envío"
"Shipping Postcode","Código postal"
"Shipping Region","Región de envío"
"Shipping State/Province","Provincia/Estado de envío"
"Shopping Cart Price Rule","Shopping Cart Price Rule"
"Shopping Cart Price Rules","Shopping Cart Price Rules"
"Special Price","Precio especial"
"Specific Coupon","Cupón específico"
"Status","Estado"
"Stop Further Rules Processing","Stop Further Rules Processing"
"Store View Specific Labels","Etiquetas específicas de la vista de tienda"
"Subtotal","Subtotal"
"Subtotal Amount","Subtotal Amount"
"The rule has been deleted.","The rule has been deleted."
"The rule has been saved.","The rule has been saved."
"This rule no longer exists.","Esta regla ya no existe."
"Times Used","Veces usado"
"To Date","To Date"
"To Fixed Value","Para valor fijo"
"To Percentage","Para porcentaje"
"Total","Total"
"Total Amount","Cantidad total"
"total amount","Cantidad total"
"Total Items Quantity","Cantidad total de artículos"
"total quantity","Suma total"
"Total Weight","Peso total"
"Unable to create requested Coupon Qty. Please check settings and try again.","Unable to create requested Coupon Qty. Please check settings and try again."
"Unable to find a rule to delete.","Unable to find a rule to delete."
"Update prices using the following information","Update prices using the following information"
"Update product's %s %s: %s","Update product's %s %s: %s"
"Update the Product","Actualizar el artículo"
"Usage limit enforced for logged in customers only","Usage limit enforced for logged in customers only"
"Use Auto Generation","Utilizar generación automática"
"Used","Utilizado"
"Uses per Coupon","Usos por cupón"
"Uses per Customer","Usos por cliente"
"Website","Sitio web"
"Websites","Sitios web"
"Wrong rule specified.","Regla especificada incorrecta."
"Yes","Sí"
