"""Remember Me"" Cookie Lifetime","""Muista Minut"" Evästeen Elinikä"
"%s already exist.","%s on jo olemassa."
"%s already exists.","%s on jo olemassa."
"-- Please Select --","-- Valitse --"
"<strong>Disabled:</strong> No deferral (default behavior)<br><strong>Defer Only:</strong> Moves all script tags to the end of the page, improving initial render performance<br><strong>Load on Intent:</strong> <strong style=""color:red"">Highly Experimental!</strong> Defers all scripts until user interaction (click, scroll, hover, etc.) - designed for pure vanilla JavaScript and may not work with legacy JavaScript libraries","<strong>Poistettu käytöstä:</strong> Ei lykkäystä (oletuskäyttäytyminen)<br><strong>Vie Vain:</strong> Siirtää kaikki komentosarjan tunnisteet sivun loppuun, parantaa alkuperäistä suorituskykyä<br><strong>Lataa Intent:</strong> <strong style=""color:red"">Erittäin kokeillinen!</strong> Viittaa kaikki skriptit kunnes käyttäjä vuorovaikutus (klikkaus, scroll, hover, jne. - suunniteltu puhtaalle vaniljaJavaScriptille, eikä se välttämättä toimi vanhojen JavaScript-kirjastojen kanssa"
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">Varoitus!</strong> Kun käytät CDN:ää, JavaScript ei välttämättä toimi oikein, jos CDN ei ole aliverkkotunnuksessasi"
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style=""color:red"">Varoitus!</strong> Kun käytät kaupan koodia URL-osoitteissa, Joissakin tapauksissa järjestelmä ei ehkä toimi kunnolla, jos kolmannen osapuolen palveluissa on määritelty URL-osoitteet ilman kaupan koodeja (e. . PayPal jne.)."
"A category object is required for determining the product request path.","Luokan objekti on tarpeen tuotteen pyynnön polun määrittämiseksi."
"Add Block Names to Hints","Lisää nimien lohko vihjeisiin"
"Add Secret Key to URLs","Lisää salausavain URL-osoitteisiin"
"Add Store Code to Urls","Lisää kaupan koodi URL-osoitteisiin"
"Admin","Ylläpitäjä"
"Admin Base URL","Ylläpitäjän Base URL"
"Admin Theme","Ylläpitäjän Teema"
"Admin User Emails","Ylläpito Käyttäjän Sähköpostit"
"Advanced","Lisäasetukset"
"Advanced Cache Settings","Välimuistin Lisäasetukset"
"Allow Countries","Salli Maat"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, WEBP, AVIF, SVG. Not all browsers support all these formats!","Sallitut tiedostotyypit: ICO, PNG, GIF, JPG, JPEG, APNG, WEBP, AVIF, SVG. Kaikki selaimet eivät tue kaikkia näitä muotoja!"
"Allowed IPs (comma separated)","Sallitut IP-osoitteet (pilkulla erotettu)"
"Allowed Shipping Countries","Sallitut Toimitusmaat"
"Allow Maho Backend to run in frame","Salli Mahon taustaosan suorittaa kehyksessä"
"Allow Maho Frontend to run in frame","Salli Mahon julkisivun suorittaa kehyksessä"
"Allows customers to stay logged in when switching between different stores.","Mahdollistaa asiakkaiden pysyä kirjautuneena kun vaihdetaan eri kauppoja."
"Allow Symlinks","Salli Symboliset Linkit"
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Vaihtoehtoinen teksti seuraavalle linkille sivutusvalikossa. Jos tyhjä, käytetään oletuksena nuolinäyttöä."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Vaihtoehtoinen teksti edelliselle linkille sivutusvalikossa. Jos tyhjä, käytetään oletuksena nuolinäyttöä."
"Anchor symbol (#) is not supported in request path","Ankkurisymbolia (#) ei tueta pyynnön polussa"
"Anchor symbol (#) is not supported in url rewrite suffix","Ankkurisymbolia (#) ei tueta url rewrite jälkiliitteessä"
"Anchor Text for Next","Ankkuroi teksti seuraavalle"
"Anchor Text for Previous","Ankkuroi teksti edelliselle"
"An error occured.","Tapahtui virhe."
"An error occurred while saving. Please review the error log.","Virhe tallennettaessa. Ole hyvä ja tarkista virheloki."
"Are you sure?","Oletko varma?"
"Are you sure you want to delete the selected email log entries?","Oletko varma, että haluat poistaa valitut sähköpostilokimerkinnät?"
"Auto-redirect to Base URL","Automaattisesti uudelleenohjaa Base URL"
"Back","Takaisin"
"Backup Options","Varmuuskopioinnin Asetukset"
"Base JavaScript URL","Base JavaScript URL"
"Base Link URL","Base Linkin URL"
"Base Media URL","Base Median URL"
"Base Secure URL","Base Suojattu URL"
"Base Skin URL","Base Skin URL"
"Base Unsecure URL","Base Epäturvallinen URL"
"Base URL","Base URL"
"Bcc","Piilokopio"
"Before modifying the store view code please make sure that it is not used in index.php.","Ennen kuin muokkaat kaupan näkymän koodia, varmista, että sitä ei käytetä index.php:ssä."
"Before modifying the website code please make sure that it is not used in index.php.","Ennen kuin muokkaat sivuston koodia, varmista, että sitä ei käytetä index.php:ssä."
"Cache Storage Management","Välimuistin Varaston Hallinta"
"Cache storage may contain additional data. Are you sure that you want flush it?","Välimuistin tallennustila voi sisältää lisätietoja. Oletko varma, että haluat huuhtella sen?"
"Can't retrieve entity config: %s","Tiedostoa config ei voi noutaa: %s"
"Can't retrieve request object","Pyynnön kohdetta ei voi noutaa"
"Cancel","Peruuta"
"Cannot complete this operation from non-admin area.","Toimintoa ei voi suorittaa muulla kuin järjestelmänvalvojan alueella."
"Can not create invoice. Order was not found.","Laskua ei voitu luoda. Tilausta ei löytynyt."
"Card type does not match credit card number.","Kortin tyyppi ei vastaa luottokortin numeroa."
"Cc","Cc"
"Clean Log After (days)","Puhdista Loki (Päivää)"
"Code","Koodi"
"Controls how much referrer information is sent with requests","Valvoa, kuinka paljon viittaavia tietoja lähetetään pyynnöillä"
"Cookie Domain","Evästeen Verkkotunnus"
"Cookie Lifetime","Evästeen Elinikä"
"Cookie Path","Evästeen Polku"
"Cookie Restriction Mode","Evästeen Rajoitustila"
"Copyright","Tekijänoikeus"
"Core","Ydin"
"Could not write sanitized SVG file.","Ei voitu kirjoittaa sanitioitua SVG-tiedostoa."
"Countries Options","Maiden Asetukset"
"Country","Maa"
"Create Store","Luo Kauppa"
"Create Store View","Luo Kauppanäkymä"
"Create Website","Luo Sivusto"
"Credit card number does not match credit card type.","Luottokortin numero ei vastaa luottokortin tyyppiä."
"Cron Expression for Cache Flushing","Cron Expression välimuistin punoitus"
"CSS Settings","CSS Settings"
"Current Package Name","Nykyinen Paketin Nimi"
"Custom1 Contact Email","Oma1 Yhteyshenkilön Sähköposti"
"Custom1 Contact Name","Oma1 Yhteyshenkilön Nimi"
"Custom2 Contact Email","Omam2 Yhteyshenkilön Sähköposti"
"Custom2 Contact Name","Omam2 Yhteyshenkilön Nimi"
"Custom Admin Path","Mukautettu Järjestelmänvalvojan Polku"
"Custom Admin URL","Mukautettu Järjestelmänvalvojan URL"
"Custom Design","Muokattu Ulkoasu"
"Custom Email 1","Mukautettu Sähköposti 1"
"Custom Email 2","Mukautettu Sähköposti 2"
"Customer Support","Asiakkaan Tuki"
"Custom Variables","Mukautetut Muuttujat"
"Dashboard","Hallintapaneeli"
"Date","Päivämäärä"
"Date From","Päivämäärä Alkaen"
"Date To","Päivämäärä Päättyen"
"Debug","Debug"
"Default","Oletus"
"Default Country","Oletus Maa"
"Default Description","Oletus Kuvaus"
"Default Keywords","Oletus Avainsanat"
"Default No-route URL","Oletus No-route URL"
"Default Pages","Oletus Sivut"
"Default Robots","Default Robots"
"Default Store","Oletus Kauppa"
"Default Store View","Kaupan Oletusnäkymä"
"Default Title","Default Title"
"Default Web URL","Default Web URL"
"Defer Only","Vain Defer"
"Delete","Poista"
"Delete Store","Poista Kauppa"
"Delete Store View","Poista Kauppanäkymä"
"Delete Website","Poista Sivusto"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","%1$s poistaminen ei poista %1$s liittyviä tietoja (esim. kategoriat, tuotteet jne. , mutta %1$s ei voi palauttaa. On ehdotettu, että luot tietokannan varmuuskopion ennen kuin poistat %1$s."
"Design","Ulkoasu"
"Design Change","Ulkoasun Muutos"
"Developer","Kehittäjä"
"Developer Client Restrictions","Kehittäjän Asiakkaiden Rajoitukset"
"Disable Modules Output","Poista Moduulien Ulostulo Käytöstä"
"Disallowed block name for frontend.","Estetyn lohkon nimi"
"Disallowed template variable method.","Estä mallin muuttujan menetelmä."
"Display Demo Store Notice","Näytä Esittelyilmoitus"
"Duplicate Of Template Name","Mallin Nimen Kaksoiskappale"
"Edit Design Change","Muokkaa Ulkoasun Muutosta"
"Edit Store","Muokkaa Kauppaa"
"Edit Store View","Muokkaa Kauppanäkymää"
"Edit Website","Muokkaa Sivustoa"
"Email - Footer","Email - Footer"
"Email - Header","Sähköposti - Otsikko"
"Email Body","Sähköpostin Runko"
"Email Details","Sähköpostin Tiedot"
"Email Footer Template","Sähköpostin Alatunnisteen Malli"
"Email Header Template","Sähköpostin Otsikon Malli"
"Email Log","Sähköpostin Loki"
"Email log entries older than this number of days will be automatically deleted.","Sähköpostilokimerkinnät, jotka ovat vanhempia kuin tämä päivien lukumäärä, poistetaan automaattisesti."
"Email Log Entry","Sähköpostilokin Merkintä"
"Empty identifier field name","Tyhjä tunnistekentän nimi"
"Empty main table name","Tyhjä päätaulukon nimi"
"Enable Charts","Ota Kartat Käyttöön"
"Enabled","Käytössä"
"Enable Email Logging","Ota Käyttöön Sähköpostin Loki"
"Enable Email Queue","Ota Sähköpostijono Käyttöön"
"Enable global search","Ota globaali haku käyttöön"
"Enable HSTS (HTTP Strict Transport Security)","Ota Käyttöön HSTS (Http Strict Transport Security)"
"Enables browser XSS filtering. Note: Modern browsers prefer CSP over this header.","Ottaa selaimen XSS-suodatuksen. Huom: Nykyaikaiset selaimet suosivat CSP:tä tämän otsikon päälle."
"Enable X-Content-Type-Options","Käytä X-Sisältötyyppivalintoja"
"Enable X-XSS-Protection","Ota X-XSS-suojaus Käyttöön"
"Enabling ability to run Maho in a frame is not recommended for security reasons.","Mahdollistaa Mahon toiminnan kehyksessä ei suositella turvallisuussyistä."
"Error","Virhe"
"Error generating PDF: %s","Virhe luotaessa PDF: %s"
"Error in file: ""%s"" - %s","Virhe tiedostossa: ""%s"" - %s"
"European Union Countries","Euroopan Unionin Maat"
"Excel XML","Excel XML"
"Facebook URL","Facebook URL"
"Failed","Epäonnistui"
"Favicon Icon","Favicon Ikoni"
"File %s does not exist","Tiedostoa %s ei ole olemassa"
"File %s is not readable","Tiedosto %s ei ole luettavissa"
"File is not a valid SVG.","Tiedosto ei ole kelvollinen SVG."
"File name is too long. Maximum length is %s.","Tiedoston nimi on liian pitkä. Enimmäispituus on %s."
"File not found","Tiedostoa ei löydy"
"File system","Tiedostojärjestelmä"
"File type for image conversions","Tiedostotyyppi kuvan muunnoksille"
"File with an extension ""%s"" is protected and cannot be uploaded","Lisäosan sisältävä tiedosto ""%s"" on suojattu eikä sitä voi ladata"
"First Day of Week","Viikon ensimmäinen päivä"
"Flush & Apply Updates","Tyhjennä & Käytä Päivityksiä"
"Flush Cache Storage","Tyhjennä Välimuisti"
"Footer","Alatunniste"
"Forces browsers to use HTTPS. Only works on HTTPS connections.","Forces selaimet käyttää HTTPS. toimii vain HTTPS yhteyksiä."
"Forgot Password Email Sender","Unohtunut Salasanan Lähettäjä"
"Forgot Password Email Template","Salasana Unohtunut Sähköpostimalli"
"From","Alkaen"
"Frontend","Julkisivu"
