"%d country(s) were skipped because they no longer exist.","%d maata ohitettiin, koska niitä ei enää ole."
"%d region(s) were skipped because they have existing region names.","%d aluetta ohitettiin, koska niillä on olemassa olevan alueen nimet."
"-- Please select --","-- Valitse --"
"A country with this ID already exists.","Maa tällä tunnuksella on jo olemassa."
"Add New Country","Lisää Uusi Maa"
"Add New Region","Lisää Uusi Alue"
"Add Translation","Lisää Käännös"
"Allowed Currencies","Sallitut Valuutat"
"An invalid base currency has been entered.","Epäkelpo perusvaluutta on syötetty."
"API Access Key","Api Pääsyavain"
"API Key","Api Avain"
"A region name for this locale and region combination already exists.","Alueen nimi tälle lokaatio- ja alueyhdistelmälle on jo olemassa."
"A region with code ""%s"" already exists in this country.","Alue koodilla ""%s"" on jo olemassa tässä maassa."
"Are you sure you want to delete the selected countries?","Oletko varma, että haluat poistaa valitut maat?"
"Are you sure you want to delete the selected region names?","Oletko varma, että haluat poistaa valitun alueen nimet?"
"Are you sure you want to delete the selected regions?","Oletko varma, että haluat poistaa valitut alueet?"
"Are you sure you want to delete this country?","Oletko varma, että haluat poistaa tämän maan?"
"Are you sure you want to delete this region?","Oletko varma, että haluat poistaa tämän alueen?"
"Base Currency","Base Valuutta"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Perusvaluuttaa käytetään kaikissa verkkomaksutapahtumissa. Soveltamisala määritellään katalogin hinnan laajuuden mukaan (""Katalogi"" > ""Hinta"" > ""Katalogin hintasoveltamisala"")."
"Cannot delete region with existing region names. Please delete all region names first.","Aluetta ei voi poistaa olemassa olevilla nimillä. Poista kaikki alueen nimet ensin."
"Close","Sulje"
"Connection Timeout in Seconds","Yhteyden aikakatkaisu sekunteina"
"Continue &raquo;","Jatka &raquo;"
"Countries","Maat"
"Country","Maa"
"Country and Format Type combination should be unique","Maa ja muoto Tyyppi yhdistelmän on oltava yksilöllinen"
"Country API","Maan API"
"Country ID","Maan Tunnus"
"Country ID cannot be changed after creation","Maan tunnusta ei voi muuttaa luomisen jälkeen"
"Country ID is required.","Maan tunnus vaaditaan."
"Country ID must be exactly 2 uppercase letters.","Maan tunnuksen on oltava täsmälleen 2 isoa kirjainta."
"Country Information","Maan Tiedot"
"Country is required.","Maa vaaditaan."
"Country Name","Maan Nimi"
"Currency","Valuutta"
