"Alert Email Sender","Hälytys Sähköpostin Lähettäjä"
"Alert subscription has been saved.","Hälytystilaus on tallennettu."
"Allow Alert When Product Comes Back in Stock","Salli hälytys kun tuote tulee takaisin varastossa"
"Allow Alert When Product Price Changes","Salli Hälytys Kun Tuotteen Hinnan Muutokset"
"Click here not to receive alerts for this product","Klikkaa tästä saadaksesi hälytyksiä tästä tuotteesta"
"Error Email Recipient","Virhe Sähköpostin Vastaanottaja"
"Error Email Sender","Error Email Sender"
"Error Email Template","Virhe Sähköpostin Malli"
"Frequency","Taajuus"
"Not enough parameters.","Ei tarpeeksi parametreja."
"Price:","Hinta:"
"Price Alert Email Template","Hinnan Hälytyksen Sähköpostimalli"
"Product Alerts","Tuotteen Hälytykset"
"Product alerts Cron error","Tuotteen hälytykset Cron virhe"
"Product Alerts Run Settings","Tuotteen Hälytykset Suorita Asetukset"
"Product price alert","Tuotteen hinnan hälytys"
"Product stock alert","Tuotteen varastovaroitus"
"Regular Price:","Säännöllinen Hinta:"
"Sign up for price alert","Rekisteröidy saadaksesi hintahälytyksen"
"Sign up to get notified when this product is back in stock","Rekisteröidy saadaksesi ilmoituksen, kun tuote on taas varastossa"
"Special price:","Erityinen hinta:"
"Start Time","Aloitus Aika"
"Stock Alert Email Template","Pörssihälytyksen Sähköpostimalli"
"The alert subscription has been deleted.","Varoitustilaus on poistettu."
"The alert subscription has been saved.","Varoitustilaus on tallennettu."
"The product is not found.","Tuotetta ei löydy."
"The product was not found.","Tuotetta ei löytynyt."
"Unable to update the alert subscription.","Varoitustilausta ei voi päivittää."
"Unsubscribe from all price alerts","Peruuta kaikkien hintahälytysten tilaus"
"Unsubscribe from all stock alerts","Peruuta kaikkien varastohälytysten tilaus"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Saat tämän ilmoituksen, koska olet tilannut ilmoitukset kun seuraavat tuotteet ovat taas varastossa:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Saat tämän ilmoituksen, koska olet tilannut hälytyksiä kun seuraavien tuotteiden hinnat muuttuivat:"
"You will no longer receive price alerts for this product.","Et enää saa hintahälytyksiä tästä tuotteesta."
"You will no longer receive stock alerts.","Et enää saa varastohälytyksiä."
"You will no longer receive stock alerts for this product.","Et enää saa varastohälytyksiä tästä tuotteesta."
