"Action","Toiminto"
"Add Sitemap","Lisää Sivukartta"
"Always","Aina"
"Categories Options","Kategorioiden Asetukset"
"CMS Pages Options","Cms Sivujen Asetukset"
"Daily","Päivittäin"
"Do not show in sitemap","Älä näytä sivukartassa"
"Edit Sitemap","Muokkaa Sivukarttaa"
"Enabled","Käytössä"
"Error Email Recipient","Virhe Sähköpostin Vastaanottaja"
"Error Email Sender","Error Email Sender"
"Error Email Template","Virhe Sähköpostin Malli"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Tiedostoa ""%s"" ei voi tallentaa. Varmista, että hakemisto ""%s"" on kirjoitettavissa web-palvelimella."
"Filename","Tiedostonimi"
"Frequency","Taajuus"
"Generate","Luo"
"Generation Settings","Luomisen Asetukset"
"Google Sitemap","Google Sivukartta"
"Hourly","Tunneittain"
"ID","ID"
"Include Images","Sisällytä Kuvat"
"Last Time Generated","Viimeksi Luotu"
"Link for Google","Linkki Googlelle"
"Maximum URLs per Sitemap File","URL-osoitteita per sivukarttatiedosto"
"Monthly","Kuukausittain"
"Never","Ei Koskaan"
"New Sitemap","Uusi Sivukartta"
"Path","Polku"
"Please create the specified folder ""%s"" inside your public directory before saving the sitemap.","Ole hyvä ja luo määritelty kansio ""%s"" julkisen hakemiston sisällä ennen kuin tallennat sivukarttaa."
"Please define correct path","Määritä oikea polku"
"Please enter a sitemap name with at most %s characters.","Please enter a sitemap name with at most %s characters."
"Please make sure that ""%s"" inside your public directory is writable by web-server.","Varmista, että ""%s"" julkisen hakemiston sisällä on kirjoitettava web-palvelimella."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Käytä vain kirjaimia (a-z tai A-Z), numeroita (0-9) tai alaviivaa (_) tiedostonimessä. Välilyöntejä tai muita merkkejä ei sallita."
"Priority","Prioriteetti"
"Products Options","Tuotteiden Asetukset"
"Show lastmod","Show lastmod"
"Sitemap","Sitemap"
"Sitemap generate Warnings","Sivukartta luo varoituksia"
"Split sitemap files when they exceed this number of URLs","Jaa sivukarttatiedostot, kun ne ylittävät tämän URL-osoitteiden määrän"
"Start Time","Aloitus Aika"
"Store View","Kaupan Näkymä"
"The priority must be between 0 and 1.","Painopisteen on oltava välillä 0 ja 1."
"The sitemap ""%s"" has been generated.","Sivukartta ""%s"" on luotu."
"The sitemap has been deleted.","Sivukartta on poistettu."
"The sitemap has been saved.","Sivukartta on tallennettu."
"This sitemap no longer exists.","Tämä sivukartta ei ole enää olemassa."
"Unable to find a sitemap to delete.","Poistettavaa sivukarttaa ei löydy."
"Unable to find a sitemap to generate.","Ei löydy sivukarttaa luoda."
"Unable to generate the sitemap.","Sivukarttaa ei voitu luoda."
"Valid values range: from 0.0 to 1.0.","Kelvolliset arvot alue: 0 - 1.0."
"Weekly","Viikoittain"
"Yearly","Vuosittain"
