"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","'*' - vastaa mitä tahansa; 'xyz*' - vastaa mitä tahansa joka alkaa 'xyz' ja ei kauemmin kuin %d."
"-- Please Select --","-- Valitse --"
"Add New Class","Add New Class"
"Add New Tax Rate","Lisää Uusi Verokanta"
"Add New Tax Rule","Lisää Uusi Verosääntö"
"After Discount","Alennuksen Jälkeen"
"An error occurred while deleting this rate.","Tämän nopeuden poistamisessa tapahtui virhe."
"An error occurred while deleting this rate. Incorrect rate ID.","Virhe tapahtui poistettaessa tätä hintaa. Virheellinen hinta-tunnus."
"An error occurred while deleting this tax class.","Tämän veroluokan poistamisessa tapahtui virhe."
"An error occurred while deleting this tax rule.","Virhe tapahtui poistettaessa tätä verosääntöä."
"An error occurred while saving this tax class.","Virhe tapahtui tallentaessa tätä veroluokkaa."
"An error occurred while saving this tax class. A class with the same name","Virhe tapahtui tallentaessa tätä veroluokkaa. Luokka, jolla on sama nimi"
"An error occurred while saving this tax rule.","Virhe tapahtui tallennettaessa tätä verosääntöä."
"Apply Customer Tax","Ota Käyttöön Asiakkaan Vero"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","Lisää alennus hinnasta sis. vero lasketaan kauppaveron perusteella, jos ""Käytä veroa alennuksen jälkeen"" on valittu."
"Apply Discount On Prices","Ota Alennus Käyttöön Hinnat"
"Apply Tax On","Lisää Vero Päälle"
"Are you sure you want to do this?","Oletko varma, että haluat tehdä tämän?"
"Back","Takaisin"
"Before Discount","Ennen Alennusta"
"Calculate off subtotal only","Laske vain välisumma"
"Calculation Settings","Laskelman Asetukset"
"Catalog Prices","Katalogin Hinnat"
"Class Name","Luokan Nimi"
"Click here to go to <a href=""%s"">Tax configuration</a> and change your settings.","Klikkaa tästä siirtääksesi kohtaan <a href=""%s"">Vero asetukset</a> ja muuttaaksesi asetuksiasi."
"Code","Koodi"
"Country","Maa"
"CSV","CSV"
"Customer Tax Class","Asiakkaan Veroluokka"
"Customer Tax Classes","Asiakkaan Veroluokat"
"Customer Tax Class Information","Asiakkaan Veroluokan Tiedot"
"Custom price if available","Mukautettu hinta jos saatavilla"
"Default Country","Oletus Maa"
"Default Post Code","Viestin Oletuskoodi"
"Default State","Oletus Tila"
"Default Tax Destination Calculation","Veron Oletusmäärityksen Laskeminen"
"Delete Class","Poista Luokka"
"Delete Rate","Poista Hinta"
"Delete Rule","Poista Sääntö"
"Display Full Tax Summary","Näytä Koko Vero Yhteenveto"
"Display Prices","Näytä Hinnat"
"Display Product Prices In Catalog","Näytä Tuotehinnat Luettelossa"
"Display Shipping Amount","Näytä Toimituksen Määrä"
"Display Shipping Prices","Näytä Toimituskulut"
"Display Subtotal","Näytä Välisumma"
"Display Zero Tax Subtotal","Näytä Ei Veroa Välisumma"
"Edit Class","Muokkaa Luokkaa"
"Edit Class '%s'","Muokkaa Luokkaa '%s'"
"Edit Rule","Muokkaa Sääntöä"
"Edit Tax Rate","Muokkaa Veroastetta"
"Enable Cross Border Trade","Ota Rajakauppa Käyttöön"
"Excel XML","Excel XML"
"Excl. Tax","Ilman Veroa"
"Excl. Tax:","Veroton Vero:"
"Excluding Tax","Ilman Veroa"
"Export Tax Rates","Vie Verokannat"
"for store(s)","varasto(i)lle"
"Grand Total (Excl. Tax)","Loppusumma (veroton)"
"Grand Total (Excl.Tax)","Loppusumma (veroton)"
"Grand Total (Incl. Tax)","Loppusumma (veroton)"
