"Actions","Action"
"An error occurred while marking notification as read.","An error occurred while marking notification as read."
"An error occurred while marking the messages as read.","An error occurred while marking the messages as read."
"An error occurred while removing messages.","An error occurred while removing messages."
"An error occurred while removing the message.","An error occurred while removing the message."
"Are you sure?","Êtes-vous sûr(e) ?"
"critical","critique"
"Date Added","Date d'ajout"
"Last Update","Dernière mise à jour"
"major","majeur"
"Mark as Read","Marquer comme lu"
"Mark as read","Mark as read"
"Message","Message"
"Messages Inbox","Messages reçus"
"minor","mineur"
"notice","avertissement"
"Notifications","Notifications"
"Please select messages.","Veuillez sélectionner des messages."
"Read Details","Lire les détails"
"Remove","Retirer"
"Severity","Importance"
"Show List","Afficher liste"
"Show Toolbar","Afficher barre d'outils"
"The message has been marked as read.","The message has been marked as read."
"The message has been removed.","Le message a été supprimé."
"Total of %d record(s) have been marked as read.","Total of %d record(s) have been marked as read."
"Total of %d record(s) have been removed.","Total of %d record(s) have been removed."
"Unable to proceed. Please, try again.","Unable to proceed. Please, try again."
"Update Frequency","Fréquence de mise à jour"
"Wrong message type","Mauvais type de message"
