"--Please Select--","--Veuillez choisir--"
"Accepted Currency","Devise acceptée"
"API Login ID","ID de connexion API"
"Card Verification Number","Numéro de vérification de la carte"
"Card Verification Number Visual Reference","Référence visuelle du numéro de vérification de carte"
"Close","Fermer"
"Credit Card Number","Numéro de carte de crédit"
"Credit Card Type","Type de carte de crédit"
"Credit Card Types","Types de cartes de crédit"
"Credit Card Verification","Vérification de la carte de crédit"
"Debug","Debug"
"Email Customer","Envoyer un e-mail au client"
"Enabled","Activé"
"Expiration Date","Date d'expiration"
"Gateway URL","URL de la passerelle"
"Maximum Order Total","Total maximum de la commande"
"Merchant's Email","E-mail du marchand"
"Minimum Order Total","Total minimum de la commande"
"New Order Status","Statut de la nouvelle commande"
"Order saving error: %s","Erreur lors de la sauvegarde de la commande : %s"
"Payment Action","Action de paiement"
"Payment authorization error.","Erreur d'autorisation de paiement."
"Payment from Applicable Countries","Paiement à partir des pays applicables"
"Payment from Specific Countries","Paiement depuis des pays spécifiques"
"Sort Order","Ordre de tri"
"Test Mode","Mode de test"
"The order has been created.","La commande a été créée."
"There was an error processing your order. Please contact us or try again later.","Une erreur s'est produite lors du traitement de votre commande. Veuillez nous contacter ou réessayer plus tard."
"Title","Titre de la page"
"Transaction Key","Clé de transaction"
"What is this?","Qu'est-ce que c'est?"
