"A block identifier with the same properties already exists in the selected store.","Un identifiant de bloc avec les mêmes propriétés existe déjà dans la boutique sélectionnée."
"Action","Action"
"Add New Block","Ajouter un nouveau bloc"
"Add New Page","Ajouter une nouvelle page"
"A directory with the same name already exists. Please try another folder name.","Un répertoire avec le même nom existe déjà. Veuillez essayer un autre nom de dossier."
"Anchor Custom Text","Texte personnalisé de l'ancre"
"Anchor Custom Title","Titre personnalisé d'ancre"
"and %s more","et %s de plus"
"An error occurred while saving the page.","Une erreur s'est produite lors de l'enregistrement de la page."
"A page URL key for specified store already exists.","Une clé d'URL de page pour la boutique spécifiée existe déjà."
"Are you sure you want to delete current folder?","Êtes-vous sûr de vouloir supprimer le dossier actuel ?"
"Are you sure you want to delete the selected file?","Êtes-vous sûr de vouloir supprimer le fichier sélectionné ?"
"Block","Bloquer"
"Block Content","Bloquer le contenu"
"Block Information","Informations sur le bloc"
"Block Title","Titre du bloc"
"Cannot create new directory.","Impossible de créer un nouveau répertoire."
"Cannot delete directory %s.","Impossible de supprimer le répertoire %s."
"Cannot delete page, it is used in ""%s"".","Impossible de supprimer la page, elle est utilisée dans «%s»."
"Cannot delete root directory %s.","Impossible de supprimer le répertoire racine %s."
"Cannot disable page, it is used in configuration ""%s"".","Impossible de désactiver la page, elle est utilisée dans la configuration «%s»."
"Cannot upload file.","Impossible de télécharger le fichier."
"CMS","CMS"
"CMS Content Wrapper","Conteneur de contenu CMS"
"CMS Home Page","Page d'accueil du CMS"
"CMS No-Route Page","Page CMS sans route"
"CMS No Route Page","Page CMS sans route"
"CMS Page","Page CMS"
"CMS Page Link","Lien de page CMS"
"CMS Page Link Block Template","Modèle de bloc de lien de page CMS"
"CMS Page Link Inline Template","Modèle de lien de page CMS en ligne"
"CMS Pages (All)","Pages CMS (toutes)"
"CMS Static Block","Bloc statique CMS"
"CMS Static Block Default Template","Modèle par défaut du bloc statique CMS"
"Collapse All","Réduire tout"
"Content","Contenus"
"Content Heading","En-tête de contenu"
"Content Management","Gestion du contenu"
"Contents of a Static Block","Contenu d'un bloc statique"
"Could not reach the HTML validator service.","Impossible d'accéder au service de validateur HTML."
"Create Folder...","Créer un dossier..."
"Custom Design","Conception personnalisée"
"Custom Design From","Design personnalisé de"
"Custom Design To","Conception personnalisée pour"
"Customer Tax Class Information","Information sur la classe de taxe du client"
"Custom Layout","Mise en page personnalisée"
"Custom Layout Update XML","XML de mise à jour de mise en page personnalisée"
"Custom Theme","Thème personnalisé"
"Date Created","Date de création"
"Delete Block","Supprimer le bloc"
"Delete File","Supprimer le fichier"
"Delete Folder","Supprimer le dossier"
"Delete Page","Supprimer la page"
"Describes the video to screen readers. Defaults to a generic label.","Décrit la vidéo aux lecteurs d'écran. Par défaut, une étiquette générique."
"Description","Libellé"
"Design","Conception"
"Disabled","Désactivé"
"Disabled by Default","Désactivé par défaut"
"Disabled Completely","Désactivé complètement"
"Edit Block","Modifier le bloc"
"Edit Block '%s'","Modifier le bloc '%s'"
"Edit Image","Modifier l'image"
"Edit Page","Modifier la page"
"Edit Page '%s'","Modifier la page '%s'"
"Embed a YouTube video using the privacy-friendly youtube-nocookie host. Rendered when the page is displayed, so the embed is not affected by content sanitization.","Intégrez une vidéo YouTube en utilisant l'hôte youtube-nocookie convivial. Rendu lorsque la page est affichée, donc l'insertion n'est pas affectée par l'assainissement du contenu."
"Enabled","Activé"
"Enabled by Default","Activé par défaut"
"Enable WYSIWYG Editor","Activer l'éditeur WYSIWYG"
"Expand All","Développer tout"
"Format","Formater"
"General Information","Informations générales"
"Go to Home Page","Aller à la page d'accueil"
"Home","Domicile"
"HTML Validator","HTML Validator"
"ID","ID"
"Identifier","Identifier"
"If empty, the Page Title will be used","Si vide, le titre de la page sera utilisé"
"Ignore List","Liste Ignorer"
"Insert File","Insérer un fichier"
"Insert File...","Insert File..."
"Insert Image...","Insert Image..."
"Insert Media...","Insérer des médias..."
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Nom de dossier invalide. Veuillez utiliser des caractères alphanumériques, des tirets bas et des tirets."
"Keywords","Mots clés"
"Last Modified","Dernière modification"
"Layout","Mise en page"
"Layout Update XML","XML de mise à jour de mise en page"
"Leave empty to start from the beginning.","Laisser vide pour commencer depuis le début."
"Link to a CMS Page","Lien vers une page CMS"
"Manage Pages","Gérer les pages"
"Media Gallery","Galerie de médias"
"Media Library","Médiathèque"
"Media Storage","Stockage des médias"
"Meta Data","Méta données"
"Meta Description","Description de la méta"
"Meta Keywords","Meta Keywords"
"Meta Robots","Méta Robots"
"New Block","Nouveau bloc"
"New Folder Name:","Nouveau nom de dossier :"
"New Page","Nouvelle page"
"No files found","Aucun fichier trouvé"
"One substring per line. Validator messages containing any of these substrings will be hidden. Matching is case-sensitive. Lines starting with # are treated as comments.","Une sous-chaîne par ligne. Les messages de validation contenant l'une de ces sous-chaînes seront masqués. La correspondance est sensible à la casse. Les lignes commençant par # sont traitées comme des commentaires."
"Page Information","Informations sur la page"
"Page Layout","Mise en page de la page"
"Pages","Pages"
"Page Status","Statut de la page"
"Page Title","Titre de la page"
"Paste the video URL (watch, share, embed or Shorts) or just the video ID.","Collez l'URL de la vidéo (regarder, partager, intégrer ou Short) ou simplement l'identifiant de la vidéo."
"Please add at least one image to the slideshow","Veuillez ajouter au moins une image au diaporama"
"Product Tax Class Information","Information sur la classe de taxe de produit"
"px.","px."
"Relative to Website Base URL","Relatif à l'URL de base du site web"
"Reserves the correct height before the video loads, so the page does not jump.","Réserve la bonne hauteur avant le chargement de la vidéo, de sorte que la page ne saute pas."
"Robots","Robots"
"Save Block","Enregistrer le bloc"
"Save Page","Enregistrer la page"
"Save Process","Enregistrer le processus"
"Saving removes this HTML: %s. A content field allows only standard HTML elements.","L'enregistrement supprime ce HTML: %s. Un champ de contenu n'autorise que les éléments HTML standard."
"Select Block...","Sélectionner un bloc..."
"Select Page...","Sélectionner une page..."
"Short (9:16)","Court (9:16)"
"Show Breadcrumbs for CMS Pages","Afficher le fil d'Ariane pour les pages CMS"
"Standard video (16:9)","Vidéo standard (16:9)"
"Start At (seconds)","Commencer à (secondes)"
"Static Blocks","Blocs statiques"
"Status","Statut"
"Storage Root","Racine du stockage"
"Store View","Vue magasin"
"Template","Gabarit"
"The block has been deleted.","Le bloc a été supprimé."
"The block has been saved.","Le bloc a été enregistré."
"The directory %s is not writable by server.","Le répertoire %s n'est pas accessible en écriture par le serveur."
"The page has been deleted.","La page a été supprimée."
"The page has been saved.","La page a été enregistrée."
"The page URL key cannot consist only of numbers.","La clé URL de la page ne peut pas être composée uniquement de chiffres."
"The page URL key contains capital letters or disallowed symbols.","La clé URL de la page contient des lettres majuscules ou des symboles interdits."
"The rich text editor cannot keep this HTML: %s. Continue and remove it?","L'éditeur de texte riche ne peut pas conserver ce HTML: %s. Continuer et supprimer ?"
"The rich text editor cannot keep this HTML: %s. Maho keeps the plain HTML editor open so that nothing is lost.","L'éditeur de texte riche ne peut pas garder ce HTML: %s. Maho garde l'éditeur HTML ouvert afin que rien ne soit perdu."
"The static block content cannot contain  directive with its self.","Le contenu du bloc statique ne peut pas contenir de directive avec lui-même."
