"* Required Fields","* Champs obligatoires"
"0 disables the limit.","0 désactive la limite."
"<strong style=""color:red"">Warning!</strong> Enabling this feature may cause unwanted messages to be sent to people whose email addresses are being used abusively. Please make sure that you have implemented security measures before enabling (e.g. CAPTCHA, HoneySpam).","<strong style=""color:red"">Attention!</strong> L'activation de cette fonctionnalité peut causer l'envoi de messages indésirables à des personnes dont les adresses e-mail sont utilisées abusivement. Veuillez vous assurer que vous avez mis en œuvre des mesures de sécurité avant d'activer (par exemple, CAPTCHA, HoneySpam)."
"Abuse Protection","Protection contre les abus"
"Adds a hidden field that bots fill in, zero dependency, works everywhere.","Ajoute un champ caché que les bots remplissent, aucune dépendance, fonctionne partout."
"Adds an invisible trap field. Submissions that fill it are silently dropped as bot traffic.","Ajoute un champ de piège invisible. Les soumissions qui le remplissent sont abandonnées silencieusement en tant que trafic de bot."
"Allow headless frontends to submit contact forms via the API.","Permettre aux frontends de soumettre des formulaires de contact via l'API."
"API Submissions","Soumissions API"
"Auto-Reply Emails per Recipient per Hour","Emails de réponse automatique par destinataire par heure"
"Auto Reply","Réponse automatique"
"Caps how many auto-reply emails a single address can receive per hour. The merchant notification is still sent. Defeats email-bombing of third parties. 0 disables the limit.","Majuscule le nombre d'e-mails de réponse automatique qu'une seule adresse peut recevoir par heure. La notification marchande est toujours envoyée. Défait le bombardement par e-mail de tiers. 0 désactive la limite."
"Comment","Commenter"
"Contact Form","Formulaire de contact"
"Contact form (web + API)","Formulaire de contact (web + API)"
"Contact Form Auto Reply","Formulaire de contact Réponse automatique"
"Contact Information","Coordonnées"
"Contacts","Contacts"
"Contact Us","Contactez-nous"
"Contact Us Form","Formulaire de contact"
"Email","Courriel"
"Email Options","Options de courrier électronique"
"Email Sender","Expéditeur d'email"
"Email Template","Modèle d'email"
"Enable Auto Reply","Activer la réponse automatique"
"Enable Contact API","Activer l'API Contact"
"Enable Contact Us","Activer le contact"
"Enable Honeypot Field","Activer le champ Honeypot"
"Honeypot Field","Champ de miel"
"Invalid Form Key. Please submit your request again.","Clé de formulaire invalide. Veuillez soumettre votre demande à nouveau."
"Invisible background measures (honeypot, rate limits) that blunt spam and email-bombing without inconveniencing real customers. Do not set the limits so low that legitimate visitors are blocked.","Des mesures de fond invisibles (miel, limite de taux) qui émoussent le spam et les bombardements de courriels sans gêner les vrais clients. Ne fixez pas les limites si bas que les visiteurs légitimes sont bloqués."
"Name","Nom"
"Per email address. Default 3 per hour. 0 to disable.","Par adresse e-mail. Par défaut, 3 par heure. 0 pour désactiver."
"Send Emails To","Envoyer des E-mails à"
"Settings for contact-form submissions made via the REST/GraphQL API (used by headless storefronts).","Paramètres pour les envois de formulaires de contact effectués via l'API REST/GraphQL (utilisée par les vitrines sans tête)."
"Submissions per IP per Hour","Soumissions par IP par heure"
"Submit","Soumettre"
"Telephone","Téléphone"
"Too many requests. Please wait a moment and try again.","Trop de requêtes. Veuillez patienter un instant et réessayer."
"Unable to submit your request. Please try again later","Impossible d'envoyer votre demande. Veuillez réessayer plus tard"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Votre demande a été soumise et vous recevrez une réponse dans les plus brefs délais. Merci de nous contacter."
