"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Link</a>"
"Actions XML is not valid.","Le XML des actions n'est pas valide."
"An error occurred while opening file: ""%s"".","Une erreur s'est produite lors de l'ouverture du fichier : ""%s""."
"Backend name ""Static"" not supported.","Le nom du backend ""Static"" n'est pas pris en charge."
"Backend name Static"" not supported.""","Le nom du backend Static"" n'est pas pris en charge."
"Could not load file: ""%s"".","Impossible de charger le fichier : ""%s""."
"Could not save file: %s.","Impossible d'enregistrer le fichier : %s."
"Declared adapter %s was not found.","L'adaptateur %s déclaré n'a pas été trouvé."
"Destination folder ""%s"" is not a directory.","Le dossier de destination ""%s"" n'est pas un répertoire."
"Destination folder ""%s"" is not writable.","Le dossier de destination ""%s"" n'est pas accessible en écriture."
"Done","Fait"
"Dry run set, stopping execution.","Séchage défini, arrêt de l'exécution."
"ETA: %s","ETA: %s"
"Error in field mapping: field list for mapping is not defined.","Erreur dans le mappage du champ: la liste des champs pour le mappage n'est pas définie."
"File ""%s"" does not exist.","Le fichier ""%s"" n'existe pas."
"Found %d rows.","Found %d rows."
"Invalid node.","Nœud invalide."
"Less than a minute","Moins d'une minute"
"Loaded successfully: ""%s"".","Chargé avec succès : «%s»."
"Memory Used: %s","Mémoire utilisée : %s"
"Method ""%s"" not defined in adapter %s.","La méthode ""%s"" n'est pas définie dans l'adaptateur %s."
"Method ""%s"" was not defined in adapter %s.","La méthode ""%s"" n'a pas été définie dans l'adaptateur %s."
"Please declare ""adapter"" and ""method"" nodes first.","Veuillez d'abord déclarer les nœuds ""adaptateur"" et ""méthode""."
"Processed records: %s","Enregistrements traités : %s"
"Profile with the same name already exists.","Un profil avec le même nom existe déjà."
"Saved successfully: ""%s"" [%d byte(s)].","Enregistré avec succès : ""%s"" [%d octet(s)]."
"Sheet 1","Feuille 1"
"Skip undefined row.","Sauter la ligne indéfinie."
"Starting %s :: %s","Démarrage %s :: %s"
"The destination folder ""%s"" does not exist or there is no access to create it.","Le dossier de destination ""%s"" n'existe pas ou il n'y a pas d'accès pour le créer."
"Total records: %s","Nombre total d'enregistrements : %s"
"Upload failed. Can not find required columns: %s in file %s.","Échec du téléchargement. Impossible de trouver les colonnes requises : %s dans le fichier %s."
"Upload failed. Wrong data format in file: %s.","Échec du téléchargement. Format de données incorrect dans le fichier : %s."
"hour","heure"
"hours","heures"
"minute","minute"
"minutes","minutes"
