"* Select shipping method","* Sélectionnez le mode de livraison"
"2Day","2 jours"
"2nd Day Air","2ème jour de l'air"
"2nd Day Air AM","2ème jour Air AM"
"3 Day Select","Sélection de 3 jours"
"<br />Warning: <strong>%s</strong><br />","<br />Attention : <strong>%s</strong><br />"
"<strong style=""color:red"">Warning!</strong> This option disables the merchant calculated shipping. With this option, Google API ignores any attempt to affect shipping prices.","<strong style=""color:red"">Attention !</strong> Cette option désactive la livraison calculée par le marchand. Avec cette option, Google API ignore toute tentative d'affecter les prix de livraison."
"A virtual item to reflect the discount total","Un article virtuel pour refléter le total de la remise"
"A virtual item to reflect the tax total","Un article virtuel pour refléter le total de la taxe"
"AVS Status: %s","Statut AVS : %s"
"Add Shipping Method","Ajouter un mode de livraison"
"Allowed Methods","Méthodes autorisées"
"Amount: %s","Montant : %s"
"Auto-generated from GoogleCheckout Charge","Généré automatiquement à partir de la charge GoogleCheckout"
"Buyer Account Age: %s days","Âge du compte acheteur : %s jours"
"CC Partial: xxxx-%s","CC Partielle : xxxx-%s"
"CID Status: %s","CID Status: %s"
"Carrier Calculated Methods","Méthodes calculées par le transporteur"
"Cart Discount","Remise sur le panier"
"Checkout Image Style","Style de l'image de commande"
"Commercial","Commerciale"
"Continue Shopping URL","URL de la poursuite du shopping"
"Credit memo has been created automatically","L'avoir a été créé automatiquement"
"Debug","Debug"
"Default Package Height (in)","Hauteur par défaut du paquet (in)"
"Default Package Length (in)","Longueur par défaut du paquet (in)"
"Default Package Width (in)","Largeur par défaut du paquet (in)"
"Default Price for Methods","Prix par défaut pour les méthodes"
"Default price:","Prix par défaut :"
"Delivery Address Category","Catégorie d'adresse de livraison"
"Delivery Schedule","Calendrier de livraison"
"Description-based delivery","Livraison basée sur la description"
"Disable Default Tax Tables","Désactiver les tables de taxes par défaut"
"Discount Tax","Taxe sur la remise"
"Eligible for Protection: %s","Éligible à la protection : %s"
"Email delivery","Envoi par e-mail"
"Enable","Activer"
"Enable Carrier Calculated","Activer le calcul de l'opérateur"
"Enable Digital Delivery","Activer la livraison numérique"
"Enable Flat Rate","Activer le tarif forfaitaire"
"Enable Merchant Calculated","Activer le calcul du marchand"
"Enable this if your checkout request is too big and being cut off.","Activez cette option si votre demande de paiement est trop grande et est interrompue."
"Expiration: %s","Expiration : %s"
"Express Mail","Courrier Express"
"Express Saver","Économiseur Express"
"FedEx","FedEx"
"Financial: %s -> %s","Financier: %s -> %s"
"First Overnight","Première nuit"
"Free Shipping","Livraison gratuite"
"Fulfillment: %s -> %s","Accomplissement : %s -> %s"
"Google API","Google API"
"Google Authorization:","Autorisation Google :"
"Google Buyer ID: %s","Identifiant Google Acheteur : %s"
"Google Charge:","Frais Google :"
"Google Chargeback:","Google Chargeback:"
"Google Checkout","Checkout Google"
"Google Checkout Shipping - Carrier Calculated","Livraison Google Checkout - Calculée par le transporteur"
"Google Checkout Shipping - Digital Delivery","Livraison Google Checkout - Livraison numérique"
"Google Checkout Shipping - Flat Rate","Livraison Google Checkout - Tarif fixe"
"Google Checkout Shipping - Merchant Calculated","Livraison Google Checkout - Calculée par le marchand"
"Google Checkout: %s","Google Checkout: %s"
"Google Order Number: %s","Numéro de commande Google : %s"
"Google Order Status Change:","Changement de statut de commande Google :"
"Google Refund:","Remboursement Google :"
"Google Risk Information:","Informations sur les risques Google :"
"GoogleCheckout is not configured","GoogleCheckout n'est pas configuré"
"Ground","Sol"
"Hide Cart Contents","Cacher le contenu du panier"
"Home Delivery","Livraison à domicile"
"IP Address: %s","Adresse IP : %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","Si activé, le contenu du panier sera masqué après avoir cliqué sur le bouton Google Checkout dans le panier, et restauré si le lien ""Modifier le panier"" a été activé."
"Inches","Pouces"
"Invoice Auto-Created: %s","Facture créée automatiquement : %s"
"Is Buyer Willing to Receive Marketing Emails: %s","Est-ce que l'acheteur veut recevoir des e-mails de marketing : %s"
"Key/URL delivery","Livraison de la clé/URL"
"Large - %s","Grand - %s"
"Latest Charge: %s","Dernière charge : %s"
"Latest Chargeback: %s","Dernier rechargement : %s"
"Latest Refund: %s","Dernier remboursement : %s"
"Location","Localisation"
"Media Mail","Courriel média"
"Medium - %s","Moyen - %s"
"Merchant ID","ID marchand"
"Merchant Key","Clé du marchand"
"Method","Méthode"
"New Order Status","Statut de la nouvelle commande"
"Next Day Air","Air du jour suivant"
"Next Day Air Early AM","Jour suivant Air tôt le matin"
"Next Day Air Saver","Économiseur d'air du jour prochain"
"No","Non"
"No Comment","Aucun commentaire"
"No Reason","Pas de raison"
"Optimistic","Optimiste"
"Optional, leave empty for home page.","Optionnel, laisser vide pour la page d'accueil."
"Order creation error","Erreur de création de commande"
"Parcel Post","Envoi de colis"
"Pessimistic","Pessimistic"
"Priority Mail","Courrier prioritaire"
"Priority Overnight","Priorité du jour au lendemain"
"Rate 1 Amount","Montant du taux 1"
"Rate 1 Ship To Applicable Countries","Pays de livraison applicables pour le taux 1"
"Rate 1 Ship to Specific Countries","Expédier à des pays spécifiques du taux 1"
"Rate 1 Title","Titre du taux 1"
"Rate 2 Amount","Montant du taux 2"
"Rate 2 Ship To Applicable Countries","Pays de livraison applicables pour le taux 2"
"Rate 2 Ship to Specific Countries","Tarif 2 Livré à des pays spécifiques"
"Rate 2 Title","Titre du taux 2"
"Rate 3 Amount","Montant du taux 3"
"Rate 3 Ship To Applicable Countries","Pays de livraison applicables pour le taux 3"
