"(Optional. Leave blank for no prefix)","(Facultatif. Laisser vide pour aucun préfixe)"
"About, contact & more","About, contact & plus"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Chemin supplémentaire ajouté après l'URL de base pour accéder à votre panneau d'administration (par exemple, admin, backend, contrôle, etc.)."
"Adds states and provinces to address forms","Ajoute des états et des provinces aux formulaires d'adresse"
"Admin","Administrateur"
"Admin Path","Chemin de l'administrateur"
"Base URL","URL de base"
"Cache","Cache"
"Categories","Catégories"
"Clothing, accessories & more","Vêtements, accessoires & plus"
"CMS Pages","Pages CMS"
"Complete","Complete"
"Configuration","Configuration"
"Confirm Password","Confirmer le mot de passe"
"Continue","Continuer"
"Copying media files...","Copie des fichiers multimédia..."
"Create Admin Account","Créer un compte administrateur"
"Creating Your Admin Account","Création de votre compte administrateur"
"Database","Base de données"
"Database Connection","Connexion à la base de données"
"Database connection error.","Erreur de connexion à la base de données."
"Database File Path","Chemin du fichier de la base de données"
"Database host","Hôte de la base de données"
"Database Name","Nom de la base de données"
"Database Name cannot be empty.","Le nom de la base de données ne peut pas être vide."
"Database server does not support the InnoDB storage engine.","Le serveur de base de données ne supporte pas le moteur de stockage InnoDB."
"Database Type","Type de base de données"
"Database user name","Nom d'utilisateur de la base de données"
"Database user password","Mot de passe utilisateur de la base de données"
"Default Currency","Devise par défaut"
"Download","Télécharger"
"Downloading sample data...","Téléchargement des données d'échantillon..."
"Email","Courriel"
"Email Address","Adresse e-mail"
"Enable Charts","Activer les graphiques"
"Ensure the URL ends with a trailing slash (/). For example: %s","Assurez-vous que l'URL se termine par un slash final (/). Par exemple : %s"
"Extract","Extraire"
"Extracting files...","Extraction des fichiers..."
"Failed to copy media files: %s","Impossible de copier les fichiers multimédias : %s"
"Failed to download sample data from %s","Impossible de télécharger les données d'exemple à partir de %s"
"Failed to extract sample data: %s","Impossible d'extraire les données d'échantillonnage : %s"
"Failed to save sample data to temporary file","Impossible d'enregistrer les données d'exemple dans le fichier temporaire"
"Failed to start installation. Please try again.","Impossible de démarrer l'installation. Veuillez réessayer."
"File System","Système de fichiers"
"First Name","Prénom"
"Flushing caches...","Vider les caches..."
"Get ready to experience Open-Source eCommerce Evolved.","Préparez-vous à faire l'expérience de l'eCommerce Open-Source Evolved."
"Go to Backend","Aller à l'administration"
"Go to Frontend","Accéder au site web"
"Host","Hôte"
"I agree to the above terms and conditions.","J'accepte les conditions d'utilisation ci-dessus."
"Importing configuration...","Importation de la configuration..."
"Importing database...","Importation de la base de données..."
"Importing database... (%s/%s)","Import de la base de données... (%s/%s)"
"Import regions/states for %s","Importer des régions/états pour %s"
"Install %s language pack","Installer le pack de langue %s"
"Installation Failed","L'installation a échoué"
"Installation failed","L'installation a échoué"
"Installation Progress","Progression de l'installation"
"Installation takes 2-5 minutes. You can skip this and add products manually later.","L'installation prend 2-5 minutes. Vous pouvez passer cela et ajouter des produits manuellement plus tard."
"Installer does not exist for %s database engine","L'installateur n'existe pas pour le moteur de base de données %s"
