"Action","Action"
"Add New Template","Ajouter un nouveau gabarit"
"Add to Queue","Ajouter à la file"
"Allow Guest Subscription","Autoriser l'inscription des invités"
"An error occurred while saving your subscription.","An error occurred while saving your subscription."
"Back","Précédent"
"Be the first to know about new arrivals, special offers, and insider news.","Be the first to know about new arrivals, special offers, and insider news."
"Cancel","Annuler"
"Cancelled","Annulé"
"Cannot delete this template. It is currently used by %d email automation sequence(s). Please reassign or delete those sequences first.","Cannot delete this template. It is currently used by %d email automation sequence(s). Please reassign or delete those sequences first."
"Cannot mark as received subscriber.","Cannot mark as received subscriber."
"Confirmation Email Sender","Expéditeur du mail de confirmation"
"Confirmation Email Template","Gabarit du mail de confirmation"
"Confirmation request has been sent.","Confirmation request has been sent."
"Convert to Plain Text","Convertir en texte simple"
"Coupon Code","Code du bon de réduction"
"Coupon Expiration Date (Formatted)","Coupon Expiration Date (Formatted)"
"Coupon Expiration Date (Raw)","Coupon Expiration Date (Raw)"
"Coupon Rule Description","Coupon Rule Description"
"Create Newsletter Template","Créer un nouveau gabarit de newsletter"
"Customer","Client"
"Customer Email","Email du client"
"Customer First Name","Prénom du client"
"Customer Last Name","Nom de famille du client"
"Customer Middle Name","Customer Middle Name"
"Customer My Account Newsletter Subscriptions","Customer My Account Newsletter Subscriptions"
"Customer Name","Nom du client"
"Customer Name (Object)","Customer Name (Object)"
"Customer Segments","Segments de clients"
"Customer Variables","Customer Variables"
"Date Added","Date d'ajout"
"Date Updated","Date Updated"
"Default Template","Gabarit par défaut"
"Delete","Supprimer"
"Delete Selected Problems","Supprimer les problèmes sélectionnés"
"Delete Template","Supprimer le gabarit"
"Do you really want to cancel the queue?","Voulez-vous vraiment supprimer la file ?"
"Duplicate template code.","Duplicate template code."
"Edit Newsletter","Éditer la newsletter"
"Edit Newsletter Template","Éditer le gabarit de newsletter"
"Edit Queue","Éditer la file d'attente"
"Edit Template","Éditer le gabarit"
"Email","Email"
"Email Automation Variables","Email Automation Variables"
"Error Code","Code d'erreur"
"Error Text","Texte d'erreur"
"Follow this link to unsubscribe:","Follow this link to unsubscribe:"
"Guest","Invité"
"ID","Identifiant"
"Insert Variable...","Insérer une variable..."
"Invalid queue selected.","Invalid queue selected."
"Invalid sender email address","Invalid sender email address"
"Invalid subscription confirmation code.","Invalid subscription confirmation code."
"Invalid subscription ID.","Invalid subscription ID."
"Message","Message"
"Need to Confirm","Confirmation nécessaire"
"New Newsletter Template","Nouveau gabarit de newsletter"
"Newsletter","Newsletter"
"Newsletter Message Preview","Prévisualisation du message de la newsletter"
"Newsletter Problem Reports","Rapports des problèmes de newsletter"
"Newsletter Queue","File d'attente newsletter"
