"* Required Fields","* Champs obligatoires"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> nécessite l'accès à votre compte"
"Admin","Administration"
"After authorization application will have access to you account.","Après l'autorisation, l'application aura accès à votre compte."
"An error occurred.","Une erreur est survenue."
"An error occurred. Your authorization request is invalid.","Une erreur est survenue. Votre demande d'autorisation est invalide."
"An error occurred on confirm authorize.","Erreur lors de la confirmation d'autorisation."
"An error occurred on delete action.","Erreur lors de la suppression de l'action."
"An error occurred on delete application.","Erreur lors de la suppression de l'application."
"An error occurred on reject authorize.","Erreur lors du refus d'autorisation."
"An error occurred on saving consumer data.","Erreur lors de la sauvegarde des données du consommateur."
"An error occurred on update revoke status.","Erreur lors de la mise à jour du statut de révocation."
"An error occurred while deleting the consumer.","Erreur lors de la suppression du consommateur."
"Application ""%s"" has been deleted.","L'application ""%s"" a été supprimée."
"Application ""%s"" has been enabled.","L'application ""%s"" a été activée."
"Application ""%s"" has been revoked.","L'application ""%s"" a été révoquée."
"Application Name","Nom de l'application"
"Application not found.","Application non trouvée."
"App Name","Nom de l'appli"
"Are you sure you want to delete this application?","Êtes-vous sûr(e) de vouloir supprimer cette application ?"
"Are you sure you want to disable this application?","Êtes-vous sûr(e) de vouloir désactiver cette application ?"
"Are you sure you want to enable this application?","Êtes-vous sûr(e) de vouloir activer cette application ?"
"Authorization confirmed","Autorisation confirmée"
"Authorization confirmed.","Autorisation confirmée."
"Authorize","Autoriser"
"Authorize application","Autoriser l'application"
"Authorized Tokens","Jetons autorisés"
"Callback URL","URL de rappel"
"Cleanup Probability","Probabilité de nettoyage"
"Cleanup Settings","Paramètres de nettoyage"
"Close","Fermer"
"Confirmation Of Authorization","Confirmation de l'autorisation"
"Confirm OAuth token authorization","Confirmer l'autorisation du jeton OAuth"
"Confirm token authorization for admin","Confirmation d'autorisation de jeton pour l'admin"
"Confirm token authorization Pop Up for admin","Pop up de confirmation d'autorisation de jeton pour l'admin"
"Consumer Information","Informations sur le consommateur"
"Consumer Name","Nom du consommateur"
"Consumers","Consommateurs"
"Created At","Créé à"
"Current Admin Password","Mot de passe administrateur actuel"
"Customer","Client"
"Customer My Account My OAuth Applications","Mon compte client - Mes application OAuth"
"Delete","Supprimer"
"deleted","supprimé"
"Disable","Désactiver"
"Disabled","Désactivé"
"Edit","Editer"
"Edit Consumer","Éditer le consommateur"
"Email","Courriel"
"Email Address","Adresse mail"
"Enable","Activer"
"Enabled","Activé"
"enabled","activé"
"Entry with ID #%s not found.","Entrée non trouvée pour l'identifiant #%s"
"Expiration Period","Période d'expiration"
"Give the verifier code to application administrator","Donner le code de vérification à l'administrateur de l'application"
"ID","Identifiant"
"Invalid entry ID.","Identifiant d'entrée invalide."
"Invalid ID parameter.","Paramètre identifiant invalide"
"Invalid revoke status.","Statut de revocation invalide."
"Key","Clé"
"Log In","Connexion"
"Login","Se connecter"
"Log in as a customer","Se connecter en tant que client"
"Log in as admin","Se connecter en tant qu'admin"
"Log in as customer","Se connecter en tant que client"
"Log in to use <strong>%s</strong>","Connectez-vous pour utiliser <strong>%s</strong>"
"My Applications","Mes applications"
"Name","Nom"
"New Consumer","Nouveau consommateur"
"OAuth","OAuth"
"OAuth Admin My Apps","Admin OAuth - Mes applis"
"OAuth authorization for admin","Autorisation OAuth pour l'admin"
"OAuth authorization for customer","Autorisation OAuth pour le client"
"OAuth authorization Pop Up for customer","Pop up d'autorisation OAuth pour le client"
"OAuth authorization simple for admin","Autorisation OAuth simple pour l'admin"
"OAuth Authorized Tokens","Jetons OAuth autorisés"
"OAuth Consumers","Consommateurs d'OAuth"
"Password","Mot de passe"
"Permissions","Autorisations"
"Please login to proceed authorization.","Veuillez vous connecter pour procéder à l'autorisation."
"Please select needed row(s).","Veuillez sélectionner les lignes nécessaires."
"Please select revoke status.","Sélectionnez le statut de révocation."
"Reject","Rejeter"
"Reject authorization","Rejeter l'autorisation"
"Rejected Callback URL","URL de rappel rejetée"
"Rejection Of Authorization","Refus d'autorisation"
"Reject OAuth token authorization","Rejeter l'autorisation de jeton OAuth"
"Reject token authorization for admin","Refus d'autorisation de jeton pour l'admin"
"Reject token authorization Pop Up for admin","Pop up de refus d'autorisation de jeton pour l'admin"
"REST - My Apps","REST - Mes applis"
"REST - OAuth Authorized Tokens","REST - Jetons OAuth autorisés"
"REST - OAuth Consumers","REST - Consommateurs OAuth"
"Revoked","Révoqué"
"revoked","révoqué"
"Role Name","Nom du rôle"
"Save","Enregistrer"
"Save and Continue Edit","Sauvegarder et continuer à éditer"
"Secret","Secret"
"Selected entries enabled.","Les entrées sélectionnées ont été activées."
"Selected entries has been deleted.","Les entrées sélectionnées ont été supprimées."
"Selected entries revoked.","Les entrées sélectionnées ont été révoquées."
"Status","Statut"
"System","Système"
"The application access request is rejected.","La requête d'accès de l'application est rejetée."
"The consumer has been deleted.","Le consommateur a bien été effacé."
"The consumer has been saved.","Le consommateur a été sauvegardé."
"Token Status Change","Changement de statut de jeton"
"Token Status Change Email Template","Gabarit de mail de changement de statut de jeton"
"Unable to find a consumer.","Impossible de trouver un consommateur."
"User ID","ID utilisateur"
"User Name","Nom d'utilisateur"
"User Type","Type d'utilisateur"
"Verifier code: %s","Code de vérification : %s"
"You have no applications.","Vous n'avez pas d'applications."
