"%s-%s of %s","%s-%s of %s"
"%s - Go to Home Page","%s - Go to Home Page"
"%s Item(s)","%s Item(s)"
"-- Please Select --","-- Faites un choix --"
"-- Use Default --","-- Use Default --"
"1 column","1 colonne"
"2 columns with left bar","2 colonnes avec colonne de gauche"
"2 columns with right bar","2 colonnes avec colonne de droite"
"3 columns","3 colonnes"
"Account","Compte"
"All Empty Layout Pages","All Empty Layout Pages"
"All Minimal Layout Pages","All Minimal Layout Pages"
"All One-Column Layout Pages","All One-Column Layout Pages"
"Allow","Autoriser"
"All Pages","Toutes les pages"
"All Pages (Print Version)","All Pages (Print Version)"
"All Rights Reserved.","All Rights Reserved."
"All Three-Column Layout Pages","All Three-Column Layout Pages"
"All Two-Column Layout Pages (Left Column)","All Two-Column Layout Pages (Left Column)"
"All Two-Column Layout Pages (Right Column)","All Two-Column Layout Pages (Right Column)"
"Breadcrumbs","Breadcrumbs"
"Click <a href=""%s"">here</a> if nothing has happened","Click <a href=""%s"">here</a> if nothing has happened"
"Close","Fermer"
"Close Window","Fermer la fenêtre"
"CMS Block","CMS Block"
"Custom Text","Custom Text"
"Default Description","Default Description"
"Demo Store Notice CMS Block","Demo Store Notice CMS Block"
"Demo Store Notice Text","Demo Store Notice Text"
"Deprecated: Use SVG or srcset","Deprecated: Use SVG or srcset"
"Disabled","Désactivé"
"Empty","Vide"
"Interface Language","Interface Language"
"Leave empty to use the default text.","Leave empty to use the default text."
"Left Column","Colonne de gauche"
"Left Column First (shows above main column on smaller screens)","Left Column First (shows above main column on smaller screens)"
"Logo Height (in px)","Logo Height (in px)"
"Logo Width (in px)","Logo Width (in px)"
"Main Content Area","Main Content Area"
"Main Navigation","Main Navigation"
"Menu","Menu"
"Minimal","Minimal"
"Navigation Bar","Navigation Bar"
"Next","Suivant"
"Page:","Page :"
"Page Bottom","Page Bottom"
"Page Footer","Page Footer"
"Page Header","Page Header"
"Page Top","Page Top"
"per page","par page"
"Previous","Précédent"
"Primary sidebar","Primary sidebar"
"Redirecting...","Redirecting..."
"Results per page","Results per page"
"Right Column","Colonne de droite"
"Right sidebar","Right sidebar"
"Search","Chercher"
"Secondary sidebar","Secondary sidebar"
"Select Store","Choisir un magasin"
"Select Store:","Select Store:"
"Show","Afficher"
"Skip to main content","Skip to main content"
"Store Notice","Store Notice"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","This is a demo store. Any orders placed through this store will not be honored or fulfilled."
"View All","Tout voir"
"Welcome!","Welcome!"
"Welcome, %s!","Welcome, %s!"
"Your Language","Votre langue"
"Your Language:","Votre langue :"
