"%s %s cycle.","Cycle %s %s."
"%s (unavailable)","%s (unavailable)"
"* Required Fields","* Champs obligatoires"
"--Please Select--","--Veuillez choisir--"
"3D Secure Card Validation","Validation de la carte 3D Secure"
"<label>Make Check payable to:</label> %s","<label>Faire un chèque à l'ordre de</label> %s"
"Action","Action"
"Add New Restriction","Ajouter une nouvelle restriction"
"Allow Initial Fee Failure","Permettre l'échec des frais initiaux"
"An internal reference ID is required to save the payment profile.","Un identifiant de référence interne est requis pour enregistrer le profil de paiement."
"Apply the restriction only if the following conditions are met (leave blank for all)","Appliquer la restriction uniquement si les conditions suivantes sont remplies (laisser vide pour tous)"
"Are you sure?","Êtes-vous sûr(e) ?"
"Authorize action is not available.","L'action d'autorisation n'est pas disponible."
"Auto Bill on Next Cycle","Facture automatique au prochain cycle"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Facturer automatiquement le solde impayé dans le prochain cycle de facturation (s'il y a eu des paiements échoués)."
"Automatically Invoice All Items","Facturer automatiquement tous les articles"
"Bank Transfer Payment","Paiement par virement bancaire"
"Billing Agreement status is not set.","Le statut de l'accord de facturation n'est pas défini."
"Billing Amount","Montant de la facturation"
"Billing Frequency","Fréquence de facturation"
"Billing Period","Période de facturation"
"Billing Period Unit","Unité de période de facturation"
"Billing period unit is not defined or wrong.","L'unité de période de facturation n'est pas définie ou erronée."
"Cannot retrieve the payment info model object.","Impossible de récupérer l'objet modèle d'information de paiement."
"Cannot retrieve the payment information object instance.","Impossible de récupérer l'instance de l'objet d'informations de paiement."
"Cannot retrieve the payment method code.","Impossible de récupérer le code de la méthode de paiement."
"Cannot retrieve the payment method model object.","Impossible de récupérer l'objet modèle de méthode de paiement."
"Capture action is not available.","L'action de capture n'est pas disponible."
"Card Verification Number","Numéro de vérification de la carte"
"Cart Attribute","Attribut du panier"
"Cash On Delivery Payment","Paiement en espèces à la livraison"
"Change status","Changer le statut"
"Check / Money Order","Chèque / mandat"
"Conditions","Condition"
"Conditions Combination","Combinaison des conditions"
"Countries","Pays"
"Created At","Créé le"
"Credit Card Number","Numéro de carte de crédit"
"Credit card number mismatch with credit card type.","Le numéro de carte de crédit ne correspond pas au type de carte de crédit."
"Credit Card Type","Type de carte de crédit"
"Credit card type is not allowed for this payment method.","Le type de carte de crédit n'est pas autorisé pour ce mode de paiement."
"Credit Card Types","Types de cartes de crédit"
"Currency","Devise"
"Currency code is undefined.","Le code de la devise n'est pas défini."
"Customer Groups","Groupes de clients"
"Customer ID is not set.","L'ID du client n'est pas défini."
"Day","Jour"
"Debug Mode","Mode de débogage"
"Delete Restriction","Supprimer la restriction"
"Description","Libellé"
"Edit","Editer"
"Edit Restriction","Modifier la restriction"
"Edit Restriction '%s'","Modifier la restriction '%s'"
"Enabled","Activé"
"equals or greater than","est supérieur ou égal à"
"equals or less than","est inférieur ou égal à"
"Expiration Date","Date d'expiration"
"FOUND","TROUVÉ"
"Full name of the person receiving the product or service paid for by the recurring payment.","Nom complet de la personne qui reçoit le produit ou le service payé par le paiement récurrent."
"General Information","Informations générales"
"greater than","supérieur à"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","Si %s %s %s pour une sous-sélection d'articles dans le panier correspondant à %s de ces conditions :"
"If an item is %s in the cart with %s of these conditions true:","Si un article est %s dans le panier avec %s de ces conditions sont vraies:"
"Incorrect credit card expiration date.","Date d'expiration de la carte de crédit incorrecte."
"Initial Fee","Frais initiaux"
"Initial non-recurring payment amount due immediately upon profile creation.","Montant initial du paiement non récurrent dû immédiatement à la création du profil."
"Instructions","Instructions"
"Internal Reference ID","ID de référence interne"
