"
                                                        <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                            from Paypal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                            Use PayPal’s free banner ads that let you advertise Paypal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.
                                                    ","                                                         <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Pourquoi Annoncer le Financement ?</a><br/>
                                            <strong>Faites décoller vos ventes en annonçant le financement.</strong><br/>PayPal aide à transformer les navigateurs en acheteurs avec le financement
                                            de Paypal Credit&#174;. Vos clients ont plus de temps pour payer, tandis que vous êtes payé d'avance – sans coût supplémentaire pour vous.
                                            Utilisez les bannières publicitaires gratuites de PayPal qui vous permettent d'annoncer le financement Paypal Credit&#174; comme option de paiement lorsque vos clients règlent avec PayPal.
                                            Le Programme de publicité PayPal a été démontré pour générer des achats supplémentaires ainsi qu'augmenter les tailles de commande moyennes des consommateurs de 15%
                                            ou plus. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Voir les détails</a>.                                                     "
"
                                                    <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                                    <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                                    from Paypal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                                    Use PayPal’s free banner ads that let you advertise Paypal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                                    The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                                    or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.
                                                ","                                                     <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Pourquoi Annoncer le Financement ?</a><br/>
                                                    <strong>Faites décoller vos ventes en annonçant le financement.</strong><br/>PayPal aide à transformer les navigateurs en acheteurs avec le financement
                                                    de Paypal Credit&#174;. Vos clients ont plus de temps pour payer, tandis que vous êtes payé d'avance – sans coût supplémentaire pour vous.
                                                    Utilisez les bannières publicitaires gratuites de PayPal qui vous permettent d'annoncer le financement Paypal Credit&#174; comme option de paiement lorsque vos clients règlent avec PayPal.
                                                    Le Programme de publicité PayPal a été démontré pour générer des achats supplémentaires ainsi qu'augmenter les tailles de commande moyennes des consommateurs de 15%
                                                    ou plus. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Voir les détails</a>.                                                 "
"
                                                    <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                            from Paypal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                            Use PayPal’s free banner ads that let you advertise Paypal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.
                                                ","                                                     <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Pourquoi Annoncer le Financement ?</a><br/>
                                            <strong>Faites décoller vos ventes en annonçant le financement.</strong><br/>PayPal aide à transformer les navigateurs en acheteurs avec le financement
                                            de Paypal Credit&#174;. Vos clients ont plus de temps pour payer, tandis que vous êtes payé d'avance – sans coût supplémentaire pour vous.
                                            Utilisez les bannières publicitaires gratuites de PayPal qui vous permettent d'annoncer le financement Paypal Credit&#174; comme option de paiement lorsque vos clients règlent avec PayPal.
                                            Le Programme de publicité PayPal a été démontré pour générer des achats supplémentaires ainsi qu'augmenter les tailles de commande moyennes des consommateurs de 15%
                                            ou plus. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Voir les détails</a>.                                                 "
"
                                            <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                            from Paypal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                            Use PayPal’s free banner ads that let you advertise Paypal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.
                                        ","                                             <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Pourquoi Annoncer le Financement ?</a><br/>
                                            <strong>Faites décoller vos ventes en annonçant le financement.</strong><br/>PayPal aide à transformer les internautes en acheteurs avec le financement
                                            de Paypal Credit&#174;. Vos clients ont plus de temps pour payer, tandis que vous êtes payé d'avance – sans coût supplémentaire pour vous.
                                            Utilisez les bannières publicitaires gratuites de PayPal qui vous permettent d'annoncer le financement Paypal Credit&#174; comme option de paiement lorsque vos clients règlent avec PayPal.
                                            Le Programme de publicité PayPal a été démontré pour générer des achats supplémentaires ainsi qu'augmenter les tailles de commande moyennes des consommateurs de 15%
                                            ou plus. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Voir les détails</a>.                                         "
"-OR-","-Ou-"
"120 x 240","120 x 240"
"120 x 600","120 x 600"
"120 x 90","120 x 90"
"190 x 100","190 x 100"
"2-pixel perimeter around the header space.","Périmètre de 2 pixels autour de l'espace d'en-tête"
