"""Remember Me"" Default Value","Valeur par défaut ""Se souvenir de moi"""
"(Not %s?)","(Pas %s?)"
"* Required Fields","* Champs obligatoires"
"Address","Adresses"
"Address Information","Information d'adresse"
"Already registered?","Déjà inscrit?"
"Back","Précédent"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","En créant un compte sur notre boutique, vous pourrez passer plus rapidement à travers le processus de paiement, stocker plusieurs adresses de livraison, afficher et suivre vos commandes dans votre compte et plus encore."
"Cannot load configuration from file %s.","Impossible de charger la configuration depuis le fichier %s."
"Checking &quot;Remember Me&quot; will let you access your shopping cart on this computer when you are logged out","Vérifier &quot;Se souvenir de moi&quot; vous permettra d'accéder à votre panier sur cet ordinateur lorsque vous serez déconnecté"
"Checkout as Guest","Commander en tant qu'invité"
"Checkout as a Guest","Commander en tant qu'invité"
"Checkout as a Guest or Register","Commander en tant qu'invité ou s'inscrire"
"City","Ville"
"Clear Persistence on Log Out","Effacer la persistance lors de la déconnexion"
"Close","Fermer"
"Company","Entreprise"
"Confirm Password","Confirmer le mot de passe"
"Continue","Continuer"
"Country","Pays"
"Create an Account","Créer un compte"
"Easy access to your order history and status","Accès facile à l'historique et au statut de vos commandes"
"Email Address","Adresse e-mail"
"Enable ""Remember Me""","Activer ""Se souvenir de moi"""
"Enable Persistence","Activer la persistance"
"Fast and easy check out","Commander rapidement et facilement"
"Faster checkout","Paiement plus rapide"
"Fax","Fax"
"Forgot Your Password?","Mot de passe oublié ?"
"Forgot your password?","Mot de passe oublié ?"
"General Options","Options Générales"
"If you have an account with us, please log in.","Si vous avez un compte chez nous, veuillez vous connecter."
"Loading next step...","Chargement de l'étape suivante..."
"Login","Se connecter"
"Login Information","Informations de connexion"
"Login or Create an Account","Se connecter ou créer un compte"
"New Customers","Nouveaux clients"
"New Here?","Nouveau ici ?"
"Password","Mot de passe"
"Persist Shopping Cart","Panier persistant"
"Persistence Lifetime (seconds)","Durée de vie de la persistance (secondes)"
"Persistent Shopping Cart","Panier persistant"
"Personal Information","Informations personnelles"
"Please enter the following information to create your account.","Veuillez entrer les informations suivantes pour créer votre compte."
"Please log in below:","Veuillez vous connecter ci-dessous:"
"Please select region, state or province","Veuillez sélectionner une région, un état ou une province"
"Register","Inscription"
"Register and Checkout","S'inscrire et commander"
"Register and save time!","Enregistrez-vous et gagnez du temps!"
"Register to Create an Account","S'inscrire pour créer un compte"
"Register with us for future convenience:","Inscrivez-vous avec nous pour plus de commodité:"
"Registered Customers","Clients enregistrés"
"Registration is free and easy!","L'inscription est gratuite et facile !"
"Remember Me","Se souvenir de moi"
"Returning Customers","Clients de retour"
"Save in address book","Enregistrer dans le carnet d'adresses"
"Save multiple shipping addresses","Enregistrer plusieurs adresses de livraison"
"Select State/Province...","Sélectionnez État/Province..."
"Select a billing address from your address book or enter a new address.","Sélectionnez une adresse de facturation dans votre carnet d'adresses ou entrez une nouvelle adresse."
"Ship to different address","Expédier à une adresse différente"
"Ship to this address","Expédier à cette adresse"
"Shopping cart has been updated with appropriate prices","Le panier a été mis à jour avec les prix appropriés"
"Sign Up for Newsletter","S'inscrire à la newsletter"
"Sign in to speed up your checkout process","Connectez-vous pour accélérer votre processus de paiement"
"State/Province","État/Province"
"Street Address","Adresse postale"
"Street Address %s","Adresse %s"
"Submit","Soumettre"
"Telephone","Téléphone"
"To proceed to Checkout, please log in using your email address.","Pour passer à la caisse, veuillez vous connecter en utilisant votre adresse e-mail."
"VAT Number","Numéro de TVA"
"View and track orders and more","Voir et suivre les commandes et plus encore"
"Welcome, %s!","Bienvenue, %s!"
"What's this?","Qu'est-ce que c'est?"
"What's this?","Qu'est-ce que c'est?"
"Zip/Postal Code","Code postal"
