"Add","Ajouter"
"ALL","TOUT"
"ANY","AUCUN"
"Apply","Appliquer"
"by","par"
"Conditions Combination","Combinaison des conditions"
"contains","contient"
"Customer Groups must be specified.","Les groupes de clients doivent être spécifiés."
"does not contain","ne contient pas"
"End Date must be greater than Start Date.","La date de fin doit être supérieure à la date de début."
"equals or greater than","est supérieur ou égal à"
"equals or less than","est inférieur ou égal à"
"FALSE","FALSE"
"from","de"
"greater than","supérieur à"
"If %s of these conditions are %s:","Si %s de ces conditions sont %s:"
"Invalid discount amount.","Montant de la remise invalide."
"is","est"
"is not","n'est pas"
"is not one of","ne fait pas partie de"
"is one of","est l'un des"
"less than","inférieur à"
"Open Chooser","Ouvrir le sélecteur"
"Perform following actions","Effectuer les actions suivantes"
"Please choose a condition to add...","Veuillez choisir une condition à ajouter..."
"Please choose an action to add...","Veuillez choisir une action à ajouter..."
"Remove","Retirer"
"There is no information about associated entity type ""%s"".","Il n'y a aucune information sur le type d'entité associée «%s»."
"to","à"
"TRUE","VRAI"
"Websites must be specified.","Les sites Web doivent être spécifiés."
