" was not delivered nor scanned"," n'a pas été livré ni scanné"
"""Per Order"" allows single handling fee for entire order. ""Per Package"" allows individual  handling fee for each package.","""Par commande"" autorise un seul frais de port par commande. ""Par paquet"" autorise un frais port pour chaque paquet."
"1 Day Freight","Frêt 1 jour"
"2 Day","2 jours"
"2 Day AM","J+2 matin"
"2 Day Freight","Frêt 2 jours"
"2nd Day Air","2e Jour Air"
"2nd Day Air AM","2e Jour Air AM"
"2nd Day Air AM Letter","2e Jour Air Lettre AM"
"2nd Day Air Letter","2e Jour Lettre Aérien"
"3 Day Freight","Frêt 3 jours"
"3 Day Select","3 Jour Sélection"
"Access ID","ID d'accès"
"Access License Number","Numéro de permis d'accès"
"Account ID","ID de compte"
"Account Number","Numéro de compte"
"Additional Protection Configuration Value","Valeur de configuration de protection supplémentaire"
"Additional Protection Enabled","Protection supplémentaire activée"
"Additional Protection Min Subtotal","Sous-total mini de protection supplémentaire"
"Additional Protection Value","Valeur de protection supplémentaire"
"Additional Protection Value Rounding Method","Méthode d'arrondi de valeur de protection supplémentaire"
"Adult","Adulte"
"Adult Signature Required","La signature d'un adulte est requise"
"Allowed Methods","Modes de livraison autorisés"
"Allows breaking total order weight into smaller pieces if it exeeds %s %s to ensure accurate calculation of shipping charges.","Autorise de diviser le poids d'une commande complète en plusieurs parties s'il excède %s %s pour s'assurer que le calcul des frais de port est exact."
"Allows breaking total order weight into smaller pieces if it exeeds 70 kg to ensure accurate calculation of shipping charges.","Autorise de diviser le poids d'une commande complète en plusieurs parties s'il excède 70 kg pour s'assurer que le calcul des frais de port est exact."
"Break bulk economy","Paquet divise éco"
"Break bulk express","Paquet divisé express"
"Business Service Center","Centre de service d'affaires"
"Calculate Handling Fee","Calculer les frais de dossier"
"Canada Standard","Canada standard"
"Cannot identify measure unit for %s","Impossible d'identifier l'unité de mesure pour %s"
"Cannot identify weight unit for %s","Impossible d'identifier l'unité de poids pour %s"
"Cannot retrieve shipping rates","Impossible de récupérer les taux de livraison"
"Centimeters","Centimètres"
"Commercial","Commercial"
"Configuration","Configuration"
"Container","Conteneur"
"Content Type","Type de contenu"
"Customer Packaging","Paquet fait par le client"
"Customer Supplied Package","Colis fourni par le client"
"Customer services","Services client"
"DHL","DHL"
"DHL (Deprecated)","DHL (déprécié)"
"DHL service is not available at %s date","Le service DHL n’est pas disponible à la date %s"
"Debug","Déboguage"
"Default Package Height","Hauteur par défaut du paquet"
"Default Package Length","Longueur par défaut du paquet"
"Default Package Width","Largeur par défaut du paquet"
"Delivered","Livré"
"Delivery Confirmation","Confirmation de livraison"
"Depth","Profondeur"
"Destination Type","Type de destination"
"Destination facility code is empty","Le code de facilité de destination est vide"
"Development","Développement"
"Direct","Directe"
"Displayed Error Message","Message d'erreur affiché"
"Divide Order Weight","Diviser le poids de la commande"
"Documents","Documents"
"Domestic Shipment Days","Jours d'expédition nationale"
"Domestic economy select","Sélection éco domestique"
"Domestic express","Domestique express"
"Drop Box","Boîte de dépôt"
"Dropoff","Déposer"
"Easy shop","Achat facile"
"Economy select","Sélection éco"
"Empty response","Réponse vide"
"Enable Negotiated Rates","Activer les taux négociés"
"Enable SSL Verification","Activer la Vérification SSL"
"Enabled for Checkout","Activé pour commander"
"Enables/Disables SSL verification of Maho server by UPS.","Active/Désactive la vérification SSL du serveur Maho par UPS."
"Error #%s : %s","Erreur n°%s : %s"
"Error #%s : %s (%s)","Erreur n°%s : %s (%s)"
"Error #%s: %s","Erreur n°%s : %s"
"Europack","Europack"
"Europe First Priority","Prioritaire Europe"
"Exchange rate %s (Base Currency) -> %s not found. DHL method %s skipped","Taux de change %s (devise de base) -> %s non trouvé. Mode DHL %s ignoré"
"Express","Express"
"Express 10:30","Express 10h30"
"Express 10:30 AM","Express 10:30"
"Express 12:00","Express 12h00"
"Express 9:00","Express 9h00"
"Express Saturday","Express Samedi"
"Express Saver","Express économe"
"Express easy","Express facile"
"Express envelope","Enveloppe express"
"Express worldwide","Express monde"
"Failed to parse xml document: %s","Impossible de parser le document xml : %s"
"FedEx","FedEx"
"FedEx 10kg Box","Boîte 10kg FedEx"
"FedEx 25kg Box","Boîte 25kg FedEx"
"FedEx Box","Boîte FedEx"
"FedEx Envelope","Enveloppe FedEx"
"FedEx Pak","Pack FedEx"
"FedEx Tube","Tube FedEx"
"Field ""%s"" has wrong value.","Le champ ""%s"" a une valeur incorrecte."
"First Overnight","Lendemain"
"First-Class Mail International Large Envelope","Courrier international de première classe grande enveloppe"
"First-Class Mail International Letter","Courrier international de première classe"
"First-Class Mail International Postcard","Carte postale internationale de première classe"
"First-Class Mail Large Envelope","Machinable"
"First-Class Mail Large Postcards","Courrier de première classe pour cartes postales de grande taille"
"First-Class Mail Letter","Courrier de première classe"
"First-Class Mail Metered Letter","Courrier affranchi de première classe"
"First-Class Mail Postcards","Cartes postales de première classe"
"First-Class Mail Stamped Letter","Courrier de première classe affranchi"
"First-Class Package International Service","Service de colis international de première classe"
"First-Class Package Service","Service de colis de première classe"
"First-Class Package Service - Retail","Service de colis de première classe - Vente au détail"
"First-Class Package Service Hold For Pickup","Service de colis de première classe retenu pour le ramassage"
"Flat","Plat"
"Flat-Rate Box","Boîte taux fixe"
"Flat-Rate Envelope","Enveloppe taux fixe"
"Free Method","Mode gratuit"
"Free Shipping with Minimum Order Amount","Livraison gratuite avec un montant de commande mini"
"Freight","Fret"
"Freight worldwide","Frêt monde"
"Gateway URL","URL de passerelle"
"Gateway XML URL","URL XML de passerelle"
"Gift","Cadeau"
"Girth","Circonférence"
"Global Express Guaranteed (GXG)","Garantie Express Mondiale (GXM)"
"Global Express Guaranteed Document","Document de garantie express mondial"
"Global Express Guaranteed Non-Document Non-Rectangular","Garantie Express Mondiale Non-Documents Non-Rectangulaire"
"Global Express Guaranteed Non-Document Rectangular","Garanti Express Mondial Non-Documents Rectangulaire"
"Globalmail business","Courriel entreprise"
"Ground","Sol"
"Ground Commercial","Sol Commercial"
"Ground Residential","Terrain Résidentiel"
"Handling Applied","Frais de dossier appliqués"
"Handling Fee","Frais de traitement"
"Height","Hauteur"
"Height, width and length should be equal or greater than %s","Hauteur, largeur et longueur devrait être supérieurs ou égaux à %s"
"Home Delivery","Livraison à domicile"
"Hub ID","Identifiant de hub"
"Inches","Pouces"
"Indirect","Indirecte"
"International Economy","International éco"
"International Express","Express International"
"International First","Premier international"
"International Ground","Sol international"
"International Priority","Priorité internationale"
"International Shipment Days","Jours d'expédition internationale"
"Intl Economy Freight","Frêt éco international"
"Intl Priority Freight","Frêt prioritaire international"
"Jetline","Jetline"
"Jumbo box","Boîte géante"
"Key","Clé"
"Kilograms","Kilogrammes"
"Large","Grand"
"Large Express Box","Boite Express large"
"Length","Longueur"
"Letter","Lettre"
"Library Mail Parcel","Bibliothèque Courrier Colis"
"Live","En production"
"Machinable","Mécanisable"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Poids maximal du colis (veuillez consulter votre transporteur)"
"Media Mail Parcel","Colis Média Poste"
"Medical express","Médical express"
"Medium Express Box","Boite Express Medium"
"Merchandise","Marchandises"
"Meter Number","Numéro du compteur"
