"%s","%s"
"-- Please Select --","-- Veuillez sélectionner --"
"Actions","Actions"
"Add Layout Update","Ajouter une mise à jour de mise en page"
"Add New Widget Instance","Ajouter une nouvelle instance de widget"
"All","Tous"
"All Pages","Toutes les pages"
"All Product Types","Tous les types de produits"
"An error occurred during POST data validation: %s","Une erreur s'est produite lors de la validation des données POST : %s"
"An error occurred during saving a widget: %s","Une erreur s'est produite lors de l'enregistrement d'un widget : %s"
"Anchor Categories","Catégories d'ancre"
"Apply","Appliquer"
"Assign to Store Views","Affecter aux vues magasin"
"Big Image","Grande image"
"Block Reference","Bloc de référence"
"CMS","CMS"
"Categories","Catégories"
"Choose...","Choisir..."
"Close","Fermer"
"Continue","Continuer"
"Default Template","Modèle par défaut"
"Delete","Supprimez"
"Design Package/Theme","Paquet/Thème Conception"
"Error occurs during loading chooser.","Une erreur s'est produite lors du chargement du sélecteur."
"Export to:","Exporter vers:"
"Frontend Properties","Propriétés du frontend"
"Generic Pages","Pages génériques"
"Go to Next page","Aller à la page suivante"
"Go to Previous page","Aller à la page précédente"
"Images","Images"
"Insert Widget","Insert Widget"
"Insert Widget...","Insert Widget..."
"Layout Updates","Mises à jour de la mise en page"
"Manage Widget Instances","Gérer les instances de Widget"
"New Instance","Nouvelle instance"
"New Widget Instance","Nouvelle instance de widget"
"Next page","Page suivante"
"Non-Anchor Categories","Catégories non ancrées"
"Not Selected","Non sélectionné"
"Open Chooser","Ouvrir le sélecteur"
"Page","Page"
"Please Select Block Reference First","Veuillez d'abord sélectionner le bloc de référence"
"Previous page","Page précédente"
"Products","Produits"
"Remove Layout Update","Supprimer la mise à jour de la mise en page"
"Save and Continue Edit","Enregistrer et continuer l'édition"
"Select All","Tout sélectionner"
"Select Visible","Sélectionner Visible"
"Settings","Réglages"
"Sort Order","Ordre de tri"
"Sort Order of widget instances in the same block reference","Ordre de tri des instances de widget dans le même bloc de référence"
"Specific %s","%s spécifique"
"Specified Page","Page spécifiée"
"Template","Gabarit"
"The information in this tab has been changed.","Les informations dans cet onglet ont été modifiées."
"The widget instance has been deleted.","L'instance de widget a été supprimée."
"The widget instance has been saved.","L'instance de widget a été enregistrée."
"This tab contains invalid data. Please solve the problem before saving.","Cet onglet contient des données non valides. Veuillez résoudre le problème avant d'enregistrer."
"Thumbnail","Thumbnail"
"Total %d records found","Total des enregistrements %d trouvés"
"Type","Type de texte"
"Unselect All","Désélectionner tout"
"Unselect Visible","Désélectionner Visible"
"View","Voir"
"Widget","Widget"
"Widget ""%s""","Widget ""%s"""
"Widget ID","ID du widget"
"Widget Insertion","Insertion de widget"
"Widget Instance","Instance de widget"
"Widget Instance Title","Titre de l'instance de widget"
"Widget Options","Options du Widget"
"Widget Type","Type de widget"
"Widget Type is not specified","Le type de widget n'est pas spécifié"
"Widget instance is not full complete to create.","L'instance de widget n'est pas complète à créer."
"Widgets","Widgets"
"Wrong widget instance specified.","Mauvaise instance de widget spécifiée."
"items selected","éléments sélectionnés"
"of %s pages","des pages %s"
"per page","par page"
