"Action","Action"
"Active","Actif"
"Add New Rule","Ajouter une nouvelle règle"
"Apply rule to source products matching the following conditions (leave blank for all products)","Appliquer la règle aux produits source correspondant aux conditions suivantes (laisser vide pour tous les produits)"
"Are you sure?","Êtes-vous sûr(e) ?"
"Catalog","Catalogue"
"Change status","Changer le statut"
"Conditions","Condition"
"Conditions Combination","Combinaison des conditions"
"Cron expression for rule processing. Default: <strong>0 3 * * *</strong> (daily at 3am).","Expression cron pour le traitement des règles. Par défaut: <strong>0 3 * *</strong> (quotidien à 3am)."
"Cron Schedule","Planification Cron"
"Cross-sell Products","Produits de vente croisée"
"Delete","Supprimez"
"Delete Rule","Supprimer la règle"
"Description","Libellé"
"Disabled","Désactivé"
"does not match source","ne correspond pas à la source"
"Edit","Editer"
"Edit Rule '%s'","Modifier la règle «%s»"
"Enabled","Activé"
"From Date","À partir de la date"
"ID","ID"
"Inactive","Inactif"
"Link to target products matching the following conditions (leave blank for all products)","Lien vers les produits cibles correspondant aux conditions suivantes (laisser vide pour tous les produits)"
"Link Type","Link Type"
"Lower number = higher priority","Nombre inférieur = priorité plus élevée"
"matches source","correspond à la source"
"Maximum Links","Nombre maximum de liens"
"Maximum number of linked products per source product (leave empty for unlimited)","Nombre maximum de produits liés par produit source (laisser vide pour illimité)"
"Name: A-Z","Nom : A-Z"
"Name: Z-A","Nom : Z-A"
"Newest First","Plus récent en premier"
"New Rule","Nouvelle règle"
"Oldest First","Le plus ancien en premier"
"Please select rule(s).","Veuillez sélectionner une ou plusieurs règles."
"Price: High to Low","Prix : Du plus haut au plus bas"
"Price: Low to High","Prix: Du plus bas au plus haut"
"Priority","Priorité"
"Product Attribute","Attribut produit"
"Product Link Rules","Règles de lien produit"
"Product Relationship Rules","Règles de relation produit"
"Random (Default)","Aléatoire (par défaut)"
"Related Products","Produits connexes"
"Rule Information","Informations sur la règle"
"Rule Name","Nom de la règle"
"Save and Continue Edit","Enregistrer et continuer l'édition"
"Save Rule","Enregistrer la règle"
"Sort Order","Ordre de tri"
"Source Product Conditions","Conditions du produit source"
"Source products matching %s of these conditions are %s:","Les produits source correspondant à %s de ces conditions sont %s:"
"Status","Statut"
"Target Conditions","Conditions Cibles"
"Target product attribute will be compared to source product","L'attribut de produit cible sera comparé au produit source"
"Target Product Conditions","Cible des conditions de produit"
"Target products matching %s of these conditions are %s:","Les produits cibles correspondant à %s de ces conditions sont %s:"
"The rule has been deleted.","La règle a été supprimée."
"The rule has been saved.","La règle a été enregistrée."
"This rule no longer exists.","Cette règle n'existe plus."
"To Date","À ce jour"
"Total of %d record(s) were deleted.","Total of %d record(s) were deleted."
"Total of %d record(s) were updated.","Total of %d record(s) were updated."
"Up-sell Products","Ventes incitatives"
